出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類,date
1150514,1512,瑞利,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150514,172130,,2026-05-15
1150514,1513,中興電,常會,1150525,1150327,1150525,,,,,0,0.00,0,0,,0,1150310,171759,,2026-05-15
1150514,1514,亞力,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150414,104540,,2026-05-15
1150514,1515,力山,常會,1150520,1150322,1150520,,,,,,,0,0,,0,1150325,102341,,2026-05-15
1150514,1516,川飛,常會,1150625,1150427,1150625,,,,,,,0,0,,0,1150430,105748,,2026-05-15
1150514,1517,利奇,常會,1150625,1150427,1150625,,,,,,,0,0,,0,1150427,170640,,2026-05-15
1150514,1519,華城,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150311,155442,,2026-05-15
1150514,1521,大億,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150316,140411,,2026-05-15
1150514,1522,堤維西,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150323,154114,,2026-05-15
1150514,1524,耿鼎,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150311,110313,,2026-05-15
1150514,1525,江申,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150311,161307,,2026-05-15
1150514,1526,日馳,常會,1150623,1150425,1150623,,,,,0,0.00,0,0,,0,1150310,155813,,2026-05-15
1150514,1527,鑽全,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150310,151518,,2026-05-15
1150514,1528,恩德,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150304,141255,,2026-05-15
1150514,1529,樂事綠能,常會,1150522,1150324,1150522,,,,,400000000,199.00,0,0,,0,1150402,185500,,2026-05-15
1150514,1530,亞崴,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,105804,,2026-05-15
1150514,1531,高林股,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150313,93229,,2026-05-15
1150514,1532,勤美,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150316,162959,,2026-05-15
1150514,1533,車王電,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150312,154216,,2026-05-15
1150514,1535,中宇,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150303,143019,,2026-05-15
1150514,1536,和大,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,172721,,2026-05-15
1150514,1537,廣隆,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150312,173052,,2026-05-15
1150514,1538,正峰,常會,1150629,1150501,1150629,,,,,,,0,0,,0,1150409,152656,,2026-05-15
1150514,1539,巨庭,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150311,164259,,2026-05-15
1150514,1540,喬福,常會,1150629,1150501,1150629,,,,,,,0,0,,0,1150310,85559,,2026-05-15
1150514,1541,錩泰,常會,1150622,1150424,1150622,,,,,,,0,0,,0,1150311,172425,,2026-05-15
1150514,1558,伸興,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150310,173222,,2026-05-15
1150514,1560,中砂,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150512,170903,,2026-05-15
1150514,1563,巧新,常會,1150520,1150322,1150520,,,,,,,0,0,,0,1150324,144603,,2026-05-15
1150514,1568,倉佑,常會,1150526,1150328,1150526,,,,,0,0.00,0,0,,0,1150309,171723,,2026-05-15
1150514,1582,信錦,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150415,90903,,2026-05-15
1150514,1583,程泰,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,143525,,2026-05-15
1150514,1587,吉茂,常會,1150604,1150406,1150604,,,,,,,0,0,,0,1150312,153041,,2026-05-15
1150514,1589,永冠-KY,常會,1150630,1150502,1150630,,,,,,,0,0,,0,1150430,90548,,2026-05-15
1150514,1590,亞德客-KY,常會,1150513,1150315,1150513,,,,,,,0,0,,0,1150213,93600,,2026-05-15
1150514,1597,直得,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150226,174534,,2026-05-15
1150514,1598,岱宇,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150311,173217,,2026-05-15
1150514,1603,華電,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150312,161318,,2026-05-15
1150514,1604,聲寶,常會,1150616,1150418,1150616,,,,,0,0.00,0,0,,0,1150311,95824,,2026-05-15
