出表日期,公司代號,公司名稱,董事長,總經理,董事長是否兼任總經理,date
1150517,1783,和康生,林詠翔,陳敬亭,未兼任,2026-05-18
1150517,1786,科妍,韓開程,韓台賢,未兼任,2026-05-18
1150517,1789,神隆,羅智先,盧麗安,未兼任,2026-05-18
1150517,1795,美時,Vilhelm Robert Wessman,Petar Antonov Vazharov,未兼任,2026-05-18
1150517,1802,台玻,林伯豐,林伯實,未兼任,2026-05-18
1150517,1805,寶徠,林瑞山,林瑞山,兼任,2026-05-18
1150517,1806,冠軍,林榮德,林祐宇,未兼任,2026-05-18
1150517,1808,潤隆,邱秉澤,林暐鈞,未兼任,2026-05-18
1150517,1809,中釉,蔡憲龍,蔡松祐,未兼任,2026-05-18
1150517,1810,和成,邱立堅,陳世傑,未兼任,2026-05-18
1150517,1817,凱撒衛,蕭俊祥,陳威志,未兼任,2026-05-18
1150517,1903,士紙,臺實貿易股份有限公司,闕啟文,未兼任,2026-05-18
1150517,1904,正隆,鄭人銘,張清標,未兼任,2026-05-18
1150517,1905,華紙,黃鯤雄,陳瑞和,未兼任,2026-05-18
1150517,1906,寶隆,李殷佳,田哲森,未兼任,2026-05-18
1150517,1907,永豐餘,葉惠青,駱秉正,未兼任,2026-05-18
1150517,1909,榮成,鄭瑛彬,吳國禎,未兼任,2026-05-18
1150517,2002,中鋼,黃建智,陳守道,未兼任,2026-05-18
1150517,2006,東和鋼鐵,侯傑騰,黃炳樺,未兼任,2026-05-18
1150517,2007,燁興,吳林茂,黃傳祥,未兼任,2026-05-18
1150517,2008,高興昌,呂泰榮,勝呂榮峰,未兼任,2026-05-18
1150517,2009,第一銅,王宏仁,洪茂陽,未兼任,2026-05-18
1150517,2010,春源,蔡錫儀,洪士民,未兼任,2026-05-18
1150517,2012,春雨,翁重鈞,吳居諺,未兼任,2026-05-18
1150517,2013,中鋼構,陳瑞騰,黃源章,未兼任,2026-05-18
1150517,2014,中鴻,朱敏,王輔良,未兼任,2026-05-18
1150517,2015,豐興,林大鈞,林永源,未兼任,2026-05-18
1150517,2017,官田鋼,汪振澤,謝政成,未兼任,2026-05-18
1150517,2020,美亞,黃春發,蕭敏志,未兼任,2026-05-18
1150517,2022,聚亨,黃文松,呂艷娟,未兼任,2026-05-18
1150517,2023,燁輝,林義守,張振武,未兼任,2026-05-18
1150517,2024,志聯,潘仲良,林信安(代理),未兼任,2026-05-18
1150517,2025,千興,魏福全,邱麗雲,未兼任,2026-05-18
1150517,2027,大成鋼,謝麗雲,謝榮坤,未兼任,2026-05-18
1150517,2028,威致,郭素惠,郭素惠,兼任,2026-05-18
1150517,2029,盛餘,樽宮浩一,洪世強,未兼任,2026-05-18
1150517,2030,彰源,張炳耀,張炳耀,兼任,2026-05-18
1150517,2031,新光鋼,粟明德,曾明山,未兼任,2026-05-18
1150517,2032,新鋼,蔡政廷,成主賜,未兼任,2026-05-18
1150517,2033,佳大,吳大和,陳正平,未兼任,2026-05-18
1150517,2034,允強,張金鈺,張金鈺,兼任,2026-05-18
1150517,2038,海光,黃韋翰,黃燦明,未兼任,2026-05-18
1150517,2049,上銀,卓文恒,蔡惠卿,未兼任,2026-05-18
