出表日期,報告年度,公司代號,公司名稱,產品生命週期管理之揭露：報廢產品及電子廢棄物之重量(公噸(t)),產品生命週期管理之揭露：含報廢產品及電子廢棄物之再循環之百分比,date
1150513,113,2313,華通,0.0000,0.00%,2026-05-15
1150513,113,2314,台揚,71.5800,54.00%,2026-05-15
1150513,113,2316,楠梓電,N/A,N/A,2026-05-15
1150513,113,2317,鴻海,N/A,N/A,2026-05-15
1150513,113,2321,東訊,N/A,N/A,2026-05-15
1150513,113,2323,中環,N/A,N/A,2026-05-15
1150513,113,2324,仁寶,24224.6616,23.00%,2026-05-15
1150513,113,2327,國巨,N/A,N/A,2026-05-15
1150513,113,2328,廣宇,0.0000,0.00%,2026-05-15
1150513,113,2329,華泰,N/A,N/A,2026-05-15
1150513,113,2330,台積電,N/A,N/A,2026-05-15
1150513,113,2331,精英,0.0000,85.50%,2026-05-15
1150513,113,2332,友訊,0.6100,0.73%,2026-05-15
1150513,113,2337,旺宏,15.2755,100.00%,2026-05-15
1150513,113,2340,台亞,3.8975,100.00%,2026-05-15
1150513,113,2342,茂矽,0.0000,0.00%,2026-05-15
1150513,113,2344,華邦電,17051.0000,91.90%,2026-05-15
1150513,113,2345,智邦,49.2200,100.00%,2026-05-15
1150513,113,2347,聯強,0.0000,0.00%,2026-05-15
1150513,113,2348,海悅,N/A,N/A,2026-05-15
1150513,113,2349,錸德,60.1960,40.68%,2026-05-15
1150513,113,2351,順德,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,0.0000,0.00%,2026-05-15
1150513,113,2353,宏碁,14707.0000,14.60%,2026-05-15
1150513,113,2354,鴻準,0.0000,0.00%,2026-05-15
1150513,113,2355,敬鵬,21997.7220,63.90%,2026-05-15
1150513,113,2356,英業達,N/A,N/A,2026-05-15
1150513,113,2357,華碩,12159.0000,95.00%,2026-05-15
1150513,113,2360,致茂,23.8300,9.02%,2026-05-15
1150513,113,2362,藍天,45.4000,100.00%,2026-05-15
1150513,113,2363,矽統,1.5600,0.00%,2026-05-15
1150513,113,2364,倫飛,44.2470,60.45%,2026-05-15
1150513,113,2365,昆盈,0.0000,55.00%,2026-05-15
1150513,113,2367,燿華,895.3700,100.00%,2026-05-15
1150513,113,2368,金像電,56488.9808,93.93%,2026-05-15
1150513,113,2369,菱生,N/A,N/A,2026-05-15
1150513,113,2371,大同,N/A,N/A,2026-05-15
1150513,113,2373,震旦行,354.3920,76.56%,2026-05-15
1150513,113,2374,佳能,0.9500,100.00%,2026-05-15
1150513,113,2375,凱美,0.0000,0.00%,2026-05-15
1150513,113,2376,技嘉,886.7000,5.15%,2026-05-15
1150513,113,2377,微星,N/A,N/A,2026-05-15
1150513,113,2379,瑞昱,9.3000,26.11%,2026-05-15
1150513,113,2380,虹光,5.2204,100.00%,2026-05-15
1150513,113,2382,廣達,N/A,N/A,2026-05-15
1150513,113,2383,台光電,23348.9600,77.21%,2026-05-15
1150513,113,2385,群光,184.3200,6.22%,2026-05-15
1150513,113,2387,精元,N/A,N/A,2026-05-15
1150513,113,2388,威盛,0.1000,100.00%,2026-05-15
1150513,113,2390,云辰,N/A,N/A,2026-05-15
1150513,113,2392,正崴,N/A,N/A,2026-05-15
1150513,113,2393,億光,815.3900,0.00%,2026-05-15
1150513,113,2395,研華,8006.0000,14.20%,2026-05-15
1150513,113,2397,友通,N/A,N/A,2026-05-15
1150513,113,2399,映泰,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,0.3200,23.10%,2026-05-15
1150513,113,2402,毅嘉,N/A,N/A,2026-05-15
1150513,113,2405,輔信,N/A,N/A,2026-05-15
1150513,113,2406,國碩,0.0000,0.00%,2026-05-15
1150513,113,2408,南亞科,N/A,N/A,2026-05-15
1150513,113,2409,友達,N/A,N/A,2026-05-15
1150513,113,2412,中華電,12.8075,82.50%,2026-05-15
1150513,113,2414,精技,N/A,N/A,2026-05-15
1150513,113,2417,圓剛,N/A,N/A,2026-05-15
1150513,113,2419,仲琦,0.0000,0.00%,2026-05-15
1150513,113,2420,新巨,N/A,N/A,2026-05-15
1150513,113,2421,建準,80.0916,22.20%,2026-05-15
1150513,113,2423,固緯,N/A,N/A,2026-05-15
1150513,113,2424,隴華,N/A,N/A,2026-05-15
1150513,113,2426,鼎元,0.0000,0.00%,2026-05-15
1150513,113,2428,興勤,N/A,N/A,2026-05-15
1150513,113,2429,銘旺科,N/A,N/A,2026-05-15
1150513,113,2431,聯昌,N/A,N/A,2026-05-15
1150513,113,2432,倚天酷碁-創,N/A,N/A,2026-05-15
1150513,113,2433,互盛電,86.6400,86.00%,2026-05-15
1150513,113,2436,偉詮電,N/A,N/A,2026-05-15
1150513,113,2438,翔耀,N/A,N/A,2026-05-15
1150513,113,2439,美律,N/A,N/A,2026-05-15
1150513,113,2440,太空梭,N/A,N/A,2026-05-15
1150513,113,2441,超豐,N/A,N/A,2026-05-15
1150513,113,2444,兆勁,N/A,N/A,2026-05-15
1150513,113,2449,京元電子,0.0000,0.00%,2026-05-15
1150513,113,2450,神腦,0.0000,0.00%,2026-05-15
1150513,113,2451,創見,9.0020,100.00%,2026-05-15
1150513,113,2453,凌群,0.0000,0.00%,2026-05-15
1150513,113,2454,聯發科,N/A,N/A,2026-05-15
1150513,113,2455,全新,4.4919,100.00%,2026-05-15
1150513,113,2457,飛宏,1046.0600,69.46%,2026-05-15
1150513,113,2458,義隆,5.6200,18.33%,2026-05-15
1150513,113,2462,良得電,N/A,N/A,2026-05-15
1150513,113,2464,盟立,N/A,N/A,2026-05-15
1150513,113,2466,冠西電,42.5300,0.00%,2026-05-15
1150513,113,2468,華經,N/A,N/A,2026-05-15
1150513,113,2472,立隆電,N/A,N/A,2026-05-15
1150513,113,2474,可成,33777.0000,100.00%,2026-05-15
1150513,113,2476,鉅祥,0.0000,0.00%,2026-05-15
1150513,113,2478,大毅,37.4508,N/A,2026-05-15
1150513,113,2480,敦陽科,N/A,N/A,2026-05-15
1150513,113,2481,強茂,192.9800,98.77%,2026-05-15
1150513,113,2482,連宇,N/A,N/A,2026-05-15
1150513,113,2483,百容,N/A,N/A,2026-05-15
1150513,113,2484,希華,N/A,N/A,2026-05-15
1150513,113,2485,兆赫,N/A,N/A,2026-05-15
1150513,113,2486,一詮,N/A,N/A,2026-05-15
1150513,113,2489,瑞軒,3091.0230,100.00%,2026-05-15
1150513,113,2491,吉祥全,N/A,N/A,2026-05-15
1150513,113,2492,華新科,0.0000,0.00%,2026-05-15
1150513,113,2493,揚博,N/A,N/A,2026-05-15
1150513,113,2495,普安,0.5730,16.57%,2026-05-15
1150513,113,2497,怡利電,N/A,N/A,2026-05-15
1150513,113,2498,宏達電,2.9179,77.21%,2026-05-15
1150513,113,2501,國建,N/A,N/A,2026-05-15
1150513,113,2505,國揚,N/A,N/A,2026-05-15
1150513,113,2506,太設,N/A,N/A,2026-05-15
1150513,113,2509,全坤建,N/A,N/A,2026-05-15
