出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次),date
1150513,113,1413,宏洲,1,2026-05-15
1150513,113,1414,東和,1,2026-05-15
1150513,113,1416,廣豐,1,2026-05-15
1150513,113,1417,嘉裕,1,2026-05-15
1150513,113,1418,東華,1,2026-05-15
1150513,113,1419,新紡,1,2026-05-15
1150513,113,1423,利華,1,2026-05-15
1150513,113,1432,大魯閣,2,2026-05-15
1150513,113,1434,福懋,2,2026-05-15
1150513,113,1435,中福,1,2026-05-15
1150513,113,1436,華友聯,1,2026-05-15
1150513,113,1437,勤益控,2,2026-05-15
1150513,113,1438,三地開發,1,2026-05-15
1150513,113,1439,雋揚,3,2026-05-15
1150513,113,1440,南紡,2,2026-05-15
1150513,113,1441,大東,1,2026-05-15
1150513,113,1442,名軒,1,2026-05-15
1150513,113,1443,立益物流,1,2026-05-15
1150513,113,1444,力麗,1,2026-05-15
1150513,113,1445,大宇,1,2026-05-15
1150513,113,1446,宏和,1,2026-05-15
1150513,113,1447,力鵬,1,2026-05-15
1150513,113,1449,佳和,2,2026-05-15
1150513,113,1451,年興,1,2026-05-15
1150513,113,1452,宏益,1,2026-05-15
1150513,113,1453,大將,1,2026-05-15
1150513,113,1454,台富,4,2026-05-15
1150513,113,1455,集盛,2,2026-05-15
1150513,113,1456,怡華,1,2026-05-15
1150513,113,1457,宜進,1,2026-05-15
1150513,113,1459,聯發,2,2026-05-15
1150513,113,1460,宏遠,1,2026-05-15
1150513,113,1463,強盛新,1,2026-05-15
1150513,113,1464,得力,2,2026-05-15
1150513,113,1465,偉全,1,2026-05-15
1150513,113,1466,聚隆,1,2026-05-15
1150513,113,1467,南緯,1,2026-05-15
1150513,113,1468,昶和,2,2026-05-15
1150513,113,1470,大統新創,2,2026-05-15
1150513,113,1471,首利,1,2026-05-15
1150513,113,1472,三洋實業,1,2026-05-15
1150513,113,1473,台南,2,2026-05-15
1150513,113,1474,弘裕,2,2026-05-15
1150513,113,1475,業旺,1,2026-05-15
1150513,113,1476,儒鴻,6,2026-05-15
1150513,113,1477,聚陽,30,2026-05-15
1150513,113,1503,士電,1,2026-05-15
1150513,113,1504,東元,13,2026-05-15
1150513,113,1506,正道,1,2026-05-15
1150513,113,1512,瑞利,1,2026-05-15
1150513,113,1513,中興電,2,2026-05-15
1150513,113,1514,亞力,1,2026-05-15
1150513,113,1515,力山,2,2026-05-15
1150513,113,1516,川飛,1,2026-05-15
1150513,113,1517,利奇,1,2026-05-15
1150513,113,1519,華城,1,2026-05-15
1150513,113,1521,大億,1,2026-05-15
1150513,113,1522,堤維西,1,2026-05-15
1150513,113,1524,耿鼎,1,2026-05-15
1150513,113,1525,江申,2,2026-05-15
1150513,113,1526,日馳,1,2026-05-15
1150513,113,1527,鑽全,2,2026-05-15
1150513,113,1528,恩德,1,2026-05-15
1150513,113,1529,樂事綠能,4,2026-05-15
1150513,113,1530,亞崴,1,2026-05-15
1150513,113,1531,高林股,1,2026-05-15
1150513,113,1532,勤美,3,2026-05-15
1150513,113,1533,車王電,1,2026-05-15
1150513,113,1535,中宇,2,2026-05-15
