出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數變動百分比,非擔任主管之全時員工薪資中位數(仟元/人) ,非擔任主管職務之全時員工薪資中位數變動百分比,管理職女性主管佔比,新進員工年齡分布,離職員工年齡分布,高齡員工晉用政策及培訓計畫,date
1150513,113,1472,三洋實業,1605,1445,826,2.86%,665,2.15%,27.03%,,,,2026-05-15
1150513,113,1473,台南,1027,885,648,10.02%,558,13.18%,43.00%,,,,2026-05-15
1150513,113,1474,弘裕,741,624,577,5.29%,539,7.16%,38.70%,,,,2026-05-15
1150513,113,1475,業旺,1222,1043,762,31.38%,647,10.41%,20.00%,,,,2026-05-15
1150513,113,1476,儒鴻,1293,1145,1103,15.74%,961,15.37%,41.66%,,,,2026-05-15
1150513,113,1477,聚陽,1948,1742,1629,8.02%,1443,4.49%,77.00%,,,,2026-05-15
1150513,113,1503,士電,1314,1165,1080,5.47%,892,5.94%,10.00%,,,,2026-05-15
1150513,113,1504,東元,1009,843,999,8.59%,793,6.02%,21.30%,,,,2026-05-15
1150513,113,1506,正道,599,480,539,-4.09%,492,-3.15%,27.30%,,,,2026-05-15
1150513,113,1512,瑞利,810,695,567,-3.08%,472,-6.16%,11.11%,,,,2026-05-15
1150513,113,1513,中興電,1111,932,942,3.86%,828,7.12%,16.60%,,,,2026-05-15
1150513,113,1514,亞力,1147,972,977,3.61%,846,4.57%,10.48%,,,,2026-05-15
1150513,113,1515,力山,743,645,525,0.19%,431,-0.69%,17.65%,,,,2026-05-15
1150513,113,1516,川飛,1550,1346,689,-28.97%,689,-20.07%,25.00%,,,,2026-05-15
1150513,113,1517,利奇,530,431,453,14.68%,409,18.55%,3.51%,,,,2026-05-15
1150513,113,1519,華城,1872,1696,1727,11.71%,1159,4.13%,12.77%,,,,2026-05-15
1150513,113,1521,大億,723,579,603,-6.07%,541,-7.52%,8.24%,,,,2026-05-15
1150513,113,1522,堤維西,781,641,656,6.15%,585,4.09%,23.00%,,,,2026-05-15
1150513,113,1524,耿鼎,807,680,689,8.85%,594,8.99%,10.16%,,,,2026-05-15
1150513,113,1525,江申,769,638,664,3.11%,613,4.07%,9.00%,,,,2026-05-15
1150513,113,1526,日馳,755,628,584,7.35%,460,14.71%,20.00%,,,,2026-05-15
1150513,113,1527,鑽全,766,660,645,11.98%,568,20.59%,5.08%,,,,2026-05-15
1150513,113,1528,恩德,851,740,665,-6.34%,580,-4.61%,3.07%,,,,2026-05-15
1150513,113,1529,樂事綠能,651,543,528,9.09%,506,9.76%,34.48%,,,,2026-05-15
1150513,113,1530,亞崴,876,742,693,6.78%,638,4.93%,15.24%,,,,2026-05-15
1150513,113,1531,高林股,1102,939,792,5.88%,712,3.64%,45.00%,,,,2026-05-15
1150513,113,1532,勤美,1019,873,802,3.48%,645,5.74%,18.18%,,,,2026-05-15
1150513,113,1533,車王電,709,577,589,4.06%,514,6.64%,33.64%,,,,2026-05-15
1150513,113,1535,中宇,1302,1139,1160,2.20%,1091,5.00%,9.09%,,,,2026-05-15
1150513,113,1536,和大,750,615,593,-2.31%,576,-1.03%,10.00%,,,,2026-05-15
1150513,113,1537,廣隆,1408,1238,861,9.82%,695,8.42%,35.48%,,,,2026-05-15
1150513,113,1538,正峰,1147,1018,702,18.18%,400,-8.47%,53.33%,,,,2026-05-15
1150513,113,1539,巨庭,642,526,498,8.03%,445,8.80%,26.00%,,,,2026-05-15
