出表日期,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,date
1150513,113,2049,上銀,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2059,川湖,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2062,橋椿,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2069,運錩,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2101,南港,3,3,91.67%,3,94.44%,2026-05-15
1150513,113,2102,泰豐,5,5,93.75%,5,90.48%,2026-05-15
1150513,113,2103,台橡,3,3,100.00%,3,96.43%,2026-05-15
1150513,113,2104,國際中橡,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,2105,正新,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2106,建大,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2107,厚生,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2108,南帝,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2109,華豐,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2114,鑫永銓,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2115,六暉-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2201,裕隆,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2204,中華,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2206,三陽工業,4,4,100.00%,4,96.43%,2026-05-15
1150513,113,2207,和泰車,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2208,台船,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2211,長榮鋼,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2227,裕日車,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2228,劍麟,3,3,87.00%,5,83.00%,2026-05-15
1150513,113,2231,為升,4,4,91.67%,4,95.83%,2026-05-15
1150513,113,2233,宇隆,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2236,百達-KY,3,3,100.00%,4,89.00%,2026-05-15
1150513,113,2239,英利-KY,3,3,100.00%,3,96.30%,2026-05-15
1150513,113,2241,艾姆勒,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2243,宏旭-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2247,汎德永業,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2248,華勝-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2250,IKKA-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2254,巨鎧精密-創,3,3,94.44%,3,95.83%,2026-05-15
1150513,113,2258,鴻華先進-創,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2301,光寶科,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2302,麗正,3,3,91.67%,4,100.00%,2026-05-15
1150513,113,2303,聯電,6,6,100.00%,6,100.00%,2026-05-15
1150513,113,2305,全友,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2308,台達電,5,5,100.00%,5,97.14%,2026-05-15
1150513,113,2312,金寶,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2313,華通,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2314,台揚,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2316,楠梓電,3,2,88.89%,3,66.67%,2026-05-15
1150513,113,2317,鴻海,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2321,東訊,3,3,100.00%,3,84.61%,2026-05-15
1150513,113,2323,中環,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2324,仁寶,5,5,95.83%,5,96.30%,2026-05-15
1150513,113,2327,國巨,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,2328,廣宇,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2329,華泰,5,5,100.00%,5,100.00%,2026-05-15
1150513,113,2330,台積電,4,4,100.00%,7,100.00%,2026-05-15
1150513,113,2331,精英,3,3,100.00%,3,97.56%,2026-05-15
1150513,113,2332,友訊,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2337,旺宏,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2338,光罩,4,3,94.00%,3,100.00%,2026-05-15
1150513,113,2340,台亞,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2342,茂矽,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2344,華邦電,4,4,85.00%,4,95.83%,2026-05-15
1150513,113,2345,智邦,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,2347,聯強,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,2348,海悅,4,4,95.83%,4,95.45%,2026-05-15
1150513,113,2349,錸德,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2351,順德,3,3,100.00%,4,93.75%,2026-05-15
1150513,113,2352,佳世達,5,5,100.00%,5,100.00%,2026-05-15
1150513,113,2353,宏碁,3,3,91.67%,4,95.83%,2026-05-15
1150513,113,2354,鴻準,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2355,敬鵬,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2356,英業達,3,3,89.00%,3,92.00%,2026-05-15
1150513,113,2357,華碩,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,2359,所羅門,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2360,致茂,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2362,藍天,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2363,矽統,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2364,倫飛,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2365,昆盈,3,3,88.89%,3,100.00%,2026-05-15
1150513,113,2367,燿華,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2368,金像電,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2369,菱生,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2371,大同,3,3,93.33%,3,95.83%,2026-05-15
1150513,113,2373,震旦行,3,3,83.33%,3,100.00%,2026-05-15
1150513,113,2374,佳能,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2375,凱美,3,3,83.30%,3,91.67%,2026-05-15
1150513,113,2376,技嘉,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,2377,微星,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2379,瑞昱,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,2380,虹光,3,3,100.00%,4,87.50%,2026-05-15
1150513,113,2382,廣達,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2383,台光電,3,3,100.00%,4,88.89%,2026-05-15
1150513,113,2385,群光,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2387,精元,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2388,威盛,5,4,90.00%,4,100.00%,2026-05-15
1150513,113,2390,云辰,3,2,100.00%,3,91.67%,2026-05-15
1150513,113,2392,正崴,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2393,億光,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2395,研華,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2397,友通,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2399,映泰,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2401,凌陽,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2402,毅嘉,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2404,漢唐,3,3,100.00%,3,100.00%,2026-05-15
