出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,造紙工業,1909,榮成,16845000,0,16845000,24923000,0,24923000,-3.2604,-4.8240,1871667,2769222,0,-516648,-0.39,-2.50,13276857.000000,"全體董事之報酬，依其各自對本公司營運參與程度及貢獻價值，每月支領新台幣
伍萬元至壹拾伍萬元區間，每年底另支領前述每月報酬金額之二至六個月區間為
年獎報酬，不論盈虧均做給付，全體董事之每月報酬區間，由薪資報酬委員會建
議及提報董事會依法議定之。",2026-05-18
1150415,造紙工業,6790,永豐實,657677,10189315,10846992,23991316,10201703,34193019,+1.3413,+4.2280,1549570,4884717,15024282,+808722,3.03,13.97,2671290.000000,本年度董事酬金較去年同期增加，主因係稅後純益較去年同期增加所致。,2026-05-18
1150415,鋼鐵工業,2002,中鋼,4384449,0,4384449,27751855,0,27751855,-0.1008,-0.6381,398586,2522896,0,-4349185,-0.29,-1.04,157731290.000000,"114年度本公司董事、總經理及副總經理酬金佔稅後純益之比例為-1.27%，113年度本公司董事、總經理及副總經理酬金佔稅後純益之比例為2.63%。本公司之獨立董事僅領取固定酬金，而不參與董事酬勞金分派，其餘給付
董事、總經理及副總經理酬金之政策與標準，明列於公司章程第六條第一項「本公司年度如有獲利，應提撥不低於千分之一為員工酬勞，由董事會決議以股票或現金分派發放；本公司得以上開獲利數額，由董事會決議提撥不
高於千分之一點五為董事酬勞金------」，及董事會績效評估辦法第九條「本公司董事會績效評估結果應作為遴選或提名董事時之參考依據；並將個別董事(不含獨立董事)績效評估結果作為訂定董事酬勞金分配之參考依據」。
其中，有關總經理及副總經理之員工酬勞部份，係經董事會通過按員工酬勞總額提撥百分之一點五作分配；董事車馬費則參考同業水準訂定；總經理及副總經理之激勵獎金則按前一年度獲利提撥一定比例分派之。",2026-05-18
1150415,鋼鐵工業,2006,東和鋼鐵,9985000,115764988,125749988,9985000,115764988,125749988,+2.6637,+2.6637,13972221,13972221,0,+4720934,6.47,14.16,7302138.000000,本公司年度如有獲利，員工(含基層員工)酬勞之提撥不低於百分之二點五，董事酬勞之提撥不高於百分之二。但公司尚有累積虧損時，應預先保留彌補數額。,2026-05-18
1150415,鋼鐵工業,2007,燁興,2351700,0,2351700,11792302,0,11792302,-0.1982,-0.9940,335957,1684615,19348888,-1186375,-2.24,-24.84,5306516.000000,本公司114年度為稅後虧損，僅配發獨立董事固定薪資及董事車馬費，因無配發董事酬勞，故與公司稅後損益變動無關聯性。,2026-05-18
1150415,鋼鐵工業,2008,高興昌,4518000,0,4518000,11037682,14820,11052502,+3.4748,+8.5005,502000,1228056,40000,+130022,0.68,3.57,1908523.000000,"本期董事會通過發放員工酬勞未發放董事酬金,另董事每月支領固定津貼及按出席次數支領車馬費,兼任員工董事另領取相關職務薪資皆和稅後損益無關聯性",2026-05-18
1150415,鋼鐵工業,2009,第一銅,3485238,667030,4152268,3485238,667030,4152268,+3.4175,+3.4175,593181,593181,0,+121501,0.34,1.43,3596222.000000,本期稅後純益較上期減少變動 54.25.%，本期依公司章程規定提列董事酬勞與員工酬勞，並依公司規定給付董事車馬費，因此本期平均董事酬金較上期減少 5.59%,2026-05-18
1150415,鋼鐵工業,2010,春源,4225500,18532053,22757553,17385514,18768346,36153860,+1.5121,+2.4022,2150997,3417189,961449,+1505028,2.32,11.72,6476554.000000,"本公司114年度之董事酬金係依公司章程第22條規定，由薪資報酬委員會提議，董事會通過，分派當年度未計入員工及董事酬勞之稅前利益，扣除累積虧損後之盈餘，分派董事酬勞1%。
111年獲利792,755,939元，發放7,927,559元。
112年獲利1,090,274,578元，發放10,902,745元。
113年獲利1,355,627,074元，發放13,556,270元。
114年獲利1,853,205,393元，發放18,532,053元。",2026-05-18
1150415,鋼鐵工業,2012,春雨,7841844,1330000,9171844,15715044,1554455,17269499,+16.5862,+31.2299,1101062,2073169,0,+55298,0.20,2.50,3021627.000000,114年度整體產業仍處於去庫存尾聲與需求緩步回溫之調整階段，致獲利較113年度減少，故稅後純益及酬金降低。,2026-05-18
1150415,鋼鐵工業,2013,中鋼構,10828496,5660339,16488835,17135643,5840347,22975990,+2.5828,+3.5990,1498985,2088726,15299980,+638401,3.19,11.49,2000000.000000,"114年度平均每位董事酬金(加計兼任員工酬金)較113年度增加373,915元，主要係本公司114年度獲利較113年度增加。",2026-05-18
1150415,鋼鐵工業,2014,中鴻,6428080,0,6428080,6428080,0,6428080,-0.3479,-0.3479,941154,941154,15267283,-1847819,-1.29,-14.05,14355444.000000,"本公司114年度相關董事酬金為6,428,080元(113年度為6,788,902元)，主係114年度公司4~6月獨立董事少一席，致董事酬金領取相關酬金減少。本公司董事酬勞依章程第28條規定不高於獲利之1%，因114年度虧損，故無分配董事酬勞；薪資及車馬費係依公司章程第22條規定，由董事會參照相關同業及上市公司水準議定。",2026-05-18
1150415,鋼鐵工業,2015,豐興,19316185,44000000,63316185,24731720,54363068,79094788,+2.8085,+3.5084,4870476,6084214,15201000,+2254468,3.88,10.04,5815994.000000,因114年稅後純益較113年減少，致董事酬勞及員工酬勞減少。,2026-05-18
1150415,鋼鐵工業,2017,官田鋼,720000,0,720000,9572088,0,9572088,-0.3007,-3.9977,60000,797674,1407657,-239440,-0.56,-4.47,4468747.000000,"1、本公司支付董事酬金占個體財務報告稅後純(損)益之比例：
114年度為-3.9977%，113年度為7.9493%，兩年度比例差異主係因114年度稅後淨損所致。2、董監酬勞及員工酬勞係依公司章程規定，本公司年度如有獲利提撥不高於1%為董監酬勞，提撥不低於1%為員工酬勞。3、董事長、副董事長及董事之報酬由薪酬委員會向董事會提出建議，供董事會決策之參考。依公司章程規定，授權董事會依其對本公司營運參與之程度及貢獻之價值，並參酌同業通常之水準議定之。4、總經理及副總經理之報酬係依公司制度之薪給標準給付，此薪資報酬政策及制度由薪酬委員會審議後，經董事會決議辦理。",2026-05-18
1150415,鋼鐵工業,2020,美亞,4642,21842,26484,8386,25249,33635,+0.0047,+0.0059,2943,3737,3373,+568346,2.13,12.53,2670313.000000,"一、本年度較去年度稅後損益減少2.58億元，致董事酬金較去年度亦減少9.93百萬元。
二、本公司給付董事之酬金約可分為(A)報酬(B)董事酬勞(C)業務執行費用等類別。
給付之(A)報酬主要係董事薪資，係依據本公司章程第廿一條規定，授權董事會參酌其對公司營運參與程度及貢獻價值，依同業通常水準支給議定之。
(B)董事酬勞係依據本公司章程第四十條規定分配，年度如有獲利，應提撥不超過百分之三為董事酬勞，故與本公司經營績效具有高度之關聯性。
(C)業務執行費用主要係車馬費。",2026-05-18
1150415,鋼鐵工業,2022,聚亨,2184000,0,2184000,9083062,0,9083062,-35.7155,-148.5374,436800,1816612,960000,-6115,-0.02,1.76,3371682.000000,"依本公司章程規定，本公司不論盈虧，得按月支付董事報酬，其數額授權董事會得依同
業通常水準議定之。另本公司年度如有獲利，依公司章程規定之比例提撥員工酬勞及董
事酬勞，但公司尚有累積虧損時，應先預留彌補虧損數。董事酬勞經由薪資報酬委員會
依照「公司章程」及「董事及經理人薪資酬勞辦法」評估結果，計算與審核個人績效發
放，並提報董事會核定之。董事兼任員工所支領之薪水，皆按公司內部管理規章及薪資
議定標準議定。本公司114年度董事酬金計算方式無變動，且本公司董事並未支領變動
報酬。",2026-05-18
1150415,鋼鐵工業,2023,燁輝,8522847,0,8522847,15078946,0,15078946,-0.2407,-0.4258,1327546,2348745,9018710,-3540996,-1.85,-11.11,19032402.000000,"本公司因114年度調升獨立董事及董事兼任員工報酬,導致平均每位董事酬金較上年度微幅上升。",2026-05-18
1150415,鋼鐵工業,2024,志聯,3397116,0,3397116,5283354,0,5283354,-57.7348,-89.7919,485302,754765,0,-5884,-0.06,-0.53,975000.000000,"(1) 114年度營收淨額較113年度減少9%，經營績效(稅後損益)較113年度減少21,808千元，減少率137%。
(2) 114年全體董事酬金(含兼任員工)5,283千元與113年酬金5,534千元減少251千元，減少幅度4.54%。
(3) 114年平均每位董事酬金(含兼任員工)755千元與113年平均酬金829千元減少74千元，減少幅度8.93%。
(4) 綜上所述，114年度稅後損益與董事酬金變動之關聯性尚屬合理。",2026-05-18
1150415,鋼鐵工業,2025,千興,793124,0,793124,3288830,0,3288830,-2.5182,-10.4421,128545,533036,0,-31496,-0.18,-2.17,1726605.000000,本公司董事之報酬，主要係依公司章程規定，授權董事會依董事對本公司營運參與之程度及貢獻之價值，並參照同業通常水準定支給之。,2026-05-18
1150415,鋼鐵工業,2027,大成鋼,4080000,24000000,28080000,21239266,24620241,45859507,+0.4206,+0.6870,2340000,3821626,0,+6675763,2.88,9.74,25842606.000000,依公司章程規定，由董事會決議以獲利數額提撥不高於百分之一點五為董事酬勞。,2026-05-18
1150415,鋼鐵工業,2028,威致,4205000,514537,4719537,9457700,524537,9982237,+5.2764,+11.1599,608973,1288031,0,+89447,0.28,1.90,3257148.000000,本公司依公司章程提撥2%以內為董事酬勞，114年經營績效及稅後純益較去年同期減少，故董事酬金較去年同期減少。,2026-05-18
