出表日期,報告年度,公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,火災件數(件),火災死傷人數(人),火災死傷人數占員工總人數比率,date
1150513,113,1609,大亞,6,0.93%,2,0,0.00%,2026-05-15
1150513,113,1611,中電,0,0.00%,0,0,0,2026-05-15
1150513,113,1612,宏泰,0,0.00%,0,0,0,2026-05-15
1150513,113,1614,三洋電,0,0.00%,0,0,0,2026-05-15
1150513,113,1615,大山,3,1.08%,0,0,0,2026-05-15
1150513,113,1616,億泰,0,0.00%,0,0,0,2026-05-15
1150513,113,1617,榮星,0,0.00%,0,0,0,2026-05-15
1150513,113,1618,合機,1,0.46%,0,0,0,2026-05-15
1150513,113,1626,艾美特-KY,5,0.90%,0,0,0,2026-05-15
1150513,113,1702,南僑,30,0.57%,1,0,0.00%,2026-05-15
1150513,113,1707,葡萄王,2,0.39%,0,0,0,2026-05-15
1150513,113,1708,東鹼,1,3.45%,0,0,0,2026-05-15
1150513,113,1709,和益,0,0.00%,0,0,0,2026-05-15
1150513,113,1710,東聯,2,2.89%,0,0,0.00%,2026-05-15
1150513,113,1711,永光,1,0.05%,0,0,0,2026-05-15
1150513,113,1712,興農,2,0.29%,0,0,0,2026-05-15
1150513,113,1713,國化,1,0.45%,0,0,0,2026-05-15
1150513,113,1714,和桐,0,0.00%,0,0,0,2026-05-15
1150513,113,1717,長興,8,0.00%,0,0,0.00%,2026-05-15
1150513,113,1718,中纖,6,1.12%,0,0,0,2026-05-15
1150513,113,1720,生達,2,0.24%,0,0,0,2026-05-15
1150513,113,1721,三晃,7,1.50%,0,0,0,2026-05-15
1150513,113,1722,台肥,5,0.75%,1,0,0.00%,2026-05-15
1150513,113,1723,中碳,0,0.00%,0,0,0,2026-05-15
1150513,113,1725,元禎,0,0.00%,0,0,0,2026-05-15
1150513,113,1726,永記,13,8.78%,0,0,0,2026-05-15
1150513,113,1727,中華化,8,3.15%,0,0,0,2026-05-15
1150513,113,1730,花仙子,0,0.00%,0,0,0,2026-05-15
1150513,113,1731,美吾華,0,0.00%,0,0,0,2026-05-15
1150513,113,1732,毛寶,1,0.63%,0,0,0,2026-05-15
1150513,113,1733,五鼎,0,0.00%,0,0,0,2026-05-15
1150513,113,1734,杏輝,4,0.50%,0,0,0,2026-05-15
1150513,113,1735,日勝化,1,0.44%,0,0,0,2026-05-15
1150513,113,1736,喬山,20,1.44%,0,0,0,2026-05-15
1150513,113,1737,臺鹽,0,0.00%,0,0,0,2026-05-15
1150513,113,1752,南光,8,1.21%,0,0,0,2026-05-15
1150513,113,1760,寶齡富錦,1,0.18%,0,0,0,2026-05-15
1150513,113,1762,中化生,1,0.33%,0,0,0,2026-05-15
1150513,113,1773,勝一,0,0.00%,0,0,0,2026-05-15
1150513,113,1776,展宇,1,0.86%,0,0,0,2026-05-15
1150513,113,1783,和康生,0,0.00%,0,0,0,2026-05-15
1150513,113,1786,科妍,0,0.00%,0,0,0,2026-05-15
1150513,113,1789,神隆,11,1.47%,0,0,0,2026-05-15
1150513,113,1795,美時,3,0.00%,0,0,0,2026-05-15
1150513,113,1802,台玻,40,0.10%,0,0,0,2026-05-15
1150513,113,1805,寶徠,0,0.00%,0,0,0,2026-05-15
1150513,113,1806,冠軍,3,0.00%,0,0,0,2026-05-15
1150513,113,1808,潤隆,0,0.00%,0,0,0,2026-05-15
1150513,113,1809,中釉,0,0.00%,0,0,0,2026-05-15
