出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸) ,有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位) ,廢棄物密集度-單位,取得驗證,date
1150513,113,1418,東華,0.0000,廢棄物清運量,4.2200,廢棄物清運量,4.2200,廢棄物清運量,0.4100,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1419,新紡,0.0000,大溪廠及大園廠,201.4050,大溪廠及大園廠,201.4050,大溪廠及大園廠,0.0505,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,N/A,N/A,N/A,0.0331,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1432,大魯閣,0.0000,大魯閣實業本體,608.9244,大魯閣實業本體,608.9244,大魯閣實業本體,0.5332,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1434,福懋,948.6200,母公司,3992.0300,母公司,4940.6500,母公司,0.2300,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1435,中福,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1436,華友聯,N/A,已完成合併財報之母子公司,N/A,已完成合併財報之母子公司,212523.0000,已完成合併財報之母子公司,N/A,N/A,N/A,2026-05-15
1150513,113,1437,勤益控,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1438,三地開發,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,1.6800,僅母公司,534.9500,僅母公司,536.6300,僅母公司,0.0694,公噸/百萬元營業額,"ISO 14001,確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」",2026-05-15
1150513,113,1441,大東,0.0000,大東紡織股份有限公司-母公司,0.7724,大東紡織股份有限公司-母公司,0.7724,大東紡織股份有限公司-母公司,0.0017,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1444,力麗,0.0000,彰化廠區,1541.5000,彰化廠區,1541.5000,彰化廠區,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,0.0000,數據揭露範疇包含蘆竹廠及彰濱廠,102.0000,數據揭露範疇包含蘆竹廠及彰濱廠,102.0000,數據揭露範疇包含蘆竹廠及彰濱廠,0.1031,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1446,宏和,0.0000,母公司,3.8000,母公司,3.8000,母公司,0.0010,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1447,力鵬,9890.3040,"楊梅廠區、彰化尼龍總廠、彰化紡織廠
",32.8100,"楊梅廠區、彰化尼龍總廠、彰化紡織廠
",9923.1140,"楊梅廠區、彰化尼龍總廠、彰化紡織廠
",N/A,N/A,N/A,2026-05-15
1150513,113,1449,佳和,0.0000,佳和官田廠(事業廢棄物委託共同處理管制遞送三聯單),846.1000,佳和官田廠(事業廢棄物委託共同處理管制遞送三聯單),846.1000,佳和官田廠(事業廢棄物委託共同處理管制遞送三聯單),N/A,N/A,N/A,2026-05-15
1150513,113,1451,年興,6942.4340,紡織事業處(台灣後龍廠+墨西哥紡織廠+賴索托紡織廠)+成衣事業處(越南寧平廠+賴索托成衣廠),5620.1270,紡織事業處(台灣後龍廠+墨西哥紡織廠+賴索托紡織廠)+成衣事業處(越南寧平廠+賴索托成衣廠),12562.5610,紡織事業處(台灣後龍廠+墨西哥紡織廠+賴索托紡織廠)+成衣事業處(越南寧平廠+賴索托成衣廠),1.9566,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1452,宏益,0.0000,已完成母公司,74.7700,已完成母公司,74.7700,已完成母公司,0.0031,公噸/產品,N/A,2026-05-15
1150513,113,1453,大將,0.0000,本公司營運據點,1.2500,本公司營運據點,1.2500,本公司營運據點,0.0625,公噸/服務,N/A,2026-05-15
1150513,113,1454,台富,0.0000,母公司,186.4500,母公司,186.4500,母公司,11.4880,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1455,集盛,0.0000,一至五廠區,1666.2900,一至五廠區,1666.2900,一至五廠區,0.0093,公噸/產品,N/A,2026-05-15
1150513,113,1456,怡華,0.0000,台南官田廠,814.6900,台南官田廠,814.6900,台南官田廠,N/A,N/A,N/A,2026-05-15
1150513,113,1457,宜進,0.0000,「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司,2.7840,「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司,2.7840,「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司,0.0031,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1459,聯發,0.0000,工廠,30.6400,工廠,30.6400,工廠,0.0640,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1460,宏遠,35.4900,母公司,10187.5492,母公司,10223.0392,母公司,0.9324,公噸/產品,ISO 14001,2026-05-15
1150513,113,1463,強盛新,873.0000,母公司,0.0000,母公司,873.0000,母公司,N/A,N/A,N/A,2026-05-15
1150513,113,1464,得力,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO 14001,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,0.0000,母公司,242.4400,母公司,242.4400,母公司,0.1019,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1467,南緯,0.0870,越南產區,167.2000,越南產區,167.2870,越南產區,N/A,N/A,ISO 14001,2026-05-15
1150513,113,1468,昶和,0.0000,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_南崁,124.5000,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_南崁,124.5000,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_南崁,0.1155,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1470,大統新創,0.0000,母公司桃園廠,984.0000,母公司桃園廠,984.0000,母公司桃園廠,0.2700,公噸/產品,N/A,2026-05-15
1150513,113,1471,首利,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1472,三洋實業,0.0000,三洋實業及子公司總部據點及各施工案場,3305.0123,三洋實業及子公司總部據點及各施工案場,3305.0123,三洋實業及子公司總部據點及各施工案場,14.1514,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1473,台南,669.7200,臺南企業股份有限公司(總公司),1210.1000,臺南企業股份有限公司(總公司),1879.8200,臺南企業股份有限公司(總公司),N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,0.0000,弘裕企業公司(伸港廠、全興廠、和美廠),646.2000,弘裕企業公司(伸港廠、全興廠、和美廠),646.2000,弘裕企業公司(伸港廠、全興廠、和美廠),0.3088,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1475,業旺,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1476,儒鴻,269.9010,包含合併財務報表之母子公司,14347.0150,包含合併財務報表之母子公司,14616.9160,包含合併財務報表之母子公司,0.3968,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1477,聚陽,12.5700,包含合併財務報表之母子公司,9543.4600,包含合併財務報表之母子公司,9556.0300,包含合併財務報表之母子公司,0.5200,公斤/每標打,ISAE3000,2026-05-15
