出表日期,報告年度,公司代號,公司名稱,消耗燃料總量(十億焦耳(GJ)),煤炭百分比,天然氣百分比,再生燃料百分比,date
1150513,113,2014,中鴻,2055171.9392,0.00%,99.60%,0.00%,2026-05-15
1150513,113,2015,豐興,1217885.4900,0.00%,24.40%,0.00%,2026-05-15
1150513,113,2017,官田鋼,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2020,美亞,102310.7100,0.00%,59.22%,0.00%,2026-05-15
1150513,113,2022,聚亨,17611.8487,N/A,15.95%,N/A,2026-05-15
1150513,113,2023,燁輝,1965299.0000,0.00%,66.03%,0.44%,2026-05-15
1150513,113,2025,千興,46470.0235,N/A,100.00%,N/A,2026-05-15
1150513,113,2027,大成鋼,1738651.1300,0.00%,96.54%,0.00%,2026-05-15
1150513,113,2028,威致,527015.7900,0.00%,76.59%,0.00%,2026-05-15
1150513,113,2029,盛餘,628733.0883,0.00%,99.40%,0.00%,2026-05-15
1150513,113,2030,彰源,68.6891,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2031,新光鋼,24188.8400,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2033,佳大,30911.2800,0.00%,99.94%,0.00%,2026-05-15
1150513,113,2034,允強,27133.2300,0.00%,84.86%,0.00%,2026-05-15
1150513,113,2069,運錩,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2101,南港,266998.2000,0.00%,1.28%,0.00%,2026-05-15
1150513,113,2103,台橡,1979583.5269,0.00%,97.14%,2.15%,2026-05-15
1150513,113,2104,國際中橡,N/A,N/A,11.49%,0.44%,2026-05-15
1150513,113,2105,正新,595207.7100,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2107,厚生,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2108,南帝,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,43240.8900,N/A,99.55%,N/A,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,2915.0923,0.00%,44.59%,0.00%,2026-05-15
1150513,113,2207,和泰車,1858.0000,0.00%,31.49%,0.00%,2026-05-15
1150513,113,2208,台船,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,4328.5700,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2227,裕日車,N/A,N/A,N/A,N/A,2026-05-15
