出表日期,報告年度,公司代號,公司名稱,前10大股東持股情形,date
1150513,113,1609,大亞,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1609_20250523F17.pdf,2026-05-15
1150513,113,1611,中電,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1611_20250526F17.pdf,2026-05-15
1150513,113,1612,宏泰,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1612_20250618F17.pdf,2026-05-15
1150513,113,1614,三洋電,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1614_20250617F17.pdf,2026-05-15
1150513,113,1615,大山,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1615_20250610F17.pdf,2026-05-15
1150513,113,1616,億泰,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1616_20250616F17.pdf,2026-05-15
1150513,113,1617,榮星,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1617_20250619F17.pdf,2026-05-15
1150513,113,1618,合機,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1618_20250526F17.pdf,2026-05-15
1150513,113,1626,艾美特-KY,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1626_20250529F17.pdf,2026-05-15
1150513,113,1702,南僑,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1702_20250603F17.pdf,2026-05-15
1150513,113,1707,葡萄王,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1707_20250526F17.pdf,2026-05-15
1150513,113,1708,東鹼,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1708_20250516F17.pdf,2026-05-15
1150513,113,1709,和益,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1709_20250616F17.pdf,2026-05-15
1150513,113,1710,東聯,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1710_20250519F17.pdf,2026-05-15
1150513,113,1711,永光,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1711_20250529F17.pdf,2026-05-15
1150513,113,1712,興農,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1712_20250526F17.pdf,2026-05-15
1150513,113,1713,國化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1713_20250623F17.pdf,2026-05-15
1150513,113,1714,和桐,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1714_20250528F17.pdf,2026-05-15
1150513,113,1717,長興,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1717_20250625F17.pdf,2026-05-15
1150513,113,1718,中纖,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1718_20250611F17.pdf,2026-05-15
1150513,113,1720,生達,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1720_20250529F17.pdf,2026-05-15
