出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1444,力麗企業股份有限公司,紡織纖維,0.07,新台幣                 10.0000元,2121686.00,-14004.00,86826.00,65516.00,2026-05-15
1150515,115,1,1445,大宇紡織股份有限公司,紡織纖維,0.03,新台幣                 10.0000元,171054.00,4008.00,957.00,3972.00,2026-05-15
1150515,115,1,1446,宏和精密紡織股份有限公司,紡織纖維,0.50,新台幣                 10.0000元,180694.00,40375.00,30562.00,68353.00,2026-05-15
1150515,115,1,1449,佳和實業股份有限公司,紡織纖維,-0.23,新台幣                 10.0000元,793579.00,-60098.00,46142.00,-27899.00,2026-05-15
1150515,115,1,1451,年興紡織股份有限公司,紡織纖維,0.47,新台幣                 10.0000元,1528005.00,90072.00,27114.00,92289.00,2026-05-15
1150515,115,1,1452,宏益纖維工業股份有限公司,紡織纖維,-0.09,新台幣                 10.0000元,328337.00,-11536.00,-530.00,-11619.00,2026-05-15
1150515,115,1,1453,大將開發股份有限公司,建材營造,-0.05,新台幣                 10.0000元,377.00,-8463.00,3188.00,-5275.00,2026-05-15
1150515,115,1,1454,台灣富綢纖維股份有限公司,紡織纖維,-0.20,新台幣                 10.0000元,294179.00,-28536.00,5209.00,-23966.00,2026-05-15
1150515,115,1,1455,集盛實業股份有限公司,紡織纖維,-0.05,新台幣                 10.0000元,1265739.00,-45175.00,13026.00,-26781.00,2026-05-15
1150515,115,1,1456,怡華實業股份有限公司,建材營造,-0.43,新台幣                 10.0000元,218947.00,54719.00,-94615.00,-40651.00,2026-05-15
1150515,115,1,1457,宜進實業股份有限公司,紡織纖維,0.20,新台幣                 10.0000元,647286.00,80881.00,-19283.00,31742.00,2026-05-15
1150515,115,1,1459,聯發紡織纖維股份有限公司,紡織纖維,0.03,新台幣                 10.0000元,231160.00,24305.00,-3314.00,9664.00,2026-05-15
1150515,115,1,1460,宏遠興業股份有限公司,紡織纖維,0.02,新台幣                 10.0000元,1697865.00,11835.00,12428.00,13270.00,2026-05-15
1150515,115,1,1463,強盛新投資控股股份有限公司,紡織纖維,-0.01,新台幣                 10.0000元,62815.00,-5748.00,8843.00,-2488.00,2026-05-15
1150515,115,1,1464,得力實業股份有限公司,紡織纖維,0.30,新台幣                 10.0000元,2987876.00,105075.00,60045.00,124089.00,2026-05-15
1150515,115,1,1465,偉全實業股份有限公司,紡織纖維,0.27,新台幣                 10.0000元,98482.00,-13544.00,22661.00,28088.00,2026-05-15
1150515,115,1,1466,聚隆纖維股份有限公司,紡織纖維,0.17,新台幣                 10.0000元,547834.00,8437.00,10580.00,21257.00,2026-05-15
1150515,115,1,1467,南緯實業股份有限公司,紡織纖維,0.11,新台幣                 10.0000元,1182469.00,6454.00,36730.00,27696.00,2026-05-15
1150515,115,1,1468,昶和纖維興業股份有限公司,紡織纖維,0.17,新台幣                 10.0000元,127625.00,6858.00,30718.00,27321.00,2026-05-15
1150515,115,1,1470,大統新創股份有限公司,紡織纖維,0.31,新台幣                 10.0000元,191305.00,23476.00,9718.00,26671.00,2026-05-15
1150515,115,1,1471,首利實業股份有限公司,電子零組件業,-0.03,新台幣                 10.0000元,22014.00,-31799.00,27990.00,-3809.00,2026-05-15
1150515,115,1,1472,三洋實業股份有限公司,建材營造,1.78,新台幣                 10.0000元,914324.00,106392.00,3489.00,93494.00,2026-05-15
1150515,115,1,1473,台南企業股份有限公司,紡織纖維,0.69,新台幣                 10.0000元,1959149.00,103223.00,19442.00,100342.00,2026-05-15
1150515,115,1,1474,弘裕企業股份有限公司,紡織纖維,0.09,新台幣                 10.0000元,691030.00,-5242.00,15230.00,10001.00,2026-05-15
1150515,115,1,1475,台灣業旺股份有限公司,紡織纖維,0.88,新台幣                 10.0000元,347966.00,42420.00,30038.00,57885.00,2026-05-15
1150515,115,1,1476,儒鴻企業股份有限公司,紡織纖維,6.69,新台幣                 10.0000元,9621070.00,2194913.00,95776.00,1834516.00,2026-05-15
1150515,115,1,1477,聚陽實業股份有限公司,紡織纖維,4.35,新台幣                 10.0000元,8896989.00,1377342.00,-20459.00,1077406.00,2026-05-15
1150515,115,1,1504,東元電機股份有限公司,電機機械,0.51,新台幣                 10.0000元,14235194.00,1178530.00,403360.00,1238690.00,2026-05-15
1150515,115,1,1506,正道工業股份有限公司,電機機械,0.02,新台幣                 10.0000元,290125.00,6172.00,537.00,5319.00,2026-05-15
1150515,115,1,1513,中興電工機械股份有限公司,電機機械,1.94,新台幣                 10.0000元,6490639.00,1203389.00,14822.00,960263.00,2026-05-15
1150515,115,1,1514,亞力電機股份有限公司,電機機械,0.73,新台幣                 10.0000元,2526342.00,211127.00,36266.00,200461.00,2026-05-15
1150515,115,1,1515,力山工業股份有限公司,電機機械,0.07,新台幣                 10.0000元,1050350.00,-4490.00,19269.00,11553.00,2026-05-15
1150515,115,1,1516,川飛能源股份有限公司,其他,-0.05,新台幣                 10.0000元,26221.00,-2315.00,225.00,-2088.00,2026-05-15
