出表日期,報告年度,公司代號,公司名稱,售出產品重量(公噸(t)),生產設施場所數量(座),依產品類別之產品產量,date
1150513,113,2023,燁輝,N/A,N/A,"鍍鋅鋼捲507,108噸、烤漆鋼捲229,538噸、天車工程8.86台、鋼構工程15,893噸、其他87,367噸 (包含軋延鋼捲、買賣鋼捲及代工)",2026-05-15
1150513,113,2025,千興,16674.422,1,"304  鋼捲：16641.639公噸
304L鋼捲：      11.211公噸
316L鋼捲：      21.572公噸",2026-05-15
1150513,113,2027,大成鋼,N/A,N/A,"不銹鋼產品：187,347噸
螺絲螺帽：173,618噸
鋁製品：238,110噸
窗飾：12,094平方英尺
系統家具：1,745件
其他產品：1,515噸",2026-05-15
1150513,113,2028,威致,N/A,N/A,"1.鋼筋：462,009噸、2.棒鋼：35,126噸、3.盤元：14,632噸、4.鋼胚：592,876噸(鋼胚供軋自用519,517噸)",2026-05-15
1150513,113,2029,盛餘,N/A,N/A,"鍍鋅鋼捲268仟公噸
烤漆鋼捲135仟公噸",2026-05-15
1150513,113,2030,彰源,149516.000,7,"不銹鋼管：120千噸
不銹鋼捲板：18千噸",2026-05-15
1150513,113,2031,新光鋼,408671.000,3,"344,221公噸(t)",2026-05-15
1150513,113,2034,允強,133723.000,4,"不銹鋼鋼管 73,391公噸  不銹鋼板/捲 58,429公噸   其他不銹鋼製品  2,048公噸",2026-05-15
1150513,113,2069,運錩,N/A,N/A,N/A,2026-05-15
1150513,113,2101,南港,29730.900,2,"6,499,374條",2026-05-15
1150513,113,2103,台橡,552243.000,8,"113年主要產品產量
合成橡膠：542,236公噸
非合成橡膠：10,007公噸
總計552,243公噸",2026-05-15
1150513,113,2104,國際中橡,389090.000,8,"碳黑：391,502公噸",2026-05-15
1150513,113,2105,正新,N/A,N/A,N/A,2026-05-15
1150513,113,2107,厚生,N/A,N/A,N/A,2026-05-15
1150513,113,2108,南帝,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,N/A,N/A,N/A,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,N/A,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,N/A,3,N/A,2026-05-15
1150513,113,2208,台船,N/A,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,123773.000,2,"鋼構產品 127,092公噸",2026-05-15
1150513,113,2227,裕日車,N/A,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,N/A,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,N/A,2,N/A,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,N/A,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,N/A,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,N/A,N/A,"本公司主要產品有三項，分別生產產量如下：

1. 光電產品：17,656,417仟台

2. 資訊及消費性電子：280,839仟台

3. 電端及物聯網：47,726仟台
合計17,984,982仟台",2026-05-15
1150513,113,2302,麗正,N/A,N/A,N/A,2026-05-15
1150513,113,2303,聯電,N/A,12,"344.6萬片約當12 吋晶圓
",2026-05-15
1150513,113,2305,全友,N/A,N/A,"影像掃描器佔28%
光電子設備佔72% ",2026-05-15
1150513,113,2308,台達電,N/A,N/A,"商業機密不予揭露 ，因涉及營運與產能策略，影響競爭優勢
",2026-05-15
1150513,113,2312,金寶,79071.310,19,"2024年主要產品產量為27,364,276台",2026-05-15
1150513,113,2313,華通,N/A,N/A,請參閱華通電腦2024年報中文版第 64 頁,2026-05-15
1150513,113,2314,台揚,N/A,N/A,1152712,2026-05-15
1150513,113,2316,楠梓電,N/A,N/A,N/A,2026-05-15
1150513,113,2317,鴻海,N/A,N/A,"鴻海已建構完善的品質管理系統，並制定明確的品質政策，各廠區亦取得ISO 9001等國際標準驗證，我們透過公司透過「規劃、執行、檢查、改善」（PDCA）管理循環，持續推動品質檢查、內部稽核及各項管理活動，導入流程管理方法及風險評估機制，積極識別並消除潛在風險，實現持續改善目標。 消費智能產品營收達到3,169,936 百萬新臺幣，雲端網路產品2,001,817 百萬新臺幣，電腦終端產品1,262,891 百萬新臺幣，元件及其他產品424,971 百萬新臺幣。",2026-05-15
1150513,113,2321,東訊,N/A,N/A,N/A,2026-05-15
1150513,113,2323,中環,N/A,N/A,"光儲存及週邊產品：18,142仟套",2026-05-15
1150513,113,2324,仁寶,14390.000,13,"筆電類: 35,262,267台
非筆電類:  20,377,393 件",2026-05-15
1150513,113,2327,國巨,N/A,N/A,"主要商品:積層陶瓷電容338,680百萬顆，鉭質電容3,378百萬顆，晶片電阻778,214百萬顆，磁性元件26,545百萬顆，感測器69百萬顆。",2026-05-15
1150513,113,2328,廣宇,N/A,15,"本公司主要產品為電子訊號線、線束、車用線束及PCB等電子零組件產品，係依據客戶需求與規格，量身訂製，並以準時交期、優良品質為服務宗旨，滿足客戶的所有需求。2024年度並無客戶機密或資訊外洩的情況，也沒有因產品責任而產生的訴訟案件。公司也已經投保產品責任保險，以規避因產品責任訴訟可能產生的相關風險。
",2026-05-15
1150513,113,2329,華泰,N/A,N/A,"本公司2024年度產品產量分別為塑膠積體電路807,971  仟個、EMS 64,209  仟個及其他,詳見本公司ESG報告書「4.3.1產品布局」章節。",2026-05-15
1150513,113,2330,台積電,N/A,N/A,"達1,290萬片十二吋晶圓約當量",2026-05-15
1150513,113,2331,精英,N/A,2,3090262(片、台),2026-05-15
1150513,113,2332,友訊,N/A,N/A,"(1) 網通設備類  :  5,703,070 units   
(2) 其他類:1,780 units",2026-05-15
1150513,113,2337,旺宏,N/A,N/A,"113年度記憶體產品晶粒總產量1,764,382(仟)顆，代工服務約當8吋晶圓170,846片。",2026-05-15
