Code,Company,ApplicationDate,Chairman,AmountofCapital ,CommitteeDate,ApprovedDate,AgreementDate,ListingDate,ApprovedListingDate,Underwriter,UnderwritingPrice,Note,date
3543,州巧,1081120,李樹裔,794361,1081231,1090114,1090117,,1090415,福邦,15.00,,2026-05-15
4581,光隆精密-KY,1080925,呂皇甫,300000,1081031,1081119,1081122,,1090309,日盛,35.00,,2026-05-15
6706,惠特,1080925,徐秋田,606529,1081022,1081029,1081031,,1081219,凱基,56.00,,2026-05-15
1795,美時製藥,1080830,Robert Wessman,2431139,,1081029,1081031,,1081216,凱基,,櫃轉市,2026-05-15
6715,嘉基,1080711,朱德祥,510000,1080821,1080827,1080830,,1081212,中國信託,70.80,科技事業,2026-05-15
6592,和潤企業,1081001,田天明,3746104,1081017,1081029,1081030,,1081209,台新,53.00,,2026-05-15
4439,冠星-KY,1080716,林錦茂,280000,1080821,1080827,1080902,,1081205,元大,158.00,,2026-05-15
6698,旭暉應材,1080625,趙勤孝,603438,1080802,1080827,1080902,,1081125,兆豐,68.00,,2026-05-15
6491,晶碩,1080531,童子賢,600000,1080705,1080716,1080722,,1081007,元大,152.00,,2026-05-15
4571,鈞興-KY,1080430,高國興,420000,1080606,1080618,1080624,,1080917,永豐金,70.00,,2026-05-15
2233,宇隆,1080628,劉俊昌,602881,,1080827,1080829,,1080917,台新,,櫃轉市,2026-05-15
4572,駐龍,1080417,王昆生,300000,1080527,1080618,1080625,,1080910,台新,140.00,科技事業,2026-05-15
4576,大銀微系統,1080430,卓永財,1064082,1080606,1080618,1080621,,1080904,元大,56.00,,2026-05-15
5283,禾聯碩,1071109,蔡金土,667994,1080118,1080226,1080227,,1080524,元富,91.00,,2026-05-15
6672,騰輝電子-KY,1071029,勞開陸,646143,1071204,1071218,1071219,,1080417,元大,60.06,,2026-05-15
3563,牧德,1071228,汪光夏,426082,,1080226,1080227,,1080402,元富,,櫃轉市，科技事業,2026-05-15
6669,緯穎,1070731,林憲銘,1264655,1071210,1071218,1071222,,1080327,元大,248.00,,2026-05-15
8462,柏文,1071130,陳尚義,611636,,1080115,1080119,,1080315,永豐金,,櫃轉市,2026-05-15
4564,元翎,1071016,王德鑫,1556480,1071126,1071218,1071221,,1080307,福邦,25.00,,2026-05-15
8104,錸寶科技,1071004,葉垂景,601101,1071113,1071120,1071121,,1080117,福邦,60.00,,2026-05-15
4967,十銓,1070910,夏澹寧,601575,1071017,1071120,1071121,,1080114,群益金鼎,22.00,,2026-05-15
1341,富林-KY,1070627,王源林,403000,1070803,1070828,1070904,,1071224,中國信託,28.80,,2026-05-15
6670,復盛應用,1070720,李亮箴,1184300,1070830,1070918,1070919,,1071218,富邦,120.00,,2026-05-15
6668,中揚光,1070823,鄭成田,600415,1071003,1071016,1071018,,1071212,元大,58.00,,2026-05-15
6671,三能-KY,1070625,張瑞榮,540000,1070803,1070828,1070905,,1071211,兆豐,41.48,,2026-05-15
6558,興能高,1070727,邢雪坤,762093,1070831,1070918,1070919,,1071205,富邦,18.00,,2026-05-15
6655,科定,1070629,曹憲章,603900,1070809,1070828,1070829,,1071128,中國信託,60.32,,2026-05-15
4766,南寶,1070718,吳政賢,1086208,1070827,1070918,1070919,,1071128,富邦,76.80,,2026-05-15
6674,鋐寶科技,1070718,翁宗斌,604897,1070824,1070918,1070919,,1071128,凱基,30.84,,2026-05-15
6666,羅麗芬-KY,1070430,羅麗芬,330000,1070604,1070828,1070905,,1071119,永豐金,105.00,,2026-05-15
5876,上海商銀,1070426,榮鴻慶,40791031,1070530,1070619,1070621,,1071019,華南永昌,32.28,,2026-05-15
