出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,date
1150514,11504,5847,玉山銀行,金融保險業,8386925,7535540,6787286,11.298261305759109,23.568168484428092,30799254,27285990,12.875706543907699,-,2026-05-15
1150514,11504,5848,台新銀行,金融保險業,5427853,5779575,4786231,-6.0856031801646315,13.405579463256162,22610594,19066251,18.58961680510762,-,2026-05-15
1150514,11504,5849,永豐銀行,金融保險業,5104837,5248528,4304366,-2.7377390384503997,18.59672249060605,22137860,19078002,16.03867113547844,-,2026-05-15
1150514,11504,5852,元大銀行,金融保險業,3156807,3099741,2105313,1.840992521633259,49.94478255727296,12652748,9409776,34.463859713557476,-,2026-05-15
1150514,11504,5854,合庫,金融保險業,5072876,5048845,4602158,0.4759702466603748,10.228201639317902,19771770,18547371,6.60146928640183,-,2026-05-15
1150514,11504,5857,土地銀行,金融保險業,3210151,2982105,2339876,7.647148574580707,37.19321023849127,12918068,10743026,20.246083366083262,-,2026-05-15
1150514,11504,5858,臺銀,金融保險業,6091054,4530782,4466909,34.43714572892715,36.35948258628058,21326436,15068789,41.52720566994468,-,2026-05-15
1150514,11504,5862,板信銀行,金融保險業,492341,522531,434847,-5.777647641958085,13.221661871876774,1982073,1785577,11.004622035342077,-,2026-05-15
1150514,11504,5866,統一期,期貨商,468,114483,80736,-99.59120568119285,-99.42033293697979,231181,254042,-8.998905692759465,-,2026-05-15
1150514,11504,5867,康和期,期貨商,55373,59082,50664,-6.277715717138892,9.294568135165008,203170,175193,15.96924534656065,-,2026-05-15
1150514,11504,5870,花旗台灣,金融保險業,1634983,1890063,1262111,-13.495846434748472,29.543518755481887,6445020,5168482,24.698509156073293,-,2026-05-15
1150514,11504,5872,匯豐台灣,金融保險業,2507760,2499986,1821773,0.3109617413857518,37.65491090273047,9720609,8250621,17.81669525239373,-,2026-05-15
1150514,11504,5875,星展銀行,金融保險業,2992949,3201356,2513273,-6.509960154384579,19.085710147683915,12058752,10409204,15.847013854277426,-,2026-05-15
1150514,11504,5901,中友百貨,貿易百貨,157647,286143,180845,-44.906218219561545,-12.827559512289529,697215,793406,-12.123805466558105,-,2026-05-15
1150514,11504,6008,凱基證券,證券,8133976,4363809,2316444,86.39624236532809,251.14062761715803,23228974,10674113,117.61971228897427,-,2026-05-15
1150514,11504,6025,臺銀人壽,金融保險業,2600415,-175393,-1689055,1582.6218834275028,253.9567983280592,6362822,167590,3696.659705233009,-,2026-05-15
1150514,11504,6029,和泰產險,金融保險業,2785721,1121139,1189591,148.4724017271721,134.17468693021382,7297597,4645165,57.10092106523665,-,2026-05-15
1150514,11504,6030,樂天國際銀行,金融保險業,40100,42123,-1065,-4.802601903947962,3865.258215962441,143236,59791,139.5611379639076,-,2026-05-15
1150514,11504,6031,連線銀行,金融保險業,252088,256729,142514,-1.8077427949316205,76.88648132815021,962078,527585,82.35507074689387,-,2026-05-15
1150514,11504,6033,一卡通,金融保險業,51498,63555,70420,-18.970970025961766,-26.87020732746379,221104,313857,-29.55263065663662,-,2026-05-15
1150514,11504,6034,愛金卡,金融保險業,84518,88655,86409,-4.666403474141334,-2.188429446006782,315060,318833,-1.1833781321255956,-,2026-05-15
1150514,11504,6036,橘子支付,金融保險業,335,428,841,-21.72897196261682,-60.166468489892985,2756,4002,-31.134432783608197,-,2026-05-15
1150514,11504,6037,簡單支,金融保險業,4378,4622,3866,-5.279099956728689,13.243662700465597,16649,15356,8.420161500390726,-,2026-05-15
1150514,11504,6038,街口電支,金融保險業,60763,61485,58821,-1.1742701471903716,3.301541966304551,243667,245020,-0.5521998204228227,-,2026-05-15
1150514,11504,6039,將來銀行,金融保險業,43675,62565,-9196,-30.19259969631583,574.9347542409744,186131,80325,131.7223778400249,-,2026-05-15
1150514,11504,6040,全支付,金融保險業,27722,28216,25163,-1.7507796994612985,10.169693597742718,111462,88878,25.410112738810504,-,2026-05-15
1150514,11504,6288,聯嘉,汽車工業,579784,679322,465342,-14.652550631364802,24.59309497101057,2430076,1927554,26.070449906980556,-,2026-05-15
1150514,11504,6403,群登,其他,14893,6583,9823,126.23423970833966,51.613560012216226,36112,45137,-19.994682854420986,-,2026-05-15
1150514,11504,6475,智賦科,電子工業,74408,52043,37792,42.97407912687585,96.88823031329382,215429,131324,64.04389144406201,-,2026-05-15
1150514,11504,6479,瑞寶基因,其他,3536,4132,5670,-14.424007744433688,-37.63668430335097,18676,29058,-35.728542914171655,-,2026-05-15
1150514,11504,6545,擎力,其他,14089,14327,15440,-1.6611991345012913,-8.75,50449,49016,2.923535172188673,-,2026-05-15
