出表日期,報告年度,公司代號,公司名稱,重大事件之風險管理政策,與使用關鍵材料相關的風險管理之描述,date
1150513,113,1201,味全,本公司於112年8月4日董事會通過修訂風險管理政策及程序，用以制定策略、辨識風險事件並加以管理，使其在可控範圍內不超出本公司之風險胃納。各風險事項由各權責單位依其職權進行分析、評估、及擬定後續因應措施，呈報核定後據以執行，並將重大事件提報至風險管理委員會討論後，提出建議事項至董事會決議。,"(1)本公司各功能單位依據公司策略目標及董事會核定之風險管理政策與程序，就其所屬單位之短、中、長程目標與業務執掌進行風險辨識。
(2)並依實務狀況，針對已辨識風險事件之性質及特徵進行瞭解，並運用各項資訊來分析已辨識風險事件之發生機率及其結果之影響程度，據以計算風險值。
(3)依據風險分析結果，對照經風險管理委員會核定之風險胃納，以研判風險等級並決定需優先處理之風險事件。相關風險分析與評量結果確實記錄，並提報風險管理委員會進行核定。
(4)各功能單位應依據風險等級，規劃與執行後續風險回應方案及相關處理計畫，並持續監控相關處理計畫之執行情形，以確保相關人員充分理解與執行。
(5)風險管理推動與執行單位審查風險管理程序之有效運作與風險回應方案及相關處理計畫之執行進度，並將相關審查結果納入績效衡量與報告事項中。風險管理推動與執行單位檢討修訂相關管理辦法及程序，將風險管理與組織中關鍵流程進行連結，以有效監督與提升風險管理落實實施之效益。
",2026-05-17
1150513,113,1203,味王,於企業經營面臨之各項風險，組織依據各類型風險特性採取對應管理機制，確保能有效控制相關風險，同時達成營運策略目標。在風險管理方面，依各相關單位潛在之風險進行辨認、分析與衡量，進而透過適當管理方法加以應對，監督並改進風險管理計劃，依風險的特性與影響層級，予以集中管理與分層執行，使所有風險均能隨時有效掌控。,"1.本公司對所有產品均會進行風險管理，經由風險分析評估出需監測之原料、半成品及成品。而於製程監測上，則藉由風險分析判定是否可透過前提方案予以排除或降低風險等級，如無法有效排除則建立品質管制點予以監控，以降低風險。
2.有鑑於食品之「有效日期」會受到原料、製造過程、運輸、儲藏、包材及販售等環境因素影響。因此，針對有效日期之評估將以新、舊產品分別進行簡述：(1)新開發使用原料確實執行原材料調查，予以風險分析與評估確保品質符合法規及製程要求、(2)針對舊有產品之有效日期評估會因為法規、原料、製程、包材變更等因素而重新評估。",2026-05-17
1150513,113,1210,大成,董事會負責發展及控管本公司之風險管理政策，本公司風險管理政策之建置係為辨識及分析本公司所面臨之風險，及設定適當風險限額及控制，並監督風險與風險限額之遵循，內部稽核人員協助董事會監督角色，該等人員進行定期例外覆核風險管理控制及程序 ，並將覆核結果報告予董事會。,"在原料方面，亦需以全世界為供應來源，以期取得成本最低之原料與服務。面對這樣的競爭環境，以公司的營運規模，發揮全球統籌採購優勢，降低原物料採購成本，進而提升產品品質及售後服務。
面對食品安全的問題層出不窮，整個環境狀況對禽流感、農畜產品藥物殘留疑慮並未消除，因此公司為維持穩定獲利，將在產品結構上進行上下游整合，分散飼料經營風險。",2026-05-17
1150513,113,1216,統一,本公司無訂定重大事件之風險管理政策,本公司無使用關鍵材料相關的風險管理,2026-05-17
1150513,113,1217,愛之味,本公司訂定相關風險管理政策，請詳閱113年度年報40頁。,N/A,2026-05-17
1150513,113,1219,福壽,公司設有「風險管理委員會」並制定「風險管理政策及程序」，負責統籌執行風險監控、衡量及評估事務，確保各項風險管理策略得以有效落實。針對重大風險項目研擬因應方案與追蹤，每年一次向董事會報告風險管理執行情況及其他風險管理相關事項。,"1.大宗物資原料近八成來自進口，為降低採購風險，分別從歐美國家、東南亞分散採購方式，並增加庫存量，以因應風險。
2.部分使用國產原料，降低國外採購風險。",2026-05-17
1150513,113,1220,台榮,公司有關營運政策、投資案、資金貸與等重大議案，皆經權責部門評估分析並送董事會決議後執行。稽核室亦訂定稽核計劃，並確實執行，以落實監督機制及控管各項風險管理之執行。,依重大議題及邊界鑑別流程，公司藉由多元管道與利害關係人溝通，彙整各界關注焦點，識別初步的重要議題，依實質性鑑別「對公司衝擊程度」及「利害關係人關注程度」兩軸線進行評估，據以分析重大性排序，並提出重大性議題分析圖，藉此檢視公司內外部永續現況，校準公司在永續管理上的策略及長期目標，推動各組織持續精進，為社會與公司創造共享價值。,2026-05-17
1150513,113,1227,佳格,佳格食品集團2023年訂定「風險管理政策與程序」，並於2023年8月2日經審計委員會及董事會通過，作為佳格食品集團風險管理之最高指導原則及管理程序，明確規範佳格食品集團風險管理的政策、目的、範圍、組織架構、單位權責、風險管理機制及執行流程。,"因氣候變遷導致原物料價格上升：將改從多區域進口符合規範之原物料，以降低成本。
原料供應商突遇重大意外，造成生產原料供應短缺：不倚賴單一供應商以分散風險，強化供應鏈管理彈性。",2026-05-17
1150513,113,1229,聯華,為避免遭遇利率上升、匯率波動等財務風險，應蒐集總體經濟及即時利率資訊，定期評估長短期利率走勢，並適時調整借款週期及計息方式，或洽談專案融資，確保長期資金穩定及財務彈性。匯率部份除定期討論匯率走勢，掌握匯率變動趨勢，並依據國際間政經情勢發展與金融機構保持聯繫，透過現購美金來調節外匯暴險部位及其產生之匯兌損益。另外依「客戶授信管理辦法」，於新增及調整額度時，對客戶進行徵信，並要求客戶提供擔保品，降低風險。,"小麥為聯華製粉最主要的原物料，針對其供應中斷或其他不確定性的風險，其管理策略如下：
1. 穩定維持三個產地以上的供應，與供應商簽署合約，確保其交期及品質規範。
2. 即時監控供應鏈變化和供應商評估，提早建立應變策略。
3. 透過公會聯合採購。保持適當的庫存水平，並保留部份需求量分散向不同來源國採購。
4. 確保小麥供應鏈符合環保法規，積極參與可持續性計劃。",2026-05-17
1150513,113,1231,聯華食,N/A,N/A,2026-05-17
1150513,113,1233,天仁,"本公司風險管理政策係依照公司營運方針，建立風險辨識、衡量、監督及控管之風險管理機制，在可承受風險範圍內，以達成風險與報酬合理化之目標。參考公司業務特性、內外部環境等因素，可將本公司面臨的風險主要分為：(一) 經營策略風險、(二) 營運風險(含人事議題)、(三) 生產製程風險、(四) 財務風險、(五) 食品安全風險、(六) 職業安全風險、(七) 資訊安全風險、(八) 法律風險(含各項法規變革等)、(九) 氣候風險、(十) 其他危害風險(指遇突發傳染病疫情(例.Covid-19)等之未分類情況)。
上述相關風險之管理政策，請詳本公司訂定之【風險管理政策及程序】，其包括風險管理政策、風險管理程序、風險管理組織架構及職責、風險管理執行、風險管理運作情形與揭露等，其網址如下：
https://www.tenren.com.tw/Content/Downloads/List.aspx?SiteID=10&MmmID=654256534471220550 ","依據本公司【風險管理政策及程序】，與關鍵材料相關之風險包括生產製程風險、職業安全風險、食品安全風險、法律風險，其風險管理內容如下：
1. 職能簡述：採購、品管、研發、生產包裝、倉儲配送、職安等。
2. 風險管理內容：
(1)確保生產工作依排程及相關標準程序進行，掌握原物料供應，維護所生產之製成品品質符合國家法令規定、消費者訴求，及本公司所通過國際驗證體系所規範之食安標準，降低食安風險。
(2)廠房及設備之維護與保養，降低因生產設備損壞導致之停工風險。
(3)攸關所屬各部負責相關業務之運行，包含總廠各項特定議題(環安、職安、工安等)，遵循政府監理措施，負責降低各項未適法之訴訟及爭議，以降低法律風險。
(4)健全所負責原物料採購廠商之供應鏈管理，依公司管理規定，取得合規檢驗報告及來源證明始得採購之規定，重視合作供應商之素質，符合供應商企業社會責任行為準則，以降低食安及供應鏈風險。
(5)評估及確保所負責新產品之開發無侵犯專利及智慧財產權之法律風險。",2026-05-17
1150513,113,1234,黑松,N/A,N/A,2026-05-17
1150513,113,1236,宏亞,N/A,N/A,2026-05-17
1150513,113,1303,南亞,N/A,N/A,2026-05-17
1150513,113,1304,台聚,N/A,N/A,2026-05-17
1150513,113,1305,華夏,本公司及所屬子公司依據整體營運方針建置風險管理機制，針對重大事件類型由各單位訂定應變辦法，並依程序執行通報與處置。管理制度亦定期檢討並滾動式調整，以強化韌性與營運持續性。相關資訊依規定揭露於年報及公司官網。,本公司針對關鍵原料採多元供應商策略，降低單一來源風險，並依各單位業務特性建立替代方案與庫存管理機制，確保供應穩定。另透過供應商評鑑與簽署承諾書強化永續供應與風險控管。,2026-05-17
1150513,113,1307,三芳,"根據本公司營運方針，界定各類風險，在可承受之風險範圍內，預防可能的損失，達成資源配置之最佳化原則，為落實本公司風險管理訂定以下風險管理政策：
參考國際趨勢，配合品牌發展，整合公司策略，辨識關鍵風險，連結績效指標，落實風險管理，邁向永續經營。
本公司訂定風險管理政策與程序,請參考本公司公司網站","本公司訂定風險管理政策與程序,請參考本公司公司網站",2026-05-17
1150513,113,1308,亞聚,N/A,N/A,2026-05-17
1150513,113,1309,台達化,N/A,N/A,2026-05-17
1150513,113,1310,台苯,N/A,N/A,2026-05-17
1150513,113,1312,國喬,N/A,N/A,2026-05-17
1150513,113,1313,聯成,依113年風險管理小組評估風險項目，動態檢視後價格波動、原料供應、放帳、工業安全、專業傳承、人力資源競爭力、駭客及攻擊程式入侵、病毒入侵及資料外洩等風險。就上開風險項目提報予風險管理委員會列管，並每季檢視管控執行狀況，動態調整風險層級及對應措施。,針對原料存量依據IS Ratio高低端設定控管,2026-05-17
1150513,113,1314,中石化,本公司依循重大性原則及ISO 31000 風險管理準則與指引，建立系統性的風險應對政策和流程。風險議題鑑別程序如下：(1)共識建立：召集各部門一級主管召開會議辨識公司內外部風險；(2) 風險辨識：盤點內外部風險議題後，分為 7 大面向和 35 項風險議題；(3)風險分析&風險評量：透過專家評鑑法，調查各級主管對風險之於公司營運衝擊的嚴重度與發生機率看法，選定9項高度風險的議題； (4)風險因應與監督：針對9項高度風險議題，盤點採購、人力資源、生產、研發、環保、職業安全與衛生及五廠各單位之因應策略，彙整出公司的風險回應與管理作為，並針對各項風險議題進行因應策略與減緩行動；(5)風險報告審查、紀錄與揭露：各單位訂定高風險議題之風險胃納、風險目標與因應方案及預訂改善完成時程，每季監控高風險項目，高風險清單執行狀況呈報於2024年11月13日董事會之2025事業計畫報告案報告中。,N/A,2026-05-17
1150513,113,1315,達新,"風險管理組織架構
一、董事會：為本集團風險管理之最高治理單位，以遵循法令
         依整體營運策略及經營環境，推動並落實公司整體風險管
         理為目標，明確瞭解公司營運所面臨之風險，確保風險管
         理之有效性，並負風險管理最終責任。
二、永續發展委員會：為本集團風險管理之最高指導單位。其
         下之推行小組，負責協調相關營運部門進行風險辨識、評
         估、管制及監督。
三、營運部門：所有本集團主管及員工皆有義務對各自負責之
         工作做好風險辨識、評估、處理及報告，確保風險控管機
         制與程序能有效執行。
四、內部稽核：隸屬於董事會之獨立單位，協助董事會監督風
         險管理機制之落實程度，定期查核各營運單位之內控及稽
         核計畫是否落實，並依查核結果提交改善建議報告。 
風險管理流程：   
         本集團風險管理流程包括：風險辨識、風險分析、風險評估
        、風險監控、風險報告、風險回應。
風險管理之執行：
         本集團風險管理之執行係按照風險管理三級制分工架構運作。
風險管理層級	                                      風險管理運作
第一線責任	        各業務承辦人為其承辦業務之風險責任人，須依相關業
                                務之內部控制制度及內部規範執行業務，為最初的風險
                                發覺、評估及控制的直接單位。
第二線責任	        各推行小組權責主管，須負責相關業務之風險管理，並
                                應根據實際業務之運作，審視作業細則，並應注意主管
                                機關公告之最新法規增(修)訂及業務相關函令，必要時
                                得增(修)訂相關內部規範。
第三線責任	        高階管理階層須審視本公司風險管理相關機制之完整性
                                以確實督導風險管理之有效執行並定期向董事會報告。
風險管理執行落實之評估 :
         由內部稽核人員進行有關風險管理是否有效落實執行之評估，
         確保制度落實與遵循。
風險資訊揭露 :
         本集團除應依主管機關規定揭露相關資訊外，並於年報、公司
         網頁揭露與風險管理有關資訊。


",N/A,2026-05-17
1150513,113,1319,東陽,N/A,N/A,2026-05-17
