出表日期,報告年度,公司代號,公司名稱,為改善食品衛生、安全與品質，而針對其從業人員、作業場所、設施衛生管理及其品保制度等方面進行之評估與改進及所影響之百分比,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別與次數,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之產品下架次數(次),違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之下架產品總重量(公噸(t)),經獨立第三方驗證符合國際認證之食品安全管理系統標準之廠房所生產產品之百分比,依法規要求或自願進行產品追溯與追蹤管理之相關產品占所有產品之百分比,依法規要求或自願設置食品安全實驗室之相關支出(仟元),依法規要求或自願設置食品安全實驗室之相關支出占營業收入淨額之百分比,date
1150513,113,2305,全友,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2308,台達電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2313,華通,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2314,台揚,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2316,楠梓電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2317,鴻海,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2321,東訊,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2327,國巨,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2328,廣宇,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2329,華泰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2331,精英,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2332,友訊,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2338,光罩,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2340,台亞,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2342,茂矽,0.00%,NA,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,2344,華邦電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2345,智邦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
