出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,紡織纖維,1434,福懋,4550000,945786,5495786,19844510,947307,20791817,+0.6352,+2.4030,499617,1890165,52226624,+865250,0.51,2.18,16846646.000000,113年利益14.9億，故董事酬勞156萬；114年利益8.7億，較113年減少41.9%，因利益減少故董事酬勞94.5萬，較113年減少39.4%,2026-05-15
1150415,紡織纖維,1440,南紡,11185000,0,11185000,20994170,0,20994170,-4.5107,-8.4666,670966,1259398,13881666,-247964,-0.15,-0.68,16568159.000000,"(1)本公司董事每月支領報酬，依本公司章程第二十四條規定，授權董事會依董事對本公司營運參與之程度及貢獻暨同業通常水準議定支付；本公司當年度如有獲利時，另依公司章程第二十九條之一規定分派董事酬勞。至於獨立董事則由董事會議定其月支之固定酬金，而不參與年度董事酬勞分派。
(2)本年度為稅後純損(247,964)仟元，無分派董事酬金中之「酬勞」，其餘係為固定酬金。",2026-05-15
1150415,紡織纖維,1441,大東,3252000,0,3252000,12819189,0,12819189,-10.3851,-40.9376,406500,1602399,120000,-31314,-0.45,-6.13,717444.000000,本公司董事之酬金係依據股東會及董事會之決議，不論盈虧定額支付；總經理及副總經理酬金係依據參照同業薪資調查水平訂定之公司「從業人員薪資發給辦法」，並考量該職位於本公司之職責、績效以及對營運貢獻，給付適當之酬金。,2026-05-15
1150415,紡織纖維,1444,力麗,3888000,600914,4488914,20500506,600914,21101420,-0.5812,-2.7320,498768,2344602,10970840,-772374,-0.78,-7.73,9955950.000000,合併公司董事酬勞係依照各公司章程及法令規定所提列分配，並由董事會決議之。其餘各項酬金政策及標準，悉依各公司經營績效，並參酌同業水準議定。,2026-05-15
1150415,紡織纖維,1445,大宇,6076000,0,6076000,8836000,0,8836000,-5.3664,-7.8041,628335,913754,0,-113222,-0.87,-5.01,1306660.000000,公司依章程規定係按當年度扣除分派員工及董事酬勞前之稅前利益分別以不低於2%及不高於3%提撥員工及董事酬勞。114年度為稅前淨損，故不予估列員工及董事酬勞。,2026-05-15
1150415,紡織纖維,1446,宏和,1205000,6000000,7205000,5170520,7393481,12564001,+3.2227,+5.6197,800556,1396000,8598481,+223570,1.62,8.06,1377095.000000,本期稅後淨利大幅減少，董事會決議減少董事及員工酬勞配發金額，致使兩期產生差異。,2026-05-15
1150415,紡織纖維,1447,力鵬,3888000,498716,4386716,16203425,498716,16702141,-0.5163,-1.9659,487413,1855793,7931881,-849589,-0.97,-9.26,9100712.000000,公司董事酬勞係依照公司章程及法令規定所提列分配，並由董事會決議之。其餘各項酬金政策及標準，悉依本公司經營績效，並參酌同業水準議定。,2026-05-15
1150415,紡織纖維,1449,佳和,3017000,2000000,5017000,12151594,2408998,14560592,+37.2291,+108.0483,418083,1213383,0,+13476,0.12,7.38,1271146.000000,稅後淨利減少導致占比提高,2026-05-15
1150415,紡織纖維,1451,年興,9380000,0,9380000,28000336,0,28000336,+2.6871,+8.0214,1042222,3111148,0,+349071,1.76,4.82,1980000.000000,"1、報酬：本公司董事支領固定報酬，每人每年1,000,000元。2、董事酬勞：所有董事皆不支領董事酬勞。3、業務執行費用：車馬費每次開會5,000元。",2026-05-15
1150415,紡織纖維,1452,宏益,12804000,0,12804000,18885940,0,18885940,-23.2690,-34.3218,1600500,2360743,0,-55026,-0.41,-2.00,1326414.000000,"1.本公司給付酬金政策、標準及組合係依本公司章程規定辦理：全體董事車馬費及報酬由薪酬委員會評定後，經董事會議定之。
2.因本期稅後純損，相關酬金均隨之減少。",2026-05-15
1150415,紡織纖維,1454,台富,3460000,0,3460000,7576066,0,7576066,-2.5257,-5.5302,340216,744943,0,-136994,-1.12,0.00,1298338.000000,"因114年稅後損益-136994(千元),無分配董監酬勞,平均每位董事酬金340(千元)為每月董事及出席車馬費,實屬合理。",2026-05-15
1150415,紡織纖維,1455,集盛,2480000,0,2480000,12868800,0,12868800,-0.4729,-2.4537,280861,1457395,0,-524473,-0.99,-8.66,5316884.000000,"114年度提列基礎:
係依公司章程以該年度之獲利情況，提列3%董監酬勞，因虧損提列金額0元。
113年度提列基礎:
係依公司章程以該年度之獲利情況，提列3%董監酬勞，因虧損提列金額0元。",2026-05-15
1150415,紡織纖維,1457,宜進,7111000,6282171,13393171,15338666,6999177,22337843,+4.8700,+8.1224,1488130,2481983,0,+275014,1.18,4.71,3167300.000000,"本公司董事酬勞係依章程規定提撥，依據其對公司營運參與及貢獻價值分配。獨立董事執行本公司職務時，係不論營業盈虧，本公司均支給固定報酬，兼任員工酬金係參考同業通常水準。
本公司114年合併稅後純益較113年增加，合併董事酬金金額卻較113年減少，主係宜進公司本年度董事酬勞提撥比例較低所致，114年合併董事酬金總額為13,393千元較113年合併董事酬
金總額14,401千元減少1,008千元，114年合併加計兼任員工酬金總額為22,338千元，較113年合併加計兼任員工酬金總額21,564千元增加774千元，上述金額係屬合理。",2026-05-15
1150415,紡織纖維,1459,聯發,1350000,1784493,3134493,14188500,1971865,16160365,+1.2261,+6.3212,348277,1795596,0,+255653,0.81,7.57,3586289.000000,"1.本公司113年度董事酬金總額占稅後純益比例為5.683%，114年度董事酬金總額占稅後純益比例為6.3212%。
2.本公司給付酬金之政策，係參考同業中的薪資水準，並評估在公司職務的權貴及貢獻度，予以合理報酬。
3.本公司114年度淨利依公司章程規定依比例提撥董事酬勞，並經董事會決議。",2026-05-15
1150415,紡織纖維,1460,宏遠,3560000,0,3560000,6957513,0,6957513,-1.9888,-3.8867,323636,632501,560020,-179006,-0.27,-3.10,6946434.000000,"本公司董事酬金主要有車馬費及薪資等，車馬費依據一般水準給付，提報董事會決議行
之，另本公司設有薪資報酬委員會，定期評估董事及經理人之薪資報酬，將所提建議提
交董事會討論。本年度董事報酬為出席車馬費及固定報酬，與公司損益變動無關聯性。",2026-05-15
1150415,紡織纖維,1463,強盛新,12455298,845351,13300649,12455298,845351,13300649,+58.1398,+58.1398,1209150,1209150,0,+22877,0.13,1.77,1732684.000000,"本公司114及113年度支付董事酬金占合併財務表稅後純益比例分別為58.1398%與2.5037%，本公司董事於本公司並未領取薪資，僅每次董事會開會領取定額車馬費，董事無兼任經理人，董事酬勞亦依章程規定提列，其比率之變動主要係因公司當年度獲利狀況改變而發生變動。
另因本公司前董事長於114年5月辦理退休，本公司依據109年3月26日董事會通過之「委任經理人退職辦法」發放其退休金。相關退休金已於以前年度提列入帳，對本年度損益並無重大影響，扣除該退休金影響數後，114年度支付董事酬金占合併財務表稅後純益比例從58.1398%，降為19.3367%。",2026-05-15
1150415,紡織纖維,1464,得力,4202580,6457876,10660456,33210242,6457876,39668118,+7.1040,+26.4343,1522922,5666874,0,+150063,0.35,0.95,4255757.000000,本公司有關董事酬金提撥，均依公司章程規定辦理，比較所提撥酬金尚屬於合理範圍。,2026-05-15
1150415,紡織纖維,1466,聚隆,5550717,0,5550717,14452969,0,14452969,-4.6632,-12.1421,504611,1313906,0,-119032,-1.07,-7.46,1111573.000000,本年度決算為稅後淨損，故不發董事酬金亦不發放員工酬勞。,2026-05-15
1150415,紡織纖維,1467,南緯,5560000,0,5560000,16707295,0,16707295,-5.2801,-15.8662,505455,1518845,0,-105301,-0.45,-4.01,2336247.000000,"1.獨立董事則由董事會議定固定酬金（每季給付一次），而不參與公司獲利時之酬勞分派。
2.提供背書保證之董事給予固定薪酬，一般董事僅支領出席車馬費並無薪酬
3.董事長,副董事長,林宗頤董事兼任員工,支領固定薪酬",2026-05-15
1150415,紡織纖維,1468,昶和,837245,0,837245,5606888,0,5606888,+2.4820,+16.6219,104656,700861,0,+33732,0.21,1.99,1604053.000000,本公司未支付董監事酬勞，酬金部份僅為車馬費及董事兼任員工之薪水。,2026-05-15
1150415,紡織纖維,1470,大統新創,1790000,2679273,4469273,6076615,2844080,8920695,+6.6443,+13.2620,436027,870312,0,+67265,0.78,6.57,857670.000000,"114年度稅後純益為67,265仟元，較113年度97,309仟元減少30.87%；114年度合併公司提撥董事酬勞為2,679仟元，較實際發放113年度董事酬勞3,981仟元減少32.71%，提撥數與稅後淨利呈正向關係。",2026-05-15
1150415,紡織纖維,1473,台南,0,5400000,5400000,15303924,5400000,20703924,+6.4726,+24.8165,490909,1882175,5018000,+83428,0.57,2.10,1461535.000000,本公司酬金發放係依公司章程規定辦理，並視公司的經營績效及未來的風險，以擬訂合理之酬金金額。,2026-05-15
1150415,紡織纖維,1474,弘裕,3280000,1236635,4516635,7319228,1236635,8555863,+10.3138,+19.5375,410603,777806,0,+43792,0.34,1.91,1298970.000000,"1.參照本公司公司章程規定，依當年度獲利狀況分派董監事酬勞，本年度分派金額尚屬合理。
2.董事兼任員工領取之相關酬金，乃參酌同業通常水準支給情形及依其職務、貢獻等因素綜合考量。",2026-05-15
1150415,紡織纖維,1475,業旺,598000,0,598000,598000,0,598000,+0.3326,+0.3326,119600,119600,0,+179783,2.72,0.00,660168.000000,"本公司今年獲利表現雖較去年下降,但董事酬勞並無調整,車馬費依開會次數支付",2026-05-15
1150415,紡織纖維,1476,儒鴻,12599583,0,12599583,107461381,0,107461381,+0.2285,+1.9486,969199,8266260,0,+5514937,20.10,18.84,2743671.000000,本公司訂有「董事會績效評估辦法」，以之做為獨立董事及董事考核評估依據，除考量公司整體經營績效、獲利率，亦參酌個人參與率、績效達成率及對公司營運效益的貢獻度等綜合評估，給予合理報酬。,2026-05-15
1150415,紡織纖維,1477,聚陽,730000,111234520,111964520,52205700,115778520,167984220,+3.0980,+4.6480,7464301,11198948,2740500,+3614095,14.65,25.36,2466937.000000,本公司之董事酬金係依董事承攬職責與貢獻並考量公司之營運成果進行規劃。,2026-05-15
