出表日期,報告年度,公司代號,公司名稱,範疇一排放量(噸CO2e),範疇一資料邊界,範疇一取得驗證,範疇二排放量(噸CO2e),範疇二資料邊界,範疇二取得驗證,範疇三排放量(噸CO2e),範疇三資料邊界,範疇三取得驗證,溫室氣體排放密集度(噸CO2e/單位),date
1150513,113,1432,大魯閣,556.0795,已完成母公司,是,8880.8236,已完成母公司,是,2263.2843,已完成母公司,是,8.2629,2026-05-15
1150513,113,1434,福懋,121581.6938,已完成合併財務報表之母子公司,是,235827.6332,已完成合併財務報表之母子公司,是,N/A,N/A,否,12.4468,2026-05-15
1150513,113,1435,中福,15.1852,已完成母公司,否,6.7905,已完成母公司,否,N/A,N/A,否,2.0570,2026-05-15
1150513,113,1436,華友聯,49.7632,已完成母公司,否,56.5805,已完成母公司,否,11.3150,已完成母公司,否,N/A,2026-05-15
1150513,113,1437,勤益控,2.7120,母公司及部分子公司,否,32.5996,母公司及部分子公司,否,N/A,N/A,否,0.0418,2026-05-15
1150513,113,1438,三地開發,4.7680,已完成母公司,否,5.8189,已完成母公司,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1439,雋揚,1.4852,已完成母公司,否,8.8813,已完成母公司,否,2.2132,已完成母公司,否,N/A,2026-05-15
1150513,113,1440,南紡,110525.8798,已完成合併財務報表之母子公司,是,244682.2721,已完成合併財務報表之母子公司,是,652118.1748,已完成合併財務報表之母子公司,是,20.6633,2026-05-15
1150513,113,1441,大東,19.7896,已完成母公司,是,33.7692,已完成母公司,是,37.4835,已完成母公司,是,0.1207,2026-05-15
1150513,113,1442,名軒,N/A,N/A,否,59.7200,已完成母公司,否,N/A,N/A,否,0.0068,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1444,力麗,37310.0000,已完成母公司,否,106455.0000,已完成母公司,否,N/A,N/A,否,23.2054,2026-05-15
1150513,113,1445,大宇,118.3497,已完成母公司,否,13176.9230,已完成母公司,否,88542.2693,已完成母公司,否,102.9575,2026-05-15
1150513,113,1446,宏和,3.9778,已完成母公司,否,152.4702,已完成母公司,否,N/A,N/A,否,0.0426,2026-05-15
1150513,113,1447,力鵬,135408.5898,已完成母公司,否,94353.6969,已完成母公司,否,N/A,N/A,否,21.5355,2026-05-15
1150513,113,1449,佳和,701.5429,已完成母公司,否,34250.5190,已完成母公司,否,5116.3282,已完成母公司,否,13.7850,2026-05-15
1150513,113,1451,年興,5331.7231,已完成母公司,是,4903.4322,已完成母公司,是,N/A,N/A,否,1.5941,2026-05-15
1150513,113,1452,宏益,71.2097,已完成母公司,是,19661.5721,已完成母公司,是,N/A,N/A,否,11.6045,2026-05-15
1150513,113,1453,大將,13.8717,已完成母公司,否,32.1836,已完成母公司,否,14.4413,已完成母公司,否,0.2967,2026-05-15
1150513,113,1454,台富,437.5805,已完成母公司,是,20962.2225,已完成母公司,是,544.0850,已完成母公司,是,13.1772,2026-05-15
1150513,113,1455,集盛,31374.4636,已完成合併財務報表之母子公司,是,110749.8593,已完成合併財務報表之母子公司,是,22202.9125,已完成合併財務報表之母子公司,是,15.0763,2026-05-15
1150513,113,1456,怡華,8286.2218,台南官田廠,是,17100.7749,台南官田廠,是,N/A,N/A,否,N/A,2026-05-15
1150513,113,1457,宜進,14.7906,"已完成母公司,以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍。",是,50.7883,"已完成母公司,以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍",是,2308.1416,"已完成母公司,以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍",是,0.0750,2026-05-15
1150513,113,1459,聯發,0.0000,已完成母公司,否,10386.0000,已完成母公司,否,N/A,N/A,否,21.8200,2026-05-15
1150513,113,1460,宏遠,57581.2283,已完成母公司,是,39430.0110,已完成母公司,是,N/A,N/A,否,19.2989,2026-05-15
1150513,113,1463,強盛新,24880.0000,已完成母公司,否,8.0000,已完成母公司,否,N/A,N/A,否,2.2600,2026-05-15
1150513,113,1464,得力,32683.3981,已完成母公司,是,24304.7684,已完成母公司,是,N/A,N/A,否,14.4200,2026-05-15
1150513,113,1465,偉全,5645.0000,已完成母公司,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1466,聚隆,965.1445,已完成母公司,否,38365.7501,已完成母公司,否,N/A,N/A,否,16.5386,2026-05-15
1150513,113,1467,南緯,731.6800,台灣總部、越南產區,是,2057.8800,台灣總部、越南產區,是,N/A,N/A,否,1.7057,2026-05-15
1150513,113,1468,昶和,851.0588,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_台北辦事處、昶和纖維興業股份有限公司_南崁,否,3207.3352,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_台北辦事處、昶和纖維興業股份有限公司_南崁,否,12837.8889,本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_台北辦事處、昶和纖維興業股份有限公司_南崁,否,15.6702,2026-05-15
1150513,113,1470,大統新創,9257.1600,母公司桃園廠,是,3961.1200,母公司桃園廠,是,N/A,N/A,否,16.7700,2026-05-15
1150513,113,1471,首利,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1472,三洋實業,174.0408,已完成合併財務報表之母子公司,是,499.7025,已完成合併財務報表之母子公司,是,300.8642,已完成合併財務報表之母子公司,否,2.8848,2026-05-15
1150513,113,1473,台南,4096.5100,已完成合併財務報表之母子公司,否,8758.7200,已完成合併財務報表之母子公司,否,N/A,N/A,否,1.7300,2026-05-15
1150513,113,1474,弘裕,1642.0595,已完成母公司,否,12967.6688,已完成母公司,否,20415.5182,已完成母公司,否,6.9811,2026-05-15
1150513,113,1475,業旺,4.3170,已完成母公司,否,11.3807,已完成母公司,否,N/A,N/A,否,0.0080,2026-05-15
1150513,113,1476,儒鴻,31029.9857,已完成合併財務報表之母子公司,是,94968.6911,已完成合併財務報表之母子公司,是,10535.7336,已完成合併財務報表之母子公司,是,3.4212,2026-05-15
1150513,113,1477,聚陽,12483.3937,"已完成母公司,Jiaxing Rising Garment Co., Ltd.、
Jiaxing Suntex Garment Co., Ltd.、
PT. Glory Industrial Semarang、
PT. Starlight Garment Semarang、
PT. Glory Industrial Semarang - Demak、
Makalot Garments (Cambodia) Co., Ltd.、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 1""、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 3""、
Moha Garments Co., Ltd.、
Makalot Garments (Vietnam) Co., Ltd. (MK1)、
Makalot Garments (Vietnam) Co., Ltd. (MK2/3)、
Leader Garment (Vietnam) Co., Ltd.",是,33255.5320,"已完成母公司,Jiaxing Rising Garment Co., Ltd.、
Jiaxing Suntex Garment Co., Ltd.、
PT. Glory Industrial Semarang、
PT. Starlight Garment Semarang、
PT. Glory Industrial Semarang - Demak、
Makalot Garments (Cambodia) Co., Ltd.、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 1""、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 3""、
Moha Garments Co., Ltd.、
Makalot Garments (Vietnam) Co., Ltd. (MK1)、
Makalot Garments (Vietnam) Co., Ltd. (MK2/3)、
Leader Garment (Vietnam) Co., Ltd.",是,1082255.1451,"已完成母公司,Jiaxing Rising Garment Co., Ltd.、
Jiaxing Suntex Garment Co., Ltd.、
PT. Glory Industrial Semarang、
PT. Starlight Garment Semarang、
PT. Glory Industrial Semarang - Demak、
Makalot Garments (Cambodia) Co., Ltd.、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 1""、
Makalot Garments (Cambodia) Co., Ltd. ""Branch 3""、
Moha Garments Co., Ltd.、
Makalot Garments (Vietnam) Co., Ltd. (MK1)、
Makalot Garments (Vietnam) Co., Ltd. (MK2/3)、
Leader Garment (Vietnam) Co., Ltd.",是,0.8744,2026-05-15
1150513,113,1503,士電,5718.8159,已完成合併財務報表之母子公司,是,35768.3145,已完成合併財務報表之母子公司,是,10785.4328,"「與燃料及能源相關活動」資料邊界為合併財務報表之母子公司，
「商務旅行」及「員工通勤」資料邊界為母公司。",否,1.1829,2026-05-15
1150513,113,1504,東元,28139.2684,已完成合併財務報表之母子公司,是,45612.8400,已完成合併財務報表之母子公司,是,18756913.2200,已完成合併財務報表之母子公司,是,1.3400,2026-05-15
1150513,113,1506,正道,1526.5282,"已完成母公司,正道工業(股)公司台灣仁德廠區及馬來西亞廠區",是,5938.0452,"已完成母公司,正道工業(股)公司台灣仁德廠區及馬來西亞廠區",是,N/A,N/A,否,7.2009,2026-05-15
1150513,113,1512,瑞利,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1513,中興電,1281.6398,"已完成母公司,以林口廠/南科廠/嘉義廠之商品及相關活動為主",是,4984.9699,"已完成母公司,以林口廠/南科廠/嘉義廠之商品及相關活動為主",是,73768.2693,"已完成母公司,以林口廠/南科廠/嘉義廠之商品及相關活動為主",否,0.2182,2026-05-15
1150513,113,1514,亞力,733.3299,已完成母公司,是,2345.8846,已完成母公司,是,577.2565,已完成母公司,是,0.3668,2026-05-15
1150513,113,1515,力山,466.6378,"已完成母公司,力山科技股份有限公司",是,2980.3594,"已完成母公司,力山科技股份有限公司",是,46050.7614,"已完成母公司,力山科技股份有限公司",是,8.1157,2026-05-15
1150513,113,1516,川飛,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1517,利奇,850.0465,已完成母公司,是,2970.4313,已完成母公司,是,3864.1569,已完成母公司,是,2.9459,2026-05-15
1150513,113,1519,華城,24589.3000,已完成合併財務報表之母子公司,是,9860.3850,已完成合併財務報表之母子公司,是,85232.4620,已完成合併財務報表之母子公司,是,1.5442,2026-05-15
1150513,113,1521,大億,562.9206,已完成合併財務報表之母子公司,否,7655.9921,已完成合併財務報表之母子公司,否,2866.9046,已完成合併財務報表之母子公司,否,2.2228,2026-05-15
1150513,113,1522,堤維西,397.6380,已完成母公司,是,15710.5783,已完成母公司,是,4125.1283,已完成母公司,是,1.2044,2026-05-15
1150513,113,1524,耿鼎,2802.6872,已完成母公司,是,5378.5728,已完成母公司,是,54190.6986,已完成母公司,是,2.7961,2026-05-15
1150513,113,1525,江申,1045.8270,已完成母公司,是,2242.7860,已完成母公司,是,588.8968,已完成母公司,是,2.6576,2026-05-15
1150513,113,1526,日馳,99.8109,已完成母公司,否,535.8203,已完成母公司,否,239.4667,已完成母公司,否,1.2962,2026-05-15
1150513,113,1527,鑽全,10357.8693,已完成母公司,是,8122.2473,已完成母公司,是,37211.5086,已完成母公司,是,5.9037,2026-05-15
1150513,113,1528,恩德,516.1506,後龍廠、梧棲廠,是,929.3775,後龍廠、梧棲廠,是,24006.3120,後龍廠、梧棲廠,是,23.3325,2026-05-15
1150513,113,1529,樂事綠能,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1530,亞崴,374.3657,已完成母公司,否,1641.8433,已完成母公司,否,N/A,N/A,否,1.5593,2026-05-15
1150513,113,1531,高林股,260.8291,含母公司及高銀廠，部分合併報表子公司尚未揭露,否,2482.2809,含母公司及高銀廠，部分合併報表子公司尚未揭露,否,1891.1761,含母公司及高銀廠，部分合併報表子公司尚未揭露,否,1.6750,2026-05-15
1150513,113,1532,勤美,4030.3956,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),是,175100.3615,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),是,N/A,N/A,否,21.4117,2026-05-15
1150513,113,1533,車王電,390.4800,"已完成母公司,子公司完成車王電子（寧波）有限公司、余姚市車王商貿有限公司、余姚市車連王商貿有限公司",是,2751.6730,"已完成母公司,子公司完成車王電子（寧波）有限公司、余姚市車王商貿有限公司、余姚市車連王商貿有限公司",是,1752.0499,已完成母公司,是,1.3371,2026-05-15
1150513,113,1535,中宇,287.1704,已完成合併財務報表之母子公司,是,429.5151,已完成合併財務報表之母子公司,是,5819.0034,已完成合併財務報表之母子公司,是,0.0660,2026-05-15
