出表日期,公司代號,公司名稱,大股東名稱,date
1150514,1308,亞聚,聯聚國際投資股份有限公司,2026-05-15
1150514,1309,台達化,聯聚國際投資股份有限公司,2026-05-15
1150514,1313,聯成,聯華實業控股股份有限公司,2026-05-15
1150514,1315,達新,達昶投資股份有限公司,2026-05-15
1150514,1323,永裕,裕大投資股份有限公司,2026-05-15
1150514,1325,恆大,恆大投資股份有限公司,2026-05-15
1150514,1326,台化,長庚醫療財團法人,2026-05-15
1150514,1337,再生-KY,Ding Holding Limited,2026-05-15
1150514,1338,廣華-KY,余澤民,2026-05-15
1150514,1339,昭輝,林詩芸,2026-05-15
1150514,1341,富林-KY,ＦＵＬＬ  ＹＯＵＮＧ  ＧＲＯＵＰ  ＩＮＣ．,2026-05-15
1150514,1341,富林-KY,王源林,2026-05-15
1150514,1342,八貫,劉宗熹,2026-05-15
1150514,1402,遠東新,亞洲水泥股份有限公司,2026-05-15
1150514,1410,南染,士榮投資股份有限公司,2026-05-15
1150514,1413,宏洲,宜進實業股份有限公司,2026-05-15
1150514,1414,東和,林高煌,2026-05-15
1150514,1414,東和,裕順投資開發股份有限公司,2026-05-15
1150514,1414,東和,馥麗工業股份有限公司,2026-05-15
1150514,1417,嘉裕,台文針織股份有限公司,2026-05-15
1150514,1418,東華,中菱股份有限公司,2026-05-15
1150514,1423,利華,中城投資股份有限公司,2026-05-15
1150514,1423,利華,利泰投資股份有限公司,2026-05-15
1150514,1423,利華,恆昌投資股份有限公司,2026-05-15
1150514,1434,福懋,臺灣化學纖維股份有限公司,2026-05-15
1150514,1435,中福,杰亨實業股份有限公司受託信託財產專戶,2026-05-15
1150514,1435,中福,黃立中,2026-05-15
1150514,1436,華友聯,弘眾投資有限公司,2026-05-15
1150514,1438,三地開發,三地建築有限公司,2026-05-15
1150514,1438,三地開發,三嘉開發建築股份有限公司,2026-05-15
1150514,1441,大東,永煌投資股份有限公司,2026-05-15
1150514,1445,大宇,良澔科技企業股份有限公司,2026-05-15
1150514,1447,力鵬,力麗企業股份有限公司,2026-05-15
1150514,1451,年興,榮淵投資股份有限公司,2026-05-15
1150514,1451,年興,攀達投資股份有限公司,2026-05-15
1150514,1453,大將,大維投資股份有限公司,2026-05-15
1150514,1453,大將,雙喜投資股份有限公司,2026-05-15
1150514,1454,台富,大宇紡織股份有限公司,2026-05-15
1150514,1456,怡華,招商物產管理有限公司,2026-05-15
1150514,1456,怡華,黃福來,2026-05-15
1150514,1456,怡華,萬家福股份有限公司,2026-05-15
1150514,1457,宜進,億東纖維股份有限公司,2026-05-15
1150514,1459,聯發,澤心投資股份有限公司,2026-05-15
1150514,1460,宏遠,遠鼎投資股份有限公司,2026-05-15
1150514,1463,強盛新,新光紡織股份有限公司,2026-05-15
1150514,1465,偉全,陳建柱,2026-05-15
1150514,1467,南緯,英屬維京群島商悅達紡織控股有,2026-05-15
1150514,1467,南緯,郭(南犬)玉,2026-05-15
1150514,1468,昶和,泉祐科技股份有限公司,2026-05-15
1150514,1468,昶和,陳明澤,2026-05-15
1150514,1470,大統新創,泉發投資股份有限公司,2026-05-15
1150514,1472,三洋實業,順鎂興業股份有限公司,2026-05-15
1150514,1472,三洋實業,鴻鋌企業股份有限公司,2026-05-15
1150514,1475,業旺,木騰國際投資股份有限公司,2026-05-15
1150514,1475,業旺,松澤國際投資股份有限公司,2026-05-15
1150514,1503,士電,三菱電機株式會社,2026-05-15
