出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,1449,佳和,793579.00,713744.00,,,79835.00,,,79835.00,139933.00,,-60098.00,46142.00,-13956.00,13943.00,-27899.00,,,-27899.00,59117.00,,31218.00,-28630.00,,731.00,30224.00,,994.00,-0.23,2026-05-15
1150515,115,1,1451,年興,1528005.00,1276616.00,,,251389.00,,,251389.00,161317.00,,90072.00,27114.00,117186.00,24897.00,92289.00,,,92289.00,76254.00,,168543.00,92289.00,,,168543.00,,,0.47,2026-05-15
1150515,115,1,1452,宏益,328337.00,317486.00,,,10851.00,,,10851.00,22387.00,,-11536.00,-530.00,-12066.00,-447.00,-11619.00,,,-11619.00,-7454.00,,-19073.00,-11619.00,,,-19073.00,,,-0.09,2026-05-15
1150515,115,1,1453,大將,377.00,136.00,,,241.00,,,241.00,8704.00,,-8463.00,3188.00,-5275.00,,-5275.00,,,-5275.00,,,-5275.00,-5295.00,,20.00,-5295.00,,20.00,-0.05,2026-05-15
1150515,115,1,1454,台富,294179.00,282992.00,,,11187.00,,,11187.00,39672.00,-51.00,-28536.00,5209.00,-23327.00,639.00,-23966.00,,,-23966.00,-7180.00,,-31146.00,-23966.00,,0.00,-31146.00,,0.00,-0.20,2026-05-15
1150515,115,1,1455,集盛,1265739.00,1238835.00,,,26904.00,,,26904.00,72079.00,,-45175.00,13026.00,-32149.00,-5368.00,-26781.00,,,-26781.00,-24627.00,,-51408.00,-26781.00,,,-51408.00,,,-0.05,2026-05-15
1150515,115,1,1456,怡華,218947.00,132068.00,,,86879.00,,,86879.00,32160.00,,54719.00,-94615.00,-39896.00,755.00,-40651.00,,,-40651.00,,,-40651.00,-40651.00,,,-40651.00,,,-0.43,2026-05-15
1150515,115,1,1457,宜進,647286.00,608974.00,,,38312.00,,,38312.00,47096.00,89665.00,80881.00,-19283.00,61598.00,29856.00,31742.00,,,31742.00,-17396.00,,14346.00,46864.00,,-15122.00,27907.00,,-13561.00,0.20,2026-05-15
1150515,115,1,1459,聯發,231160.00,187520.00,,,43640.00,,,43640.00,19335.00,,24305.00,-3314.00,20991.00,11327.00,9664.00,0.00,,9664.00,15988.00,,25652.00,10929.00,,-1265.00,26856.00,,-1204.00,0.03,2026-05-15
1150515,115,1,1460,宏遠,1697865.00,1397693.00,,,300172.00,,,300172.00,288403.00,66.00,11835.00,12428.00,24263.00,10993.00,13270.00,,,13270.00,19710.00,,32980.00,13270.00,,0.00,32980.00,,,0.02,2026-05-15
