出表日期,年度,季別,公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),date
1150515,115,1,1517,利奇,438.19,1.13,-19.59,-11.55,-8.39,2026-05-15
1150515,115,1,1519,華城,4756.52,43.61,21.20,28.06,21.36,2026-05-15
1150515,115,1,1521,大億,1003.76,15.05,3.19,4.17,3.32,2026-05-15
1150515,115,1,1522,堤維西,6675.15,15.47,-1.21,-0.63,-0.37,2026-05-15
1150515,115,1,1524,耿鼎,562.18,30.28,16.63,19.41,15.47,2026-05-15
1150515,115,1,1525,江申,281.74,14.43,1.04,16.40,-21.25,2026-05-15
1150515,115,1,1526,日馳,161.97,12.58,-19.51,-19.87,-16.38,2026-05-15
1150515,115,1,1527,鑽全,629.39,18.41,3.85,8.86,7.09,2026-05-15
1150515,115,1,1528,恩德,712.10,30.47,-5.06,-2.35,-4.12,2026-05-15
1150515,115,1,1531,高林股,347.49,14.69,-6.51,1.57,1.55,2026-05-15
1150515,115,1,1532,勤美,3204.04,21.60,1.48,-0.61,-0.73,2026-05-15
1150515,115,1,1533,車王電,1288.27,27.81,7.12,9.08,10.58,2026-05-15
1150515,115,1,1535,中宇,2203.31,11.65,5.18,5.60,4.32,2026-05-15
1150515,115,1,1536,和大,1193.41,6.52,-13.51,-14.22,-12.43,2026-05-15
1150515,115,1,1537,廣隆,1714.00,20.29,11.36,13.64,10.08,2026-05-15
1150515,115,1,1538,正峰,10.37,15.69,-159.14,-344.52,-344.52,2026-05-15
1150515,115,1,1539,巨庭,241.98,8.51,-0.69,2.77,2.21,2026-05-15
1150515,115,1,1540,喬福,86.23,24.28,7.95,39.56,31.41,2026-05-15
1150515,115,1,1541,錩泰,598.81,18.74,2.48,6.26,6.33,2026-05-15
1150515,115,1,1558,伸興,1926.18,24.20,6.00,9.91,7.97,2026-05-15
1150515,115,1,1560,中砂,2293.23,35.00,19.38,23.20,19.28,2026-05-15
1150515,115,1,1563,巧新,1871.94,22.01,8.72,8.73,6.98,2026-05-15
1150515,115,1,1568,倉佑,250.31,37.00,19.74,25.60,21.14,2026-05-15
1150515,115,1,1582,信錦,2115.34,19.97,5.27,4.16,2.61,2026-05-15
1150515,115,1,1587,吉茂,754.07,16.81,2.96,0.32,0.42,2026-05-15
1150515,115,1,1590,亞德客-KY,10013.50,47.97,33.20,34.19,26.67,2026-05-15
1150515,115,1,1597,直得,334.40,41.76,13.25,15.58,11.34,2026-05-15
1150515,115,1,1598,岱宇,1638.27,42.12,3.50,3.91,2.11,2026-05-15
1150515,115,1,1603,華電,1304.28,8.83,5.51,5.22,3.50,2026-05-15
1150515,115,1,1604,聲寶,2372.91,20.15,6.43,9.45,8.10,2026-05-15
1150515,115,1,1605,華新,41070.35,7.77,1.33,9.89,8.52,2026-05-15
1150515,115,1,1608,華榮,3453.12,14.01,12.15,7.84,5.88,2026-05-15
1150515,115,1,1609,大亞,8341.07,18.91,14.08,9.74,7.24,2026-05-15
1150515,115,1,1612,宏泰,1919.33,17.40,14.25,16.62,13.58,2026-05-15
1150515,115,1,1614,三洋電,1262.26,18.47,2.76,12.09,9.73,2026-05-15
1150515,115,1,1615,大山,1317.76,23.41,19.03,18.92,14.02,2026-05-15
1150515,115,1,1616,億泰,1302.89,9.86,5.40,5.09,4.11,2026-05-15
1150515,115,1,1617,榮星,911.16,8.27,1.54,1.81,1.40,2026-05-15
1150515,115,1,1623,大東電,1862.34,21.93,19.75,18.75,15.04,2026-05-15
1150515,115,1,1626,艾美特-KY,1835.22,13.32,-7.75,-10.72,-9.10,2026-05-15
1150515,115,1,1702,南僑,5815.36,24.11,1.17,2.40,1.57,2026-05-15
1150515,115,1,1707,葡萄王,2277.96,69.70,14.72,15.96,12.58,2026-05-15
1150515,115,1,1708,東鹼,1553.62,30.57,16.67,21.95,17.87,2026-05-15
1150515,115,1,1710,東聯,5345.83,1.66,-3.30,-4.10,-3.95,2026-05-15
1150515,115,1,1711,永光,2045.45,21.52,1.83,3.11,2.43,2026-05-15
1150515,115,1,1712,興農,4795.23,30.67,7.64,7.95,5.95,2026-05-15
1150515,115,1,1713,國化,112.43,10.27,-10.81,182.88,182.88,2026-05-15
1150515,115,1,1714,和桐,7139.55,11.24,6.87,7.50,5.66,2026-05-15
1150515,115,1,1717,長興,10243.04,22.16,5.22,6.07,4.20,2026-05-15
1150515,115,1,1720,生達,1651.88,43.62,20.80,22.72,18.08,2026-05-15
1150515,115,1,1721,三晃,393.22,-5.63,-16.17,-16.23,-16.75,2026-05-15
1150515,115,1,1722,台肥,3750.16,6.99,-1.30,6.03,4.92,2026-05-15
1150515,115,1,1723,中碳,1277.81,25.02,14.18,16.99,14.00,2026-05-15
1150515,115,1,1725,元禎,2199.77,4.81,2.16,2.61,1.89,2026-05-15
1150515,115,1,1726,永記,2651.08,29.03,14.08,15.09,12.38,2026-05-15
1150515,115,1,1727,中華化,519.34,17.95,8.31,7.91,6.91,2026-05-15
1150515,115,1,1730,花仙子,651.55,50.73,17.40,20.57,15.77,2026-05-15
1150515,115,1,1731,美吾華,452.35,62.29,16.53,16.30,12.77,2026-05-15
1150515,115,1,1732,毛寶,170.50,41.83,8.13,10.17,8.83,2026-05-15
1150515,115,1,1733,五鼎,519.72,33.80,16.78,16.72,15.66,2026-05-15
1150515,115,1,1735,日勝化,599.71,19.26,4.86,4.60,3.28,2026-05-15
1150515,115,1,1736,喬山,11791.95,51.33,-0.78,0.34,0.20,2026-05-15
1150515,115,1,1737,臺鹽,789.50,40.40,15.39,15.10,11.96,2026-05-15
1150515,115,1,1752,南光,529.63,35.40,13.36,8.54,6.05,2026-05-15
1150515,115,1,1760,寶齡富錦,519.29,51.87,16.03,15.52,9.96,2026-05-15
1150515,115,1,1762,中化生,361.23,41.69,22.04,28.22,25.08,2026-05-15
1150515,115,1,1773,勝一,3044.32,37.55,23.35,24.94,19.90,2026-05-15
1150515,115,1,1776,展宇,275.33,23.08,9.82,10.93,8.32,2026-05-15
1150515,115,1,1783,和康生,190.87,70.50,30.60,35.97,27.66,2026-05-15
1150515,115,1,1786,科妍,205.32,70.72,10.37,17.38,10.69,2026-05-15
1150515,115,1,1789,神隆,659.71,33.58,1.29,2.93,2.51,2026-05-15
1150515,115,1,1795,美時,8644.41,50.73,22.66,8.40,6.56,2026-05-15
1150515,115,1,1802,台玻,10244.19,19.23,7.88,6.44,5.71,2026-05-15
1150515,115,1,1805,寶徠,103.69,35.31,18.83,19.10,17.71,2026-05-15
1150515,115,1,1806,冠軍,663.91,16.13,-6.44,-7.13,-5.87,2026-05-15
1150515,115,1,1808,潤隆,5392.22,27.35,22.80,21.39,17.47,2026-05-15
1150515,115,1,1809,中釉,592.29,19.37,-0.04,0.57,-0.07,2026-05-15
1150515,115,1,1810,和成,1034.85,17.36,-19.13,117.39,105.72,2026-05-15
1150515,115,1,1817,凱撒衛,611.53,38.82,19.22,19.02,14.46,2026-05-15
1150515,115,1,1903,士紙,39.19,65.99,-21.53,-48.04,-48.43,2026-05-15
1150515,115,1,1904,正隆,10422.21,20.63,6.68,6.49,5.99,2026-05-15
1150515,115,1,1906,寶隆,824.07,8.01,2.10,-0.52,-0.50,2026-05-15
1150515,115,1,1909,榮成,10760.22,10.31,0.15,0.27,-0.28,2026-05-15
1150515,115,1,2002,中鋼,79161.89,3.33,-0.78,-1.22,-2.35,2026-05-15
1150515,115,1,2006,東和鋼鐵,13602.39,14.74,10.22,11.18,8.96,2026-05-15
1150515,115,1,2007,燁興,1050.59,-8.42,-13.40,-21.48,-22.96,2026-05-15
1150515,115,1,2008,高興昌,349.98,17.22,9.79,7.38,6.84,2026-05-15
1150515,115,1,2009,第一銅,799.07,11.23,9.27,9.60,9.60,2026-05-15
1150515,115,1,2010,春源,6434.87,10.61,7.21,7.35,5.81,2026-05-15
1150515,115,1,2012,春雨,1798.92,11.33,0.01,-0.12,-1.55,2026-05-15
1150515,115,1,2013,中鋼構,4623.92,4.88,2.95,3.43,2.87,2026-05-15
1150515,115,1,2014,中鴻,4514.13,-0.95,-2.98,-3.26,-3.26,2026-05-15
1150515,115,1,2015,豐興,6404.57,12.81,9.20,10.13,8.21,2026-05-15
1150515,115,1,2020,美亞,1019.55,22.00,14.77,14.18,10.51,2026-05-15
1150515,115,1,2022,聚亨,3459.61,6.34,-0.01,-0.16,-0.65,2026-05-15
1150515,115,1,2023,燁輝,16315.40,8.54,0.53,-4.68,-5.14,2026-05-15
1150515,115,1,2024,志聯,233.43,8.37,2.42,6.69,6.69,2026-05-15
1150515,115,1,2025,千興,378.79,22.21,18.91,21.46,21.46,2026-05-15
1150515,115,1,2028,威致,2350.26,5.05,2.93,2.56,2.06,2026-05-15
1150515,115,1,2029,盛餘,3111.79,14.15,4.67,5.58,4.52,2026-05-15
1150515,115,1,2030,彰源,2637.28,15.07,7.91,8.04,6.39,2026-05-15
1150515,115,1,2031,新光鋼,4589.07,12.37,9.32,3.20,1.74,2026-05-15
1150515,115,1,2032,新鋼,783.72,11.90,7.77,9.77,8.17,2026-05-15
1150515,115,1,2033,佳大,175.52,15.54,4.92,5.32,4.25,2026-05-15
1150515,115,1,2034,允強,2833.55,8.41,1.27,-0.48,0.06,2026-05-15
1150515,115,1,2038,海光,1937.50,1.90,-0.47,1.40,1.38,2026-05-15
1150515,115,1,2049,上銀,6379.29,31.94,9.88,11.27,8.61,2026-05-15
1150515,115,1,2059,川湖,5449.73,77.74,67.06,79.85,63.96,2026-05-15
1150515,115,1,2062,橋椿,1629.69,10.60,2.32,0.79,0.02,2026-05-15
1150515,115,1,2069,運錩,2302.86,12.06,5.99,5.58,4.61,2026-05-15
1150515,115,1,2072,世紀風電,3948.20,30.92,28.32,29.32,22.88,2026-05-15
1150515,115,1,2101,南港,5423.75,41.25,30.40,26.51,24.78,2026-05-15
1150515,115,1,2103,台橡,10330.87,12.25,6.30,8.18,4.86,2026-05-15
1150515,115,1,2104,國際中橡,3507.99,-16.88,-25.32,-26.75,-28.20,2026-05-15
1150515,115,1,2105,正新,23428.39,24.84,9.93,10.75,7.92,2026-05-15
1150515,115,1,2106,建大,8698.62,19.75,2.94,1.98,1.28,2026-05-15
1150515,115,1,2107,厚生,327.50,33.26,18.87,27.11,21.41,2026-05-15
1150515,115,1,2108,南帝,2595.68,27.24,12.41,15.42,10.77,2026-05-15
1150515,115,1,2109,華豐,1087.81,22.76,10.95,17.27,13.16,2026-05-15
1150515,115,1,2114,鑫永銓,388.36,40.27,32.20,35.61,28.41,2026-05-15
1150515,115,1,2115,六暉-KY,795.76,18.40,6.91,6.38,3.47,2026-05-15
1150515,115,1,2201,裕隆,16975.23,32.99,9.01,8.31,6.21,2026-05-15
1150515,115,1,2208,台船,4731.96,0.05,-3.80,1.90,1.82,2026-05-15
1150515,115,1,2227,裕日車,3159.18,11.08,-4.18,-10.61,-8.42,2026-05-15
1150515,115,1,2228,劍麟,1226.90,22.39,8.39,8.23,5.64,2026-05-15
1150515,115,1,2231,為升,760.09,36.71,3.00,5.55,2.23,2026-05-15
1150515,115,1,2233,宇隆,813.18,27.59,10.49,15.53,13.22,2026-05-15
1150515,115,1,2239,英利-KY,4078.59,8.41,-6.47,-6.74,-6.25,2026-05-15
1150515,115,1,2241,艾姆勒,218.15,11.20,-5.87,-4.66,-4.88,2026-05-15
1150515,115,1,2243,宏旭-KY,558.17,15.46,7.78,7.29,8.25,2026-05-15
1150515,115,1,2247,汎德永業,8954.40,11.96,2.55,2.68,2.12,2026-05-15
1150515,115,1,2250,IKKA-KY,802.40,17.07,3.63,4.82,2.90,2026-05-15
1150515,115,1,2254,巨鎧精密-創,30.40,-73.19,-204.28,-219.10,-219.10,2026-05-15
1150515,115,1,2258,鴻華先進-創,819.16,13.66,-106.76,-109.78,-109.79,2026-05-15
1150515,115,1,2301,光寶科,43407.29,21.66,9.44,11.45,8.70,2026-05-15
1150515,115,1,2302,麗正,216.33,32.72,7.43,26.95,19.17,2026-05-15
1150515,115,1,2303,聯電,61037.90,29.19,18.47,27.27,26.40,2026-05-15
1150515,115,1,2305,全友,246.93,42.21,7.52,25.92,20.19,2026-05-15
1150515,115,1,2308,台達電,159352.65,37.00,17.83,19.51,14.96,2026-05-15
1150515,115,1,2312,金寶,35632.63,6.87,2.47,2.66,2.01,2026-05-15
1150515,115,1,2313,華通,19548.06,17.98,9.92,8.93,7.69,2026-05-15
1150515,115,1,2314,台揚,383.60,14.44,-27.82,-26.03,-26.77,2026-05-15
1150515,115,1,2316,楠梓電,1022.32,6.20,-7.14,80.33,62.57,2026-05-15
1150515,115,1,2321,東訊,167.59,32.70,1.86,1.40,1.21,2026-05-15
1150515,115,1,2329,華泰,4860.48,12.79,5.61,6.00,4.83,2026-05-15
1150515,115,1,2331,精英,5002.87,8.69,0.43,1.76,1.25,2026-05-15
1150515,115,1,2332,友訊,3440.89,25.27,0.92,0.75,-0.57,2026-05-15
1150515,115,1,2337,旺宏,10468.87,40.80,18.46,19.74,17.00,2026-05-15
1150515,115,1,2340,台亞,954.03,-3.96,-26.75,-23.41,-24.95,2026-05-15
1150515,115,1,2344,華邦電,38253.06,53.37,32.81,33.17,26.45,2026-05-15
1150515,115,1,2345,智邦,70120.74,19.54,14.33,14.78,11.88,2026-05-15
1150515,115,1,2347,聯強,126357.65,4.30,2.67,3.07,2.45,2026-05-15
1150515,115,1,2348,海悅,1308.23,28.12,16.50,4.80,1.23,2026-05-15
1150515,115,1,2351,順德,2805.04,19.12,9.69,10.41,8.29,2026-05-15
1150515,115,1,2352,佳世達,51541.50,16.67,1.34,1.35,0.73,2026-05-15
1150515,115,1,2353,宏碁,72423.01,11.16,1.11,2.44,1.85,2026-05-15
1150515,115,1,2354,鴻準,25274.83,4.84,1.48,3.72,2.59,2026-05-15
1150515,115,1,2355,敬鵬,4055.84,12.08,4.80,7.87,6.08,2026-05-15
1150515,115,1,2356,英業達,200310.51,5.08,1.80,1.65,1.22,2026-05-15
1150515,115,1,2357,華碩,208369.73,14.86,5.71,6.65,5.35,2026-05-15
1150515,115,1,2359,所羅門,890.07,21.44,-4.02,17.61,16.06,2026-05-15
1150515,115,1,2360,致茂,11859.67,62.60,40.45,42.95,33.29,2026-05-15
1150515,115,1,2362,藍天,4941.23,20.88,6.85,9.31,7.10,2026-05-15
1150515,115,1,2363,矽統,1050.02,28.79,7.20,10.64,8.36,2026-05-15
1150515,115,1,2364,倫飛,338.92,38.46,9.03,13.00,13.01,2026-05-15
1150515,115,1,2365,昆盈,241.79,39.26,7.29,15.26,12.66,2026-05-15
1150515,115,1,2367,燿華,3898.12,5.77,-7.71,-7.26,-7.30,2026-05-15
1150515,115,1,2368,金像電,19312.77,34.81,26.85,26.34,18.04,2026-05-15
1150515,115,1,2369,菱生,1689.39,7.25,1.56,2.43,2.02,2026-05-15
