Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
00783,富邦中証500,,,,,30.6000,3310,31.0000,205,2026-05-15
00830,國泰費城半導體,6371,96,537358,84.3500,84.3500,9389,84.4000,3455,2026-05-15
00850,元大臺灣ESG永續,580,19,47495,81.9000,81.9000,4686,81.9500,3275,2026-05-15
00851,台新全球AI,15,1,969,64.6000,64.4000,1003,64.6000,1646,2026-05-15
00852L,國泰美國道瓊正2,,,,,31.5800,2642,31.6900,1067,2026-05-15
00861,元大全球未來通訊,412,6,35183,85.4000,84.9000,2264,85.4000,1827,2026-05-15
00865B,國泰US短期公債,122,1,5851,47.9600,47.9400,2548,47.9600,1019,2026-05-15
00875,國泰網路資安,,,,,42.6000,3099,42.8300,1874,2026-05-15
00876,元大全球5G,160,11,13678,85.5000,85.4500,1824,85.5000,1739,2026-05-15
00878,國泰永續高股息,28813,237,811000,28.1500,28.1500,49917,28.1600,18092,2026-05-15
00881,國泰台灣科技龍頭,4842,66,243055,50.2000,50.2000,8460,50.2500,2433,2026-05-15
00882,中信中國高股息,2090,19,33993,16.2700,16.2700,5942,16.2800,5760,2026-05-15
00885,富邦越南,3393,16,65648,19.3500,19.3500,55378,19.3700,1818,2026-05-15
00891,中信關鍵半導體,4918,38,170886,34.7500,34.7400,21183,34.7500,61112,2026-05-15
00892,富邦台灣半導體,429,15,18417,42.9500,42.9000,2727,42.9500,1601,2026-05-15
00893,國泰智能電動車,867,9,39678,45.7700,45.7700,3724,45.7800,2363,2026-05-15
00894,中信小資高價30,545,14,26056,47.8200,47.8200,4015,47.8800,1208,2026-05-15
00895,富邦未來車,676,12,34135,50.5000,50.4000,2887,50.5000,1535,2026-05-15
00896,中信綠能及電動車,1764,15,46809,26.5400,26.5300,5804,26.5400,911,2026-05-15
00897,富邦基因免疫生技,50,2,489,9.8000,9.8000,2123,9.9200,2663,2026-05-15
00898,國泰基因免疫革命,1,1,8,8.1400,8.1400,2764,8.1600,488,2026-05-15
00899,FT潔淨能源,60,2,1646,27.4400,27.3500,3651,27.4400,873,2026-05-15
00900,富邦特選高股息30,3202,15,54461,17.0100,17.0100,5365,17.0500,6102,2026-05-15
00901,永豐智能車供應鏈,124,3,5208,42.0000,41.8900,1496,42.0000,1392,2026-05-15
00902,中信電池及儲能,570,3,9690,17.0000,17.0000,3609,17.0400,2291,2026-05-15
00903,富邦元宇宙,,,,,21.6900,8268,21.7300,4655,2026-05-15
00904,新光臺灣半導體30,500,9,19622,39.2500,39.2500,3638,39.3000,716,2026-05-15
00905,FT臺灣Smart,600,4,14945,24.9100,24.8700,5709,24.9100,655,2026-05-15
00907,永豐優息存股,,,,,14.8100,3997,14.8200,1489,2026-05-15
00908,富邦入息REITs+,,,,,14.1300,4471,14.2300,1949,2026-05-15
00909,國泰數位支付服務,560,9,27270,48.7000,48.7000,4481,48.7900,2034,2026-05-15
