Date,Code,Name,Suspension,date
1150515,1235,興泰,,2026-05-15
1150515,1236,宏亞,,2026-05-15
1150515,1256,鮮活果汁-KY,,2026-05-15
1150515,1301,台塑,,2026-05-15
1150515,1303,南亞,,2026-05-15
1150515,1304,台聚,,2026-05-15
1150515,1305,華夏,,2026-05-15
1150515,1307,三芳,,2026-05-15
1150515,1308,亞聚,,2026-05-15
1150515,1309,台達化,,2026-05-15
1150515,1310,台苯,,2026-05-15
1150515,1312,國喬,,2026-05-15
1150515,1313,聯成,,2026-05-15
1150515,1314,中石化,,2026-05-15
1150515,1315,達新,,2026-05-15
1150515,1316,上曜,,2026-05-15
1150515,1319,東陽,,2026-05-15
1150515,1321,大洋,,2026-05-15
1150515,1323,永裕,,2026-05-15
1150515,1324,地球,,2026-05-15
1150515,1325,恆大,,2026-05-15
1150515,1326,台化,,2026-05-15
1150515,1337,再生-KY,,2026-05-15
1150515,1338,廣華-KY,,2026-05-15
1150515,1339,昭輝,,2026-05-15
1150515,1340,勝悅-KY,,2026-05-15
1150515,1342,八貫,,2026-05-15
1150515,1402,遠東新,,2026-05-15
1150515,1409,新纖,,2026-05-15
1150515,1410,南染,,2026-05-15
1150515,1414,東和,,2026-05-15
1150515,1416,廣豐,,2026-05-15
1150515,1417,嘉裕,,2026-05-15
1150515,1418,東華,,2026-05-15
1150515,1419,新紡,,2026-05-15
1150515,1423,利華,,2026-05-15
1150515,1432,大魯閣,,2026-05-15
1150515,1434,福懋,,2026-05-15
1150515,1436,華友聯,,2026-05-15
1150515,1437,勤益控,,2026-05-15
1150515,1438,三地開發,,2026-05-15
1150515,1439,雋揚,,2026-05-15
1150515,1440,南紡,,2026-05-15
1150515,1442,名軒,,2026-05-15
1150515,1443,立益物流,,2026-05-15
1150515,1445,大宇,,2026-05-15
1150515,1446,宏和,,2026-05-15
1150515,1449,佳和,,2026-05-15
1150515,1451,年興,,2026-05-15
1150515,1452,宏益,,2026-05-15
1150515,1453,大將,,2026-05-15
1150515,1454,台富,,2026-05-15
1150515,1455,集盛,,2026-05-15
1150515,1456,怡華,,2026-05-15
1150515,1457,宜進,,2026-05-15
1150515,1459,聯發,,2026-05-15
1150515,1463,強盛新,,2026-05-15
1150515,1464,得力,,2026-05-15
1150515,1465,偉全,,2026-05-15
1150515,1466,聚隆,,2026-05-15
1150515,1467,南緯,,2026-05-15
1150515,1470,大統新創,,2026-05-15
1150515,1472,三洋實業,,2026-05-15
1150515,1473,台南,,2026-05-15
1150515,1474,弘裕,,2026-05-15
1150515,1475,業旺,,2026-05-15
1150515,1476,儒鴻,,2026-05-15
1150515,1477,聚陽,,2026-05-15
1150515,1503,士電,,2026-05-15
1150515,1504,東元,,2026-05-15
1150515,1513,中興電,,2026-05-15
1150515,1514,亞力,,2026-05-15
1150515,1515,力山,,2026-05-15
1150515,1517,利奇,,2026-05-15
1150515,1519,華城,,2026-05-15
1150515,1521,大億,,2026-05-15
1150515,1522,堤維西,,2026-05-15
1150515,1524,耿鼎,,2026-05-15
1150515,1525,江申,,2026-05-15
1150515,1526,日馳,,2026-05-15
1150515,1527,鑽全,,2026-05-15
1150515,1528,恩德,,2026-05-15
1150515,1529,樂事綠能,,2026-05-15
1150515,1530,亞崴,,2026-05-15
1150515,1531,高林股,,2026-05-15
1150515,1532,勤美,,2026-05-15
1150515,1533,車王電,,2026-05-15
1150515,1535,中宇,,2026-05-15
1150515,1536,和大,,2026-05-15
1150515,1537,廣隆,,2026-05-15
1150515,1539,巨庭,,2026-05-15
1150515,1540,喬福,,2026-05-15
1150515,1541,錩泰,,2026-05-15
1150515,1558,伸興,,2026-05-15
