IndustryCat,Numbers,ShareNumber,ForeignMainlandAreaShare,Percentage,date
生技醫療業,59,10122592756,1670509502,16.50,2026-05-18
玻璃陶瓷,5,3840410326,187436395,4.88,2026-05-18
造紙工業,7,5877335202,472272874,8.04,2026-05-18
鋼鐵工業,32,30106963006,3356397374,11.15,2026-05-18
橡膠工業,11,8473538291,837472612,9.88,2026-05-18
汽車工業,44,9438111332,988036177,10.47,2026-05-18
電子工業,455,237482796104,67868424582,28.58,2026-05-18
半導體業,95,78409095228,33938926675,43.28,2026-05-18
電腦及週邊設備業,64,37754432399,8352359217,22.12,2026-05-18
光電業,68,35390049713,5732222062,16.20,2026-05-18
通信網路業,45,23935100864,3807097957,15.91,2026-05-18
電子零組件業,104,28982909216,7146646908,24.66,2026-05-18
電子通路業,22,8786732025,1954854073,22.25,2026-05-18
資訊服務業,11,1443964583,77155974,5.34,2026-05-18
其他電子業,46,22780512076,6859161716,30.11,2026-05-18
建材營造,55,29164075140,3593604912,12.32,2026-05-18
航運業,27,37214803540,5716309984,15.36,2026-05-18
觀光餐旅,19,3070244690,259409115,8.45,2026-05-18
金融保險,49,268179377008,58966547214,21.99,2026-05-18
貿易百貨,19,8113963972,828580192,10.21,2026-05-18
油電燃氣業,8,11699335310,679423405,5.81,2026-05-18
存託憑證,10,2455465976,42297474,1.72,2026-05-18
綠能環保,26,4174744931,197778348,4.74,2026-05-18
數位雲端,12,817552357,113876041,13.93,2026-05-18
運動休閒,18,6714124125,2180621007,32.48,2026-05-18
居家生活,11,1827530995,414542202,22.68,2026-05-18
其他,57,17012786480,2607450753,15.33,2026-05-18
