Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
00904,新光臺灣半導體30,,,,39.23,4,,2026-05-15
00905,FT臺灣Smart,,,,24.82,10,,2026-05-15
00907,永豐優息存股,,,,14.76,2,,2026-05-15
00908,富邦入息REITs+,,,,14.21,,,2026-05-15
00909,國泰數位支付服務,1,1,48620,48.62,6,,2026-05-15
00910,第一金太空衛星,1,1,73250,73.25,12,,2026-05-15
00911,兆豐洲際半導體,,,,56.50,14,,2026-05-15
00912,中信臺灣智慧50,,,,30.86,6,,2026-05-15
00913,兆豐台灣晶圓製造,,,,45.03,13,,2026-05-15
00915,凱基優選高股息30,3,3,80310,26.77,,14,2026-05-15
00916,國泰全球品牌50,,,,27.85,,4,2026-05-15
00917,中信特選金融,,,,21.44,1,,2026-05-15
00918,大華優利高填息30,222,59,5743140,25.87,98,,2026-05-15
00919,群益台灣精選高息,305,121,7896450,25.89,86,,2026-05-15
00920,富邦ESG綠色電力,,,,26.39,1,,2026-05-15
00921,兆豐龍頭等權重,,,,21.59,,400,2026-05-15
00922,國泰台灣領袖50,8,5,290000,36.25,55,,2026-05-15
00923,群益台ESG低碳50,11,7,420640,38.24,32,,2026-05-15
00924,復華S&P500成長,3,3,97020,32.34,5,,2026-05-15
00926,凱基全球菁英55,,,,25.32,1,,2026-05-15
00927,群益半導體收益,9,5,319860,35.54,839,,2026-05-15
00929,復華台灣科技優息,25,15,652500,26.10,,294,2026-05-15
00930,永豐ESG低碳高息,,,,21.51,,,2026-05-15
00932,兆豐永續高息等權,2,2,33360,16.68,,,2026-05-15
00934,中信成長高股息,,,,25.84,3,,2026-05-15
00935,野村臺灣新科技50,29,18,1586300,54.70,,1471,2026-05-15
00936,台新永續高息中小,2,2,39160,19.58,,15,2026-05-15
00938,凱基優選30,,,,20.98,,,2026-05-15
00939,統一台灣高息動能,38,12,695400,18.30,65,,2026-05-15
00940,元大台灣價值高息,6,6,67020,11.17,,43,2026-05-15
00941,中信上游半導體,,,,25.49,,,2026-05-15
00943,兆豐電子高息等權,3,1,58080,19.36,,3,2026-05-15
00944,野村趨勢動能高息,10,2,188300,18.83,,594,2026-05-15
00945B,凱基美國非投等債,1,1,14460,14.46,9,,2026-05-15
00946,群益科技高息成長,2,2,26300,13.15,,12,2026-05-15
00947,台新臺灣IC設計,4,4,147960,36.99,33,,2026-05-15
00949,復華日本龍頭,2,2,40440,20.22,,3,2026-05-15
00951,台新日本半導體,34,13,581400,17.10,9,,2026-05-15
00952,凱基台灣AI50,,,,17.63,10,,2026-05-15
00953B,群益優選非投等債,24,6,229680,9.57,531,,2026-05-15
00954,中信日本半導體,12,4,218760,18.23,,15,2026-05-15
00956,中信日經高股息,,,,12.56,,3,2026-05-15
00960,野村全球航運龍頭,2,2,34900,17.45,,3,2026-05-15
00961,FT臺灣永續高息,27,18,303750,11.25,,4749,2026-05-15
00962,台新AI優息動能,,,,13.75,,500,2026-05-15
00963,中信全球高股息,3,1,37980,12.66,,168,2026-05-15
00964,中信亞太高股息,,,,14.50,10,,2026-05-15
00965,元大航太防衛科技,7,6,179340,25.62,,42,2026-05-15
00971,野村美國研發龍頭,,,,16.79,,1,2026-05-15
00972,野村日本動能高息,,,,19.39,24,,2026-05-15
009800,中信NASDAQ,8,5,102960,12.87,,14,2026-05-15
009801,中信美國創新科技,,,,12.22,,,2026-05-15
009802,富邦旗艦50,17,10,299200,17.60,34,,2026-05-15
009803,玉山市值動能50,,,,20.23,1,,2026-05-15
009804,聯邦台精彩50,2,1,42140,21.07,1,,2026-05-15
009805,新光美國電力基建,16,10,272960,17.06,208,,2026-05-15
009808,華南永昌優選50,,,,28.70,,,2026-05-15
009809,富邦淨零ESG50,,,,15.55,1,,2026-05-15
00980A,主動野村臺灣優選,57,21,1369140,24.02,,4210,2026-05-15
009810,玉山全球藍籌100,,,,20.72,,1,2026-05-15
009811,統一美國50,,,,12.93,,5,2026-05-15
009812,野村日本東證,1,1,12180,12.18,,1,2026-05-15
009813,貝萊德標普卓越50,2,2,22740,11.37,1,,2026-05-15
009816,凱基台灣TOP50,186,73,2585400,13.90,697,,2026-05-15
009817,國泰日本不動產,15,10,135750,9.05,,24,2026-05-15
009818,華南永昌NASDAQxT,,,,19.04,,5,2026-05-15
009819,中信數據及電力,44,22,440880,10.02,145,,2026-05-15
00981A,主動統一台股增長,384,158,11304960,29.44,1256,,2026-05-15
00981T,平衡凱基雙核收息,15,3,177750,11.85,,8,2026-05-15
009820,元大納斯達克精選,6,3,60240,10.04,,254,2026-05-15
00982A,主動群益台灣強棒,1173,142,27154950,23.15,,1312,2026-05-15
00982D,主動富邦動態入息,,,,9.96,3,,2026-05-15
00982T,平衡兆豐台美動能,,,,14.40,,10,2026-05-15
00983A,主動中信ARK創新,13,4,152230,11.71,40,,2026-05-15
00983D,主動富邦複合收益,,,,10.14,,205,2026-05-15
00984A,主動安聯台灣高息,9,7,135450,15.05,,2384,2026-05-15
00984D,主動聯博全球非投,3,1,30150,10.05,23,,2026-05-15
00985A,主動野村台灣50,4,4,85640,21.41,8,,2026-05-15
00985B,群益ESG投等債0-5,36,4,366120,10.17,,23,2026-05-15
00986A,主動台新龍頭成長,,,,14.83,6,,2026-05-15
00987A,主動台新優勢成長,52,17,896480,17.24,24,,2026-05-15
00988A,主動統一全球創新,633,163,12678990,20.03,,176,2026-05-15
00989A,主動摩根美國科技,,,,17.45,,13,2026-05-15
00990A,主動元大AI新經濟,4,3,73120,18.28,329,,2026-05-15
00991A,主動復華未來50,714,146,13244700,18.55,,5027,2026-05-15
00992A,主動群益科技創新,85,32,1550400,18.24,1469,,2026-05-15
00993A,主動安聯台灣,9,3,118980,13.22,111,,2026-05-15
00994A,主動第一金台股優,18,8,318600,17.70,88,,2026-05-15
00995A,主動中信台灣卓越,10,1,170600,17.06,22,,2026-05-15
00996A,主動兆豐台灣豐收,9,7,127350,14.15,,11,2026-05-15
00997A,主動群益美國增長,13,7,166270,12.79,84,,2026-05-15
00999A,主動野村臺灣高息,84,42,886200,10.55,267,,2026-05-15
01001T,土銀富邦R1,,,,11.58,,,2026-05-15
01002T,土銀國泰R1,,,,14.12,,,2026-05-15
01004T,土銀富邦R2,,,,10.70,2,,2026-05-15
01007T,兆豐國泰R2,,,,12.91,4,,2026-05-15
01009T,王道圓滿R1,,,,5.72,,,2026-05-15
01010T,京城樂富R1,,,,10.00,,,2026-05-15
020000,富邦特選蘋果N,,,,28.88,,,2026-05-15
020012,富邦行動通訊N,,,,23.23,,,2026-05-15
02001L,富邦蘋果正二N,,,,125.45,,,2026-05-15
02001R,富邦蘋果反一N,,,,0.50,,,2026-05-15
020020,元大台股領航N,,,,24.83,,,2026-05-15
020028,元大特選電動車N,,,,19.05,,,2026-05-15
020029,元大ESG高股息N,,,,14.67,,,2026-05-15
020030,統一智慧電動車N,,,,16.90,,,2026-05-15
020031,統一IC設計臺灣N,,,,10.50,,,2026-05-15
020032,元大綠能N,,,,10.41,,,2026-05-15
020034,元大IC設計N,,,,13.37,,,2026-05-15
020036,元大金融配息N,,,,7.73,,,2026-05-15
020037,元大金融高股息N,,,,8.61,,,2026-05-15
020038,元大ESG配息N,,,,11.42,,1,2026-05-15
