Date,Code,Name,ClosePrice,DividendYield,DividendYear,PEratio,PBratio,FiscalYearQuarter,date
20260514,1522,堤維西,30.15,3.98,114,97.26,1.02,2026Q1,2026-05-15
20260514,1524,耿鼎,28.80,4.86,114,19.20,1.65,2026Q1,2026-05-15
20260514,1525,江申,59.80,4.68,114,37.38,0.86,2026Q1,2026-05-15
20260514,1526,日馳,14.70,,113,,0.66,2026Q1,2026-05-15
20260514,1527,鑽全,32.50,4.62,114,35.71,0.92,2026Q1,2026-05-15
20260514,1528,恩德,25.25,0.40,113,,2.25,2026Q1,2026-05-15
20260514,1529,樂事綠能,20.85,4.80,114,20.64,1.78,2025Q4,2026-05-15
20260514,1530,亞崴,26.40,3.79,114,,0.78,2025Q4,2026-05-15
20260514,1531,高林股,12.55,7.97,114,,0.63,2026Q1,2026-05-15
20260514,1532,勤美,20.20,3.96,114,20.40,0.56,2025Q4,2026-05-15
20260514,1533,車王電,34.70,,113,21.29,1.42,2026Q1,2026-05-15
20260514,1535,中宇,49.40,6.07,114,12.70,1.54,2026Q1,2026-05-15
20260514,1536,和大,51.30,1.56,113,,1.85,2025Q4,2026-05-15
20260514,1537,廣隆,126.00,5.71,114,16.58,2.24,2026Q1,2026-05-15
20260514,1538,正峰,,,113,,3.14,2026Q1,2026-05-15
20260514,1539,巨庭,15.55,5.47,113,388.75,0.63,2026Q1,2026-05-15
20260514,1540,喬福,20.50,4.88,114,22.04,1.16,2026Q1,2026-05-15
20260514,1541,錩泰,21.80,2.29,113,9.60,0.80,2026Q1,2026-05-15
20260514,1558,伸興,90.50,5.52,114,16.10,1.10,2026Q1,2026-05-15
20260514,1560,中砂,650.00,0.77,114,64.10,11.75,2026Q1,2026-05-15
20260514,1563,巧新,45.40,4.41,114,103.18,1.20,2026Q1,2026-05-15
20260514,1568,倉佑,28.35,3.53,114,21.16,1.58,2026Q1,2026-05-15
20260514,1582,信錦,97.80,3.07,114,35.56,1.88,2026Q1,2026-05-15
20260514,1583,程泰,46.70,2.14,114,,0.90,2025Q4,2026-05-15
20260514,1587,吉茂,29.10,1.72,113,70.98,1.45,2026Q1,2026-05-15
20260514,1590,亞德客-KY,1465.00,1.95,114,32.07,5.76,2026Q1,2026-05-15
20260514,1597,直得,180.00,0.39,114,151.26,6.56,2026Q1,2026-05-15
20260514,1598,岱宇,20.15,2.48,113,,0.80,2026Q1,2026-05-15
20260514,1603,華電,32.05,6.24,114,11.91,0.67,2026Q1,2026-05-15
20260514,1604,聲寶,22.85,6.56,114,13.85,0.98,2026Q1,2026-05-15
20260514,1605,華新,35.60,1.40,114,25.99,0.96,2026Q1,2026-05-15
20260514,1608,華榮,32.95,6.07,114,5.98,1.44,2026Q1,2026-05-15
20260514,1609,大亞,34.10,2.05,114,20.67,1.56,2025Q4,2026-05-15
20260514,1611,中電,11.20,7.14,114,373.33,0.86,2025Q4,2026-05-15
20260514,1612,宏泰,36.15,6.92,114,12.05,1.40,2026Q1,2026-05-15
20260514,1614,三洋電,31.15,3.11,114,23.60,1.45,2026Q1,2026-05-15
20260514,1615,大山,43.10,5.80,113,9.09,1.74,2026Q1,2026-05-15
20260514,1616,億泰,21.55,6.31,114,17.52,1.80,2026Q1,2026-05-15
20260514,1617,榮星,14.80,4.05,114,16.82,1.10,2026Q1,2026-05-15
20260514,1618,合機,38.30,4.44,114,9.10,1.12,2025Q4,2026-05-15
20260514,1623,大東電,222.00,3.60,114,17.93,3.66,2026Q1,2026-05-15
20260514,1626,艾美特-KY,10.00,,113,,0.55,2026Q1,2026-05-15
20260514,1702,南僑,33.50,4.78,114,29.91,0.69,2025Q4,2026-05-15
20260514,1707,葡萄王,108.50,5.53,114,13.56,1.61,2026Q1,2026-05-15
20260514,1708,東鹼,40.50,3.95,114,12.02,1.36,2026Q1,2026-05-15
20260514,1709,和益,18.40,5.43,114,14.96,0.98,2025Q4,2026-05-15
20260514,1710,東聯,11.95,,113,,0.95,2026Q1,2026-05-15
20260514,1711,永光,50.80,0.59,113,,3.37,2026Q1,2026-05-15
20260514,1712,興農,41.25,6.06,114,16.63,2.21,2026Q1,2026-05-15
20260514,1713,國化,47.30,6.55,114,10.56,1.77,2026Q1,2026-05-15
20260514,1714,和桐,10.00,1.80,114,15.63,0.77,2026Q1,2026-05-15
20260514,1717,長興,79.60,1.26,114,53.78,3.24,2026Q1,2026-05-15
20260514,1718,中纖,6.68,,113,74.22,0.41,2025Q4,2026-05-15
20260514,1720,生達,61.80,4.85,114,11.44,1.83,2026Q1,2026-05-15
20260514,1721,三晃,32.50,,113,,3.74,2026Q1,2026-05-15
20260514,1722,台肥,47.00,4.26,114,45.19,0.84,2026Q1,2026-05-15
20260514,1723,中碳,80.70,2.29,114,32.54,2.33,2026Q1,2026-05-15
20260514,1725,元禎,31.45,3.40,114,19.41,0.85,2026Q1,2026-05-15
20260514,1726,永記,77.20,4.79,114,13.02,1.15,2026Q1,2026-05-15
20260514,1727,中華化,79.50,0.19,114,214.86,4.82,2026Q1,2026-05-15
20260514,1730,花仙子,52.80,5.68,114,11.40,1.55,2026Q1,2026-05-15
20260514,1731,美吾華,21.55,5.66,114,15.39,1.29,2026Q1,2026-05-15
20260514,1732,毛寶,26.30,2.28,114,29.22,2.26,2026Q1,2026-05-15
20260514,1733,五鼎,28.80,4.51,114,15.82,1.58,2026Q1,2026-05-15
20260514,1734,杏輝,30.65,5.22,114,15.96,1.69,2025Q4,2026-05-15
