Code,Name,TradeVolume,Transaction,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Dir,Change,LastBestBidPrice,LastBestBidVolume,LastBestAskPrice,LastBestAskVolume,PriceEarningRatio,date
6924,榮惠-KY創,287778,282,34133886,125.50,125.50,114.00,120.00,-,3.50,119.00,12,120.00,2,17.99,2026-05-15
6933,AMAX-KY,756602,946,130506121,183.50,183.50,167.00,168.50,-,15.00,168.50,7,169.00,3,28.27,2026-05-15
6957,裕慶-KY,206816,233,32230390,156.50,159.00,153.50,159.00,,,157.00,1,159.00,4,15.54,2026-05-15
6962,奕力-KY,5239301,2718,198226614,38.50,38.65,37.25,37.25,-,0.85,37.25,36,37.40,1,25.51,2026-05-15
6965,中傑-KY,109436,101,8612336,78.40,79.00,78.10,78.10,-,0.60,78.10,1,78.70,2,22.77,2026-05-15
7749,意騰-KY,690452,1317,342237229,495.00,505.00,483.00,500.00,+,12.00,500.00,1,502.00,1,44.92,2026-05-15
7823,奧義賽博-KY創,219792,259,21031985,90.20,99.10,90.00,98.50,+,8.30,98.40,2,98.50,8,-,2026-05-15
8404,百和興業-KY,574535,276,9438592,16.45,16.70,16.30,16.50,-,0.10,16.45,9,16.50,3,15.14,2026-05-15
8411,福貞-KY,89596,101,1098654,12.30,12.40,12.20,12.25,-,0.15,12.15,16,12.25,3,122.50,2026-05-15
8429,金麗-KY,492451,447,3079248,6.22,6.35,6.22,6.23,-,0.12,6.23,1,6.25,10,56.64,2026-05-15
8442,威宏-KY,664459,442,29971136,45.00,46.00,45.00,45.10,-,4.90,45.10,2,45.15,2,11.03,2026-05-15
8466,美吉吉-KY,232576,165,3367031,15.15,15.15,14.00,14.15,-,1.05,14.15,1,14.20,5,-,2026-05-15
8467,波力-KY,31714,50,4204689,134.50,134.50,131.00,131.00,-,3.00,131.00,2,131.50,1,15.21,2026-05-15
8482,商億-KY,12108,15,583279,49.60,49.60,47.70,48.05,-,0.95,47.50,8,48.30,2,20.36,2026-05-15
