日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記,date
1150514,特選Smart多因子指數,17656.35,+,131.79,0.75,,2026-05-15
1150514,特選ESG高股息指數,10450.74,+,80.91,0.78,,2026-05-15
1150514,特選上櫃ESG成長指數,10640.12,+,399.85,3.90,,2026-05-15
1150514,臺灣優息存股指數,5080.94,-,22.99,-0.45,,2026-05-15
1150514,特選上櫃ESG永續高股息指數,15344.80,+,571.45,3.87,,2026-05-15
1150514,特選臺灣金融高股息存股指數,7935.80,-,27.46,-0.34,,2026-05-15
1150514,特選臺灣產業龍頭存股等權重指數,8405.21,-,15.50,-0.18,,2026-05-15
1150514,上櫃ESG 30指數,16005.25,+,326.95,2.09,,2026-05-15
1150514,臺灣ESG低碳50指數,15507.55,+,138.58,0.90,,2026-05-15
1150514,臺灣創新板指數,14922.82,+,284.90,1.95,,2026-05-15
1150514,特選上櫃ESG龍頭指數,13434.96,+,375.10,2.87,,2026-05-15
1150514,臺灣市值動能50指數,10188.54,+,52.39,0.52,,2026-05-15
1150514,臺灣護城河概念優選50指數,9439.09,+,69.89,0.75,,2026-05-15
1150514,特選臺灣中小型精選動能100指數,6871.81,-,0.25,--,,2026-05-15
1150514,特選臺灣大型股25指數,10736.40,+,152.35,1.44,,2026-05-15
1150514,特選臺灣TOP 50指數,8206.24,+,48.23,0.59,,2026-05-15
1150514,寶島股價報酬指數,71926.41,+,678.87,0.95,,2026-05-15
1150514,發行量加權股價報酬指數,95248.52,+,860.61,0.91,,2026-05-15
1150514,臺灣公司治理100報酬指數,39390.40,+,377.89,0.97,,2026-05-15
1150514,臺灣50報酬指數,88568.37,+,"1,186.81",1.36,,2026-05-15
1150514,臺灣50權重上限30%報酬指數,74167.34,+,468.27,0.64,,2026-05-15
1150514,臺灣中型100報酬指數,71813.25,-,607.29,-0.84,,2026-05-15
1150514,臺灣資訊科技股報酬指數,175031.03,+,"2,419.88",1.40,,2026-05-15
1150514,臺灣發達報酬指數,37991.92,+,36.33,0.10,,2026-05-15
1150514,臺灣高股息報酬指數,40223.02,+,22.93,0.06,,2026-05-15
1150514,臺灣就業99報酬指數,42301.60,+,240.80,0.57,,2026-05-15
1150514,臺灣高薪100報酬指數,32372.64,+,154.20,0.48,,2026-05-15
1150514,未含金融電子報酬指數,33775.00,-,208.85,-0.61,,2026-05-15
1150514,小型股300報酬指數,19419.45,+,22.10,0.11,,2026-05-15
1150514,水泥類報酬指數,273.85,-,1.40,-0.51,,2026-05-15
1150514,食品類報酬指數,3348.81,-,16.63,-0.49,,2026-05-15
1150514,塑膠類報酬指數,372.74,-,6.39,-1.69,,2026-05-15
1150514,紡織纖維類報酬指數,852.63,-,7.21,-0.84,,2026-05-15
1150514,電機機械類報酬指數,922.67,-,6.48,-0.70,,2026-05-15
1150514,電器電纜類報酬指數,176.47,-,0.01,-0.01,,2026-05-15
1150514,化學生技醫療類報酬指數,242.72,-,1.65,-0.68,,2026-05-15
1150514,化學類報酬指數,369.84,+,0.23,0.06,,2026-05-15
1150514,生技醫療類報酬指數,111.39,-,1.23,-1.09,,2026-05-15
1150514,玻璃陶瓷類報酬指數,199.76,-,3.03,-1.49,,2026-05-15
1150514,造紙類報酬指數,403.69,+,1.67,0.42,,2026-05-15
1150514,鋼鐵類報酬指數,213.85,+,1.37,0.64,,2026-05-15
1150514,橡膠類報酬指數,341.01,+,3.73,1.11,,2026-05-15
1150514,汽車類報酬指數,488.40,-,5.58,-1.13,,2026-05-15
1150514,電子工業類報酬指數,5561.25,+,66.72,1.21,,2026-05-15
1150514,半導體類報酬指數,2735.80,+,52.14,1.94,,2026-05-15
1150514,電腦及週邊設備類報酬指數,952.09,-,11.13,-1.16,,2026-05-15
1150514,光電類報酬指數,89.04,+,0.92,1.04,,2026-05-15
1150514,通信網路類報酬指數,597.63,+,22.30,3.88,,2026-05-15
1150514,電子零組件類報酬指數,1748.18,-,0.27,-0.02,,2026-05-15
1150514,電子通路類報酬指數,1073.81,-,10.82,-1.00,,2026-05-15
1150514,資訊服務類報酬指數,520.35,-,0.72,-0.14,,2026-05-15
1150514,其他電子類報酬指數,492.45,-,15.88,-3.12,,2026-05-15
1150514,建材營造類報酬指數,1016.35,-,8.97,-0.87,,2026-05-15
1150514,航運類報酬指數,382.48,+,0.30,0.08,,2026-05-15
1150514,觀光餐旅類報酬指數,156.43,-,1.49,-0.94,,2026-05-15
