股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記,date
00908,富邦入息REITs+,,,,,,9229,,,,,,9229,, ,2026-05-15
00909,國泰數位支付服務,56,60,,1308,1304,37051,,,,63,63,37051,, ,2026-05-15
00910,第一金太空衛星,89,142,,1439,1386,23359,,,,5,5,23359,, ,2026-05-15
00911,兆豐洲際半導體,13,9,,177,181,4600,,,,,,4600,, ,2026-05-15
00912,中信臺灣智慧50,,,,3,3,14813,,,,,,14813,, ,2026-05-15
00913,兆豐台灣晶圓製造,10,2,,57,65,5066,,,,,,5066,, ,2026-05-15
00915,凱基優選高股息30,,,,106,106,157120,,,,,,157120,, ,2026-05-15
00916,國泰全球品牌50,,,,2,2,15604,,,,,,15604,, ,2026-05-15
00917,中信特選金融,,180,,374,194,15994,,,,,,15994,, ,2026-05-15
00918,大華優利高填息30,29,47,8,1982,1956,802566,,35,,37,72,802566,3, ,2026-05-15
00919,群益台灣精選高息,213,390,,6159,5982,4463783,,30,,56,86,4463783,2, ,2026-05-15
00920,富邦ESG綠色電力,,1,,65,64,4445,,,,,,4445,, ,2026-05-15
00921,兆豐龍頭等權重,,,,,,15442,,,,,,15442,, ,2026-05-15
00922,國泰台灣領袖50,31,30,,994,995,498671,,,,70,70,498671,, ,2026-05-15
00923,群益台ESG低碳50,2,6,,555,551,213105,,,,8,8,213105,, ,2026-05-15
00924,復華S&P500成長,1,,,69,70,113400,,,,,,113400,, ,2026-05-15
00926,凱基全球菁英55,,6,,31,25,21745,,,,,,21745,, ,2026-05-15
00927,群益半導體收益,143,533,2,3486,3094,188849,1,2,,20,21,188849,5, ,2026-05-15
00929,復華台灣科技優息,83,135,2,1770,1716,1185284,6,,,6,,1185284,,X ,2026-05-15
00930,永豐ESG低碳高息,,,,24,24,38819,,,,,,38819,, ,2026-05-15
00932,兆豐永續高息等權,,,,5,5,40320,,,,,,40320,,X ,2026-05-15
00934,中信成長高股息,62,,,513,575,102006,,,,,,102006,,X ,2026-05-15
00935,野村臺灣新科技50,82,232,9,2972,2813,141001,,,,56,56,141001,31, ,2026-05-15
00936,台新永續高息中小,,,,5,5,65949,,,,,,65949,,X ,2026-05-15
00938,凱基優選30,10,1,,1,10,20629,,,,,,20629,,X ,2026-05-15
00939,統一台灣高息動能,,4,,85,81,326619,,,,,,326619,, ,2026-05-15
00940,元大台灣價值高息,23,5,,903,921,1501091,1,,,1,,1501091,1, ,2026-05-15
00941,中信上游半導體,15,15,,210,210,115447,,,,1,1,115447,, ,2026-05-15
00943,兆豐電子高息等權,,,,5,5,10722,,,,,,10722,,X ,2026-05-15
00944,野村趨勢動能高息,,,,2,2,14895,,,,,,14895,,X ,2026-05-15
00945B,凱基美國非投等債,,,,490,490,216829,,,,,,216829,,X ,2026-05-15
00946,群益科技高息成長,30,9,,213,234,125811,,,,,,125811,, ,2026-05-15
00947,台新臺灣IC設計,113,921,1,3506,2697,47091,5,2,,17,14,47091,103, ,2026-05-15
00949,復華日本龍頭,,31,,187,156,49232,,,,,,49232,, ,2026-05-15
00951,台新日本半導體,18,54,,1419,1383,58510,,,,6,6,58510,, ,2026-05-15
00952,凱基台灣AI50,6,3,,225,228,56943,,,,,,56943,,X ,2026-05-15
00953B,群益優選非投等債,618,555,,74318,74381,1106293,,,,,,1106293,, ,2026-05-15
00954,中信日本半導體,13,48,60,1199,1104,24311,,,,,,24311,, ,2026-05-15
00956,中信日經高股息,,,,99,99,8657,,,,,,8657,, ,2026-05-15
00960,野村全球航運龍頭,,1,,65,64,17623,,,,,,17623,, ,2026-05-15
00961,FT臺灣永續高息,193,11,,307,489,42127,,,,,,42127,,X ,2026-05-15
00962,台新AI優息動能,50,2,,57,105,12105,,,,,,12105,,X ,2026-05-15
00963,中信全球高股息,2,,,7,9,22108,,,,,,22108,,X ,2026-05-15
00964,中信亞太高股息,,,,64,64,14656,,,,,,14656,,X ,2026-05-15
00965,元大航太防衛科技,21,46,20,3606,3561,133748,,,,58,58,133748,, ,2026-05-15
00971,野村美國研發龍頭,,,,63,63,17544,,,,,,17544,, ,2026-05-15
00972,野村日本動能高息,,,,11,11,5043,,,,,,5043,, ,2026-05-15
009800,中信NASDAQ,779,744,,1370,1405,72972,,,,9,9,72972,, ,2026-05-15
009801,中信美國創新科技,1,1,,98,98,29279,,,,2,2,29279,, ,2026-05-15
009802,富邦旗艦50,158,111,1,2371,2417,132873,10,2,,15,7,132873,, ,2026-05-15
009803,玉山市值動能50,9,24,,146,131,32957,,,,,,32957,, ,2026-05-15
009804,聯邦台精彩50,,10,,128,118,29723,,,,,,29723,, ,2026-05-15
009805,新光美國電力基建,46,171,,19086,18961,178829,,,283,284,1,178829,, ,2026-05-15
009808,華南永昌優選50,1,,,71,72,10252,,,,,,10252,,X ,2026-05-15
009809,富邦淨零ESG50,,,,6,6,8965,,,,,,8965,, ,2026-05-15
00980A,主動野村臺灣優選,224,166,,4787,4845,180682,,,,,,180682,,X ,2026-05-15
009810,玉山全球藍籌100,,,,1,1,4913,,,,,,4913,, ,2026-05-15
009811,統一美國50,1,1,,119,119,75237,,,,35,35,75237,, ,2026-05-15
009812,野村日本東證,3,23,,68,48,27970,,,,,,27970,, ,2026-05-15
009813,貝萊德標普卓越50,,,,252,252,112706,,,,,,112706,, ,2026-05-15
009816,凱基台灣TOP50,560,667,9,30499,30383,2134211,33,6,1,583,555,2134211,2, ,2026-05-15
009817,國泰日本不動產,,,,157,157,71234,,,,,,71234,, ,2026-05-15
009818,華南永昌NASDAQxT,,,,2,2,16163,,,,,,16163,, ,2026-05-15
009819,中信數據及電力,51,974,,5856,4933,169686,,,,1,1,169686,, ,2026-05-15
00981A,主動統一台股增長,5008,14054,206,198920,189668,2269552,264,215,9,4146,4088,2269552,76, ,2026-05-15
00981T,平衡凱基雙核收息,1,,,24,25,44065,,,,,,44065,,X ,2026-05-15
009820,元大納斯達克精選,71,77,,2716,2710,461800,,,,200,200,461800,, ,2026-05-15
00982A,主動群益台灣強棒,1080,1121,1,13419,13377,534734,,,,,,534734,,X ,2026-05-15
00982D,主動富邦動態入息,,,,120,120,21307,,,,,,21307,,X ,2026-05-15
00982T,平衡兆豐台美動能,,,,,,4774,,,,,,4774,, ,2026-05-15
00983A,主動中信ARK創新,6,9,,848,845,55671,,,,16,16,55671,, ,2026-05-15
00983D,主動富邦複合收益,,,,54,54,26049,,,,,,26049,,X ,2026-05-15
00984A,主動安聯台灣高息,12,3,,614,623,114114,,,,,,114114,, ,2026-05-15
00984D,主動聯博全球非投,2005,,,2098,4103,56014,,,,,,56014,, ,2026-05-15
00985A,主動野村台灣50,12,173,5,2499,2333,129947,,,,67,67,129947,, ,2026-05-15
00985B,群益ESG投等債0-5,,,,181,181,128375,,,,,,128375,, ,2026-05-15
