stock_id,sub_sector
4137,生技醫療
4142,生技醫療
4148,生技醫療
4155,生技醫療
4164,生技醫療
4169,生技醫療
4178,生技醫療
4190,生技醫療
4195,生技醫療
4306,塑化
4414,紡織
4426,紡織
4438,紡織
4439,紡織
4440,紡織
4441,紡織
4526,未分類
4532,未分類
4536,未分類
4540,未分類
4545,被動元件
4551,未分類
4552,未分類
4555,未分類
4557,未分類
4560,未分類
4562,未分類
4564,未分類
4566,未分類
4569,未分類
4571,未分類
4572,未分類
4576,未分類
4581,未分類
4582,未分類
4583,未分類
4585,其他電子
4588,其他電子
4590,未分類
4720,塑化
4722,塑化
4736,生技醫療
4737,生技醫療
4739,塑化
4746,CCL
4755,塑化
4763,塑化
4764,塑化
4766,塑化
4770,塑化
4771,生技醫療
4807,未分類
4904,網通
4906,網通
4912,被動元件
4915,被動元件
4916,NB/PC
4919,其他電子
4927,被動元件
4930,未分類
4934,面板
4935,面板
4938,AI Server
4942,面板
4943,被動元件
4949,面板
4952,其他電子
4956,LED
4958,PCB
4960,面板
4961,IC設計
4967,記憶體
4968,其他電子
4976,面板
4977,網通
4989,被動元件
4994,未分類
4999,被動元件
5007,鋼鐵
5203,未分類
5215,NB/PC
5222,其他電子
5225,其他電子
5234,面板
5243,面板
5244,面板
5258,NB/PC
5269,其他電子
5283,未分類
5284,未分類
5285,其他電子
5288,未分類
5292,未分類
5306,未分類
5388,網通
5434,未分類
5469,被動元件
5471,其他電子
5484,面板
5515,建設營造
5519,建設營造
5521,建設營造
5522,建設營造
5525,建設營造
5531,建設營造
5533,建設營造
5534,建設營造
5538,鋼鐵
5546,建設營造
5607,建設營造
5608,航運
5706,觀光餐旅
5871,未分類
5876,金融
5880,金融
5906,未分類
5907,未分類
6005,金融
6024,金融
6108,被動元件
6112,未分類
6115,被動元件
6116,面板
6117,NB/PC
6120,面板
6128,NB/PC
6133,被動元件
6136,網通
6139,其他電子
6141,被動元件
6142,網通
6152,網通
6153,被動元件
6155,被動元件
6164,面板
6165,未分類
6166,NB/PC
6168,面板
6176,面板
6177,建設營造
6183,未分類
6184,未分類
6189,未分類
6191,被動元件
6192,其他電子
6196,半導體設備材料
6197,被動元件
6201,其他電子
6202,其他電子
6205,被動元件
6206,NB/PC
6209,面板
6213,CCL
6214,未分類
6215,其他電子
6216,網通
6224,被動元件
6225,面板
6226,面板
6230,散熱
6235,NB/PC
6239,其他電子
6243,其他電子
6257,封裝測試
6269,被動元件
6271,其他電子
6272,被動元件
6277,NB/PC
6278,面板
6281,未分類
6282,電源供應器
6283,其他電子
6285,網通
6405,面板
6409,其他電子
6412,電源供應器
6414,伺服器管理晶片
6415,其他電子
6416,網通
6426,網通
6431,生技醫療
6438,其他電子
6442,光通訊/CPO
6443,晶圓代工
6446,生技醫療
6449,被動元件
6451,其他電子
6456,面板
6464,未分類
6472,生技醫療
6477,面板
6491,生技醫療
6504,未分類
6505,塑化
6515,其他電子
6525,其他電子
6526,其他電子
6531,其他電子
6533,其他電子
6534,生技醫療
6541,生技醫療
6550,生技醫療
6552,其他電子
6558,其他電子
6573,其他電子
6579,NB/PC
6581,未分類
6582,未分類
6585,未分類
6589,生技醫療
6591,NB/PC
6592,未分類
6598,生技醫療
6605,未分類
6606,未分類
6614,未分類
6625,未分類
6641,未分類
6645,生技醫療
6655,未分類
6657,生技醫療
6658,其他電子
6666,生技醫療
6668,面板
6669,AI Server
6670,未分類
6671,未分類
6672,CCL
6674,網通
6689,未分類
6691,其他電子
6695,其他電子
6698,半導體設備材料
6706,面板
6715,被動元件
6719,其他電子
6722,其他電子
6742,面板
6743,其他電子
6753,航運
6754,未分類
6756,其他電子
6757,航運
6768,未分類
6770,晶圓代工
6771,未分類
6776,未分類
6781,被動元件
6782,生技醫療
6789,封裝測試
6790,金融
6792,網通
6794,生技醫療
6796,生技醫療
6799,其他電子
6805,被動元件
6806,未分類
6807,未分類
6830,其他電子
6831,NB/PC
6834,被動元件
6835,被動元件
6838,金融
6854,其他電子
6861,生技醫療
6862,被動元件
6863,網通
6869,綠電/再生能源
6873,未分類
6885,生技醫療
6887,未分類
6890,未分類
6901,未分類
6902,未分類
6906,未分類
6908,NB/PC
6909,其他電子
6914,未分類
6916,面板
6918,生技醫療
6919,生技醫療
6921,其他電子
6923,未分類
6924,被動元件
6928,NB/PC
6931,生技醫療
6933,NB/PC
6934,生技醫療
6936,生技醫療
6937,其他電子
6944,未分類
6949,生技醫療
6951,未分類
6952,未分類
6955,生技醫療
6957,未分類
6958,未分類
6962,其他電子
6965,未分類
6969,未分類
6988,未分類
6994,未分類
7610,未分類
7631,其他電子
7705,觀光餐旅
7711,NB/PC
7721,未分類
7722,未分類
7730,其他電子
7732,未分類
7736,未分類
7740,未分類
7749,其他電子
7750,未分類
7760,觀光餐旅
7765,未分類
7768,其他電子
7769,其他電子
7780,生技醫療
7786,未分類
7788,被動元件
7791,食品
7795,被動元件
7799,生技醫療
7803,生技醫療
7818,未分類
7821,未分類
7822,其他電子
7823,未分類
8011,網通
8016,其他電子
8021,其他電子
8028,其他電子
8033,未分類
8039,被動元件
8045,網通
8046,被動元件
8070,未分類
8072,未分類
8081,其他電子
8101,網通
8103,被動元件
8104,面板
8105,面板
8110,其他電子
8112,未分類
8114,NB/PC
8131,其他電子
8150,封裝測試
8162,其他電子
8163,被動元件
8201,其他電子
8210,NB/PC
8213,被動元件
8215,CCL
8222,未分類
8249,被動元件
8261,其他電子
8271,記憶體
8341,未分類
8367,航運
8374,未分類
8404,未分類
8411,未分類
8422,未分類
8429,未分類
8438,未分類
8442,未分類
8443,未分類
8454,金融
8462,未分類
8463,建設營造
8464,未分類
8466,未分類
8467,未分類
8473,未分類
8476,未分類
8478,未分類
8481,未分類
8482,未分類
8487,未分類
8488,未分類
8499,其他電子
8926,未分類
8940,觀光餐旅
8996,未分類
9103,生技醫療
9105,未分類
9110,未分類
9136,未分類
9802,未分類
9902,未分類
9904,未分類
9905,未分類
9906,建設營造
9907,食品
9908,未分類
9910,未分類
9911,未分類
9912,NB/PC
9914,未分類
9917,未分類
9918,未分類
9919,未分類
9921,未分類
9924,未分類
9925,未分類
9926,未分類
9927,未分類
9928,未分類
9929,未分類
9930,未分類
9931,未分類
9933,未分類
9934,未分類
9935,未分類
9937,未分類
9938,未分類
9939,未分類
9940,未分類
9941,未分類
9942,未分類
9943,觀光餐旅
9944,未分類
9945,建設營造
9946,建設營造
9955,未分類
9958,鋼鐵
