stock_id,stock_name,industry,sub_sector,source,confidence
2538,基泰,建材營造,建設營造,industry_code,medium
2539,櫻花建,建材營造,建設營造,industry_code,medium
2540,愛山林,建材營造,建設營造,industry_code,medium
2542,興富發,建材營造,建設營造,name_keyword,medium
2543,皇昌,建材營造,建設營造,industry_code,medium
2545,皇翔,建材營造,建設營造,name_keyword,medium
2546,根基,建材營造,建設營造,industry_code,medium
2547,日勝生,建材營造,建設營造,industry_code,medium
2548,華固,建材營造,建設營造,name_keyword,medium
2597,潤弘,建材營造,建設營造,industry_code,medium
2712,遠雄來,觀光餐旅,建設營造,name_keyword,medium
2915,潤泰全,貿易百貨,建設營造,name_keyword,medium
2923,鼎固-KY,建材營造,建設營造,industry_code,medium
3052,夆典,建材營造,建設營造,industry_code,medium
3056,富華新,建材營造,建設營造,industry_code,medium
3266,昇陽,建材營造,建設營造,industry_code,medium
3703,欣陸,建材營造,建設營造,industry_code,medium
5515,建國,建材營造,建設營造,industry_code,medium
5519,隆大,建材營造,建設營造,industry_code,medium
5521,工信,建材營造,建設營造,industry_code,medium
5522,遠雄,建材營造,建設營造,name_keyword,medium
5525,順天,建材營造,建設營造,industry_code,medium
5531,鄉林,建材營造,建設營造,industry_code,medium
5533,皇鼎,建材營造,建設營造,industry_code,medium
5534,長虹,建材營造,建設營造,name_keyword,medium
5546,永固-KY,建材營造,建設營造,industry_code,medium
5607,遠雄港,航運業,建設營造,name_keyword,medium
6177,達麗,建材營造,建設營造,industry_code,medium
8463,潤泰材,其他,建設營造,name_keyword,medium
9906,欣巴巴,建材營造,建設營造,industry_code,medium
9945,潤泰新,其他,建設營造,name_keyword,medium
9946,三發地產,建材營造,建設營造,industry_code,medium
2421,建準,電子零組件,散熱,name_keyword,high
3017,奇鋐,電腦及週邊設備,散熱,manual_override,high
3338,泰碩,電子零組件,散熱,name_keyword,high
3653,健策,電子零組件,散熱,name_keyword,high
6230,尼得科超眾,電腦及週邊設備,散熱,name_keyword,high
2303,聯電,半導體業,晶圓代工,manual_override,high
2330,台積電,半導體業,晶圓代工,manual_override,high
2342,茂矽,半導體業,晶圓代工,name_keyword,high
2762,世界健身-KY,Unknown,晶圓代工,name_keyword,high
6443,元晶,光電業,晶圓代工,name_keyword,high
6770,力積電,半導體業,晶圓代工,name_keyword,high
1319,東陽,汽車工業,未分類,default,low
1338,廣華-KY,汽車工業,未分類,default,low
1339,昭輝,汽車工業,未分類,default,low
1342,八貫,其他,未分類,default,low
1416,廣豐,其他,未分類,default,low
1432,大魯閣,Unknown,未分類,default,low
1437,勤益控,其他,未分類,default,low
1443,立益物流,其他,未分類,default,low
1506,正道,電機機械,未分類,default,low
1512,瑞利,汽車工業,未分類,default,low
1515,力山,電機機械,未分類,default,low
1516,川飛,其他,未分類,default,low
1517,利奇,電機機械,未分類,default,low
1521,大億,汽車工業,未分類,default,low
1522,堤維西,汽車工業,未分類,default,low
1524,耿鼎,汽車工業,未分類,default,low
1525,江申,汽車工業,未分類,default,low
1526,日馳,電機機械,未分類,default,low
1527,鑽全,電機機械,未分類,default,low
1528,恩德,電機機械,未分類,default,low
1530,亞崴,電機機械,未分類,default,low
1531,高林股,電機機械,未分類,default,low
1532,勤美,電機機械,未分類,default,low
1535,中宇,電機機械,未分類,default,low
1536,和大,汽車工業,未分類,default,low
1537,廣隆,電機機械,未分類,default,low
1538,正峰,電機機械,未分類,default,low
1539,巨庭,電機機械,未分類,default,low
1540,喬福,電機機械,未分類,default,low
1541,錩泰,電機機械,未分類,default,low
1558,伸興,電機機械,未分類,default,low
1560,中砂,電機機械,未分類,default,low
1563,巧新,汽車工業,未分類,default,low
1568,倉佑,汽車工業,未分類,default,low
1583,程泰,電機機械,未分類,default,low
1587,吉茂,汽車工業,未分類,default,low
1590,亞德客-KY,電機機械,未分類,default,low
1597,直得,電機機械,未分類,default,low
1598,岱宇,Unknown,未分類,default,low
1603,華電,電器電纜,未分類,default,low
1604,聲寶,電器電纜,未分類,default,low
1605,華新,電器電纜,未分類,default,low
1608,華榮,電器電纜,未分類,default,low
1611,中電,電器電纜,未分類,default,low
1612,宏泰,電器電纜,未分類,default,low
1614,三洋電,電器電纜,未分類,default,low
1615,大山,電器電纜,未分類,default,low
1616,億泰,電器電纜,未分類,default,low
1617,榮星,電器電纜,未分類,default,low
1623,大東電,電器電纜,未分類,default,low
1626,艾美特-KY,電器電纜,未分類,default,low
1736,喬山,Unknown,未分類,default,low
1802,台玻,玻璃陶瓷,未分類,default,low
1806,冠軍,玻璃陶瓷,未分類,default,low
1809,中釉,玻璃陶瓷,未分類,default,low
1810,和成,玻璃陶瓷,未分類,default,low
1817,凱撒衛,玻璃陶瓷,未分類,default,low
1903,士紙,造紙工業,未分類,default,low
1904,正隆,造紙工業,未分類,default,low
1905,華紙,造紙工業,未分類,default,low
1906,寶隆,造紙工業,未分類,default,low
1909,榮成,造紙工業,未分類,default,low
2049,上銀,電機機械,未分類,default,low
2062,橋椿,Unknown,未分類,default,low
2101,南港,橡膠工業,未分類,default,low
2102,泰豐,橡膠工業,未分類,default,low
2103,台橡,橡膠工業,未分類,default,low
2104,國際中橡,橡膠工業,未分類,default,low
2105,正新,橡膠工業,未分類,default,low
2106,建大,橡膠工業,未分類,default,low
2107,厚生,橡膠工業,未分類,default,low
2108,南帝,橡膠工業,未分類,default,low
2109,華豐,橡膠工業,未分類,default,low
2114,鑫永銓,橡膠工業,未分類,default,low
2115,六暉-KY,汽車工業,未分類,default,low
2204,中華,汽車工業,未分類,default,low
2206,三陽工業,汽車工業,未分類,default,low
2228,劍麟,汽車工業,未分類,default,low
2233,宇隆,汽車工業,未分類,default,low
2236,百達-KY,汽車工業,未分類,default,low
2239,英利-KY,汽車工業,未分類,default,low
2241,艾姆勒,汽車工業,未分類,default,low
2243,宏旭-KY,汽車工業,未分類,default,low
2247,汎德永業,汽車工業,未分類,default,low
2248,華勝-KY,汽車工業,未分類,default,low
2250,IKKA-KY,汽車工業,未分類,default,low
2254,巨鎧精密-創,汽車工業,未分類,default,low
2258,鴻華先進-創,汽車工業,未分類,default,low
2347,聯強,電子通路業,未分類,default,low
2348,海悅,其他,未分類,default,low
2371,大同,電機機械,未分類,default,low
2414,精技,電子通路業,未分類,default,low
2427,三商電,資訊服務業,未分類,default,low
2430,燦坤,電子通路業,未分類,default,low
2453,凌群,資訊服務業,未分類,default,low
2468,華經,資訊服務業,未分類,default,low
2471,資通,資訊服務業,未分類,default,low
2480,敦陽科,資訊服務業,未分類,default,low
2496,卓越,其他,未分類,default,low
