stock_id,stock_name,industry,sub_sector,source,confidence,amount
9955,佳龍,Unknown,未分類,manual_override,high,14235040.0
3346,麗清,汽車工業,未分類,manual_override,high,13822111.0
6281,全國電,電子通路業,未分類,manual_override,high,13636610.0
2471,資通,資訊服務業,未分類,manual_override,high,13444576.0
1515,力山,電機機械,未分類,manual_override,high,13008807.0
5306,桂盟,Unknown,未分類,manual_override,high,12872064.0
4564,元翎,電機機械,未分類,manual_override,high,12789524.0
2114,鑫永銓,橡膠工業,未分類,manual_override,high,12539057.0
2427,三商電,資訊服務業,未分類,manual_override,high,11973999.0
7821,神數,汽車工業,未分類,manual_override,high,11933827.0
1540,喬福,電機機械,未分類,manual_override,high,11925805.0
1527,鑽全,電機機械,未分類,manual_override,high,11831607.0
9136,巨騰-DR,Unknown,未分類,manual_override,high,11725946.0
1616,億泰,電器電纜,未分類,manual_override,high,11660957.0
6625,必應,其他,未分類,manual_override,high,11500215.0
2102,泰豐,橡膠工業,未分類,manual_override,high,11497979.0
2062,橋椿,Unknown,未分類,manual_override,high,11184839.0
4557,永新-KY,汽車工業,未分類,manual_override,high,11183758.0
6606,建德工業,電機機械,未分類,manual_override,high,10785232.0
2601,益航,貿易百貨,未分類,manual_override,high,10580217.0
6914,阜爾運通,其他,未分類,manual_override,high,10537730.0
2115,六暉-KY,汽車工業,未分類,manual_override,high,10517975.0
8072,陞泰,電子通路業,未分類,manual_override,high,10442596.0
3557,嘉威,Unknown,未分類,manual_override,high,10334890.0
9925,新保,其他,未分類,manual_override,high,10094776.0
9935,慶豐富,Unknown,未分類,manual_override,high,9851632.0
1537,廣隆,電機機械,未分類,manual_override,high,9752063.0
7736,虎山,汽車工業,未分類,manual_override,high,9593118.0
6923,中台,Unknown,未分類,manual_override,high,9574895.0
9940,信義,其他,未分類,manual_override,high,9305813.0
6965,中傑-KY,Unknown,未分類,manual_override,high,9290843.0
2468,華經,資訊服務業,未分類,manual_override,high,9220938.0
1611,中電,電器電纜,未分類,manual_override,high,8924959.0
2616,山隆,油電燃氣,未分類,manual_override,high,8899442.0
2248,華勝-KY,汽車工業,未分類,manual_override,high,8840106.0
9927,泰銘,其他,未分類,manual_override,high,8673429.0
1604,聲寶,電器電纜,未分類,manual_override,high,8545082.0
3130,一零四,Unknown,未分類,manual_override,high,8206597.0
1615,大山,電器電纜,未分類,manual_override,high,8193138.0
2250,IKKA-KY,汽車工業,未分類,manual_override,high,7959890.0
9908,大台北,油電燃氣,未分類,manual_override,high,7822527.0
1338,廣華-KY,汽車工業,未分類,manual_override,high,7531986.0
5283,禾聯碩,電器電纜,未分類,manual_override,high,6953335.0
2905,三商,貿易百貨,未分類,manual_override,high,6817805.0
9918,欣天然,油電燃氣,未分類,manual_override,high,6711314.0
8404,百和興業-KY,其他,未分類,manual_override,high,6680221.0
2908,特力,貿易百貨,未分類,manual_override,high,6664577.0
1558,伸興,電機機械,未分類,manual_override,high,6436801.0
9919,康那香,其他,未分類,manual_override,high,6333864.0
9930,中聯資源,Unknown,未分類,manual_override,high,6274658.0
1432,大魯閣,Unknown,未分類,manual_override,high,5748785.0
1598,岱宇,Unknown,未分類,manual_override,high,5731762.0
8476,台境*,Unknown,未分類,manual_override,high,5645521.0
6581,鋼聯,Unknown,未分類,manual_override,high,5583526.0
1521,大億,汽車工業,未分類,manual_override,high,5475796.0
1525,江申,汽車工業,未分類,manual_override,high,5356467.0
1506,正道,電機機械,未分類,manual_override,high,5178273.0
2906,高林,貿易百貨,未分類,manual_override,high,5152068.0
8487,愛爾達-創,Unknown,未分類,manual_override,high,4990807.0
6464,台數科,其他,未分類,manual_override,high,4887005.0
6614,資拓宏宇,Unknown,未分類,manual_override,high,4883103.0
3040,遠見,其他,未分類,manual_override,high,4706833.0
8466,美吉吉-KY,其他,未分類,manual_override,high,4653207.0
1437,勤益控,其他,未分類,manual_override,high,4606457.0
2239,英利-KY,汽車工業,未分類,manual_override,high,4412342.0
2430,燦坤,電子通路業,未分類,manual_override,high,4323748.0
9924,福興,Unknown,未分類,manual_override,high,4304719.0
9934,成霖,Unknown,未分類,manual_override,high,4242119.0
6504,南六,其他,未分類,manual_override,high,4231164.0
1535,中宇,電機機械,未分類,manual_override,high,4230404.0
4560,強信-KY,電機機械,未分類,manual_override,high,4215081.0
2107,厚生,橡膠工業,未分類,manual_override,high,4173346.0
2911,麗嬰房,貿易百貨,未分類,manual_override,high,4130992.0
1516,川飛,其他,未分類,manual_override,high,4085152.0
1617,榮星,電器電纜,未分類,manual_override,high,3747729.0
1517,利奇,電機機械,未分類,manual_override,high,3588848.0
6184,大豐電,其他,未分類,manual_override,high,3317762.0
6952,大武山,其他,未分類,manual_override,high,3228685.0
1806,冠軍,玻璃陶瓷,未分類,manual_override,high,2940910.0
8442,威宏-KY,其他,未分類,manual_override,high,2939635.0
8429,金麗-KY,貿易百貨,未分類,manual_override,high,2884270.0
6887,寶綠特-KY,Unknown,未分類,manual_override,high,2864665.0
6951,青新-創,Unknown,未分類,manual_override,high,2809759.0
6183,關貿,資訊服務業,未分類,manual_override,high,2760016.0
6969,成信實業*-創,Unknown,未分類,manual_override,high,2728875.0
1626,艾美特-KY,電器電纜,未分類,manual_override,high,2562439.0
2109,華豐,橡膠工業,未分類,manual_override,high,2536131.0
4581,光隆精密-KY,汽車工業,未分類,manual_override,high,2529550.0
8467,波力-KY,Unknown,未分類,manual_override,high,2459681.0
4552,力達-KY,電機機械,未分類,manual_override,high,2456607.0
8411,福貞-KY,其他,未分類,manual_override,high,2359284.0
6806,森崴能源,Unknown,未分類,manual_override,high,2256567.0
9902,台火,其他,未分類,manual_override,high,2234615.0
1539,巨庭,電機機械,未分類,manual_override,high,2232504.0
1416,廣豐,其他,未分類,manual_override,high,2207344.0
9937,全國,油電燃氣,未分類,manual_override,high,2115316.0
4994,傳奇,資訊服務業,未分類,manual_override,high,2074690.0
5907,大洋-KY,貿易百貨,未分類,manual_override,high,2065155.0
9944,新麗,其他,未分類,manual_override,high,1963811.0
6582,申豐,橡膠工業,未分類,manual_override,high,1784036.0
6988,威力暘-創,汽車工業,未分類,manual_override,high,1746031.0
7732,金興精密,汽車工業,未分類,manual_override,high,1729572.0
7823,奧義賽博-KY創,Unknown,未分類,manual_override,high,1667985.0
1906,寶隆,造紙工業,未分類,manual_override,high,1645765.0
1526,日馳,電機機械,未分類,manual_override,high,1635108.0
9931,欣高,油電燃氣,未分類,manual_override,high,1553572.0
6671,三能-KY,Unknown,未分類,manual_override,high,1530056.0
1614,三洋電,電器電纜,未分類,manual_override,high,1491435.0
6754,匯僑設計,Unknown,未分類,manual_override,high,1268821.0
9926,新海,油電燃氣,未分類,manual_override,high,1209558.0
2514,龍邦,其他,未分類,manual_override,high,1173866.0
4930,燦星網,電器電纜,未分類,manual_override,high,1166459.0
