出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,081130,雲豹統一55購02,0.00,0,2026-05-15
1150514,1150514,081490,雄獅統一55購01,0.00,0,2026-05-15
1150514,1150514,081624,陽明統一65購01,230.00,2000,2026-05-15
1150514,1150514,081622,裕民統一55購01,0.00,0,2026-05-15
1150514,1150514,081488,萬海統一55購03,0.00,0,2026-05-15
1150514,1150514,081489,萬海統一5B購01,0.00,0,2026-05-15
1150514,1150514,081626,萬海統一65購01,35280.00,584000,2026-05-15
1150514,1150514,081483,智邦統一55購01,0.00,0,2026-05-15
1150514,1150514,081497,龍德船統一55購04,0.00,0,2026-05-15
1150514,1150514,081495,精銳統一58購01,0.00,0,2026-05-15
1150514,1150514,081617,漢唐統一55購02,69800.00,30000,2026-05-15
1150514,1150514,081618,漢唐統一5B購01,1670.00,1000,2026-05-15
1150514,1150514,081487,京元電統一55購02,0.00,0,2026-05-15
1150514,1150514,081493,辛耘統一55購02,0.00,0,2026-05-15
1150514,1150514,081491,亞光統一5B購01,40730.00,130000,2026-05-15
1150514,1150514,081621,長榮統一65購01,91000.00,350000,2026-05-15
1150514,1150514,081492,牧德統一55購01,0.00,0,2026-05-15
1150514,1150514,081628,晶心科統一55購02,0.00,0,2026-05-15
1150514,1150514,081496,祥碩統一55購01,0.00,0,2026-05-15
1150514,1150514,082020,牧德統一59購01,0.00,0,2026-05-15
1150514,1150514,081740,佳必琪統一55購01,36800.00,30000,2026-05-15
1150514,1150514,081890,聯鈞統一65購02,21000.00,15000,2026-05-15
1150514,1150514,081889,聯鈞統一5B購03,0.00,0,2026-05-15
1150514,1150514,082019,聯鈞統一55購04,0.00,0,2026-05-15
1150514,1150514,08184U,聯電統一61售07,331250.00,1637000,2026-05-15
1150514,1150514,081739,華晶科統一55購02,0.00,0,2026-05-15
1150514,1150514,081891,雲豹統一55購03,0.00,0,2026-05-15
1150514,1150514,082022,雲豹統一56購02,0.00,0,2026-05-15
1150514,1150514,082279,勤誠統一55購01,0.00,0,2026-05-15
1150514,1150514,082100,愛普統一55購02,0.00,0,2026-05-15
1150514,1150514,082273,新興統一55購01,0.00,0,2026-05-15
